huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
19010102,10 to 14 years,734.078680798258,734.078680798258
19010102,15 to 17 years,556.036876909125,556.036876909125
19010102,18 and 19 years,277.620409246562,277.620409246562
19010102,20 years,211.072484352849,211.072484352849
19010102,21 years,203.171991654853,203.171991654853
19010102,22 to 24 years,520.991415505413,520.991415505413
19010102,25 to 29 years,934.552851873682,934.552851873682
19010102,30 to 34 years,865.412810147968,865.412810147968
19010102,35 to 39 years,845.770304932258,845.770304932258
19010102,40 to 44 years,718.345252775108,718.345252775108
19010102,45 to 49 years,902.775231912247,902.775231912247
19010102,5 to 9 years,790.363691229682,790.363691229682
19010102,50 to 54 years,964.753135943107,964.753135943107
19010102,55 to 59 years,925.979173496251,925.979173496251
19010102,60 and 61 years,373.765377952273,373.765377952273
19010102,62 to 64 years,579.856300759687,579.856300759687
19010102,65 and 66 years,296.647432195705,296.647432195705
19010102,67 to 69 years,333.70640507399,333.70640507399
19010102,70 to 74 years,398.36734874427,398.36734874427
19010102,75 to 79 years,218.647432195705,218.647432195705
19010102,80 to 84 years,157.873469748851,157.873469748851
19010102,85 years and over,161.601970791994,161.601970791994
19010102,Under 5 years,890.724843528544,890.724843528544
19010103,10 to 14 years,296.874698719231,296.874698719231
19010103,15 to 17 years,143.525128064229,143.525128064229
19010103,18 and 19 years,80.7255787547884,80.7255787547884
19010103,20 years,52.7202761734295,52.7202761734295
19010103,21 years,32.5147163826146,32.5147163826146
19010103,22 to 24 years,130.02285832228,130.02285832228
19010103,25 to 29 years,238.839042633668,238.839042633668
19010103,30 to 34 years,243.324326251053,243.324326251053
19010103,35 to 39 years,207.039221022368,207.039221022368
19010103,40 to 44 years,279.201006121223,279.201006121223
19010103,45 to 49 years,288.324028936553,288.324028936553
19010103,5 to 9 years,233.111998536187,233.111998536187
19010103,50 to 54 years,375.827061775962,375.827061775962
19010103,55 to 59 years,415.332237190654,415.332237190654
19010103,60 and 61 years,170.91529543659,170.91529543659
19010103,62 to 64 years,178.110830507995,178.110830507995
19010103,65 and 66 years,92.2459738540183,92.2459738540183
19010103,67 to 69 years,117.275757741863,117.275757741863
19010103,70 to 74 years,144.148575360725,144.148575360725
19010103,75 to 79 years,94.9428758969237,94.9428758969237
19010103,80 to 84 years,35.1608285202904,35.1608285202904
19010103,85 years and over,19.3641060628367,19.3641060628367
19010103,Under 5 years,240.904156497102,240.904156497102
19010104,10 to 14 years,74.0407676690299,74.0407676690299
19010104,15 to 17 years,41.0545665915909,41.0545665915909
19010104,18 and 19 years,25.4310164021643,25.4310164021643
19010104,20 years,6.52441571406514,6.52441571406514
19010104,21 years,9.04305843643392,9.04305843643392
19010104,22 to 24 years,19.8255893173694,19.8255893173694
19010104,25 to 29 years,60.9085656743399,60.9085656743399
19010104,30 to 34 years,52.2019634714713,52.2019634714713
19010104,35 to 39 years,40.6823193418642,40.6823193418642
19010104,40 to 44 years,42.3166492133766,42.3166492133766
19010104,45 to 49 years,86.963799755489,86.963799755489
19010104,5 to 9 years,51.2892408552353,51.2892408552353
19010104,50 to 54 years,85.0409649467254,85.0409649467254
19010104,55 to 59 years,116.884988476931,116.884988476931
19010104,60 and 61 years,52.6022487406617,52.6022487406617
19010104,62 to 64 years,30.4395203356064,30.4395203356064
19010104,65 and 66 years,18.0016310685607,18.0016310685607
19010104,67 to 69 years,40.8653099602104,40.8653099602104
19010104,70 to 74 years,37.8202108810642,37.8202108810642
19010104,75 to 79 years,73.2073800818141,73.2073800818141
19010104,80 to 84 years,19.4610950643403,19.4610950643403
19010104,85 years and over,15.6025216748288,15.6025216748288
19010104,Under 5 years,51.5497077730226,51.5497077730226
19010105,10 to 14 years,179.841262026525,179.841262026525
19010105,15 to 17 years,69.458219343083,69.458219343083
19010105,18 and 19 years,51.1690588955169,51.1690588955169
19010105,20 years,8.84067781998129,8.84067781998129
19010105,21 years,4.76293651496255,4.76293651496255
