huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
01080205,10 to 14 years,54969.7487530513,54969.7487530513
01080205,15 to 17 years,35826.7461085097,35826.7461085097
01080205,18 and 19 years,24631.7820739269,24631.7820739269
01080205,20 years,12111.8145004501,12111.8145004501
01080205,21 years,11486.4653933595,11486.4653933595
01080205,22 to 24 years,36066.8644376141,36066.8644376141
01080205,25 to 29 years,59222.278488444,59222.278488444
01080205,30 to 34 years,58228.1351116767,58228.1351116767
01080205,35 to 39 years,50643.1161479707,50643.1161479707
01080205,40 to 44 years,57350.5921301442,57350.5921301442
01080205,45 to 49 years,62370.1263875489,62370.1263875489
01080205,5 to 9 years,50060.1526086195,50060.1526086195
01080205,50 to 54 years,67781.0687264888,67781.0687264888
01080205,55 to 59 years,64264.8622967837,64264.8622967837
01080205,60 and 61 years,22282.9906160791,22282.9906160791
01080205,62 to 64 years,30680.3908376815,30680.3908376815
01080205,65 and 66 years,18927.781584579,18927.781584579
01080205,67 to 69 years,24410.4096445122,24410.4096445122
01080205,70 to 74 years,31152.8052137582,31152.8052137582
01080205,75 to 79 years,22329.7062233749,22329.7062233749
01080205,80 to 84 years,17548.8180033906,17548.8180033906
01080205,85 years and over,23088.2342530863,23088.2342530863
01080205,Under 5 years,47193.6952358648,47193.6952358648
01080206,10 to 14 years,20.2637266622436,20.2637266622436
01080206,15 to 17 years,15.1045262819425,15.1045262819425
01080206,18 and 19 years,10.1839005499174,10.1839005499174
01080206,20 years,4.14797064874676,4.14797064874676
01080206,21 years,2.25992617006774,2.25992617006774
01080206,22 to 24 years,15.9634435154824,15.9634435154824
01080206,25 to 29 years,4.02676573386752,4.02676573386752
01080206,30 to 34 years,19.7328848249376,19.7328848249376
01080206,35 to 39 years,23.7571789974053,23.7571789974053
01080206,40 to 44 years,13.5981645139961,13.5981645139961
01080206,45 to 49 years,34.078818355704,34.078818355704
01080206,5 to 9 years,18.9956838638079,18.9956838638079
01080206,50 to 54 years,38.6267953600439,38.6267953600439
01080206,55 to 59 years,27.7903367004102,27.7903367004102
01080206,60 and 61 years,8.18743509463385,8.18743509463385
01080206,62 to 64 years,16.3521147791387,16.3521147791387
01080206,65 and 66 years,6.04632750430073,6.04632750430073
01080206,67 to 69 years,11.943410655773,11.943410655773
01080206,70 to 74 years,12.0673428108175,12.0673428108175
01080206,75 to 79 years,12.6984239042322,12.6984239042322
01080206,80 to 84 years,6.16327110642173,6.16327110642173
01080206,85 years and over,7.91298019293335,7.91298019293335
01080206,Under 5 years,27.7739732594186,27.7739732594186
01080207,10 to 14 years,14461.4783079417,14461.4783079417
01080207,15 to 17 years,9161.51517658115,9161.51517658115
01080207,18 and 19 years,4595.58757909379,4595.58757909379
01080207,20 years,2156.95322853053,2156.95322853053
01080207,21 years,2093.46667963423,2093.46667963423
01080207,22 to 24 years,6847.41199606173,6847.41199606173
01080207,25 to 29 years,10728.3097510399,10728.3097510399
01080207,30 to 34 years,10880.8693175705,10880.8693175705
01080207,35 to 39 years,11454.9665392668,11454.9665392668
01080207,40 to 44 years,14185.9238069783,14185.9238069783
01080207,45 to 49 years,16463.0408161709,16463.0408161709
01080207,5 to 9 years,12014.8180509848,12014.8180509848
01080207,50 to 54 years,18919.4516747673,18919.4516747673
01080207,55 to 59 years,17561.4074254258,17561.4074254258
01080207,60 and 61 years,6279.44367660544,6279.44367660544
01080207,62 to 64 years,8243.86743951245,8243.86743951245
01080207,65 and 66 years,4776.45577122058,4776.45577122058
01080207,67 to 69 years,6558.86745075992,6558.86745075992
01080207,70 to 74 years,7758.10960310695,7758.10960310695
01080207,75 to 79 years,5530.62113618315,5530.62113618315
01080207,80 to 84 years,5139.92951399507,5139.92951399507
01080207,85 years and over,5454.00079275452,5454.00079275452
01080207,Under 5 years,9644.60981905192,9644.60981905192
01100001,10 to 14 years,5964.84102739315,5964.84102739315
01100001,15 to 17 years,3873.02957449705,3873.02957449705
01100001,18 and 19 years,2008.86236574061,2008.86236574061
01100001,20 years,1189.66250055711,1189.66250055711
01100001,21 years,1104.87205918792,1104.87205918792
01100001,22 to 24 years,3122.16377760813,3122.16377760813
01100001,25 to 29 years,5530.81484237712,5530.81484237712
01100001,30 to 34 years,5734.89877200477,5734.89877200477
01100001,35 to 39 years,5826.34926741585,5826.34926741585
01100001,40 to 44 years,6523.80635966381,6523.80635966381
01100001,45 to 49 years,7080.66194974871,7080.66194974871
01100001,5 to 9 years,5517.6624268613,5517.6624268613
