huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
02040202,10 to 14 years,1393.64491892736,1393.64491892736
02040202,15 to 17 years,1003.65691597768,1003.65691597768
02040202,18 and 19 years,459.71864139973,459.71864139973
02040202,20 years,225.125547613807,225.125547613807
02040202,21 years,196.368129876583,196.368129876583
02040202,22 to 24 years,872.44629550608,872.44629550608
02040202,25 to 29 years,1809.94044280481,1809.94044280481
02040202,30 to 34 years,1556.16210789704,1556.16210789704
02040202,35 to 39 years,1675.63376040618,1675.63376040618
02040202,40 to 44 years,1554.25568780131,1554.25568780131
02040202,45 to 49 years,1734.59930966659,1734.59930966659
02040202,5 to 9 years,1714.42450953285,1714.42450953285
02040202,50 to 54 years,2035.97063022683,2035.97063022683
02040202,55 to 59 years,1994.95009142635,1994.95009142635
02040202,60 and 61 years,802.319463970581,802.319463970581
02040202,62 to 64 years,1071.88117753695,1071.88117753695
02040202,65 and 66 years,473.699169592323,473.699169592323
02040202,67 to 69 years,796.949699221453,796.949699221453
02040202,70 to 74 years,1132.49919456472,1132.49919456472
02040202,75 to 79 years,902.499623295396,902.499623295396
02040202,80 to 84 years,647.376314756727,647.376314756727
02040202,85 years and over,573.650913842866,573.650913842866
02040202,Under 5 years,1534.42580427716,1534.42580427716
02040204,10 to 14 years,14.7293015813648,14.7293015813648
02040204,15 to 17 years,9.84137781167515,9.84137781167515
02040204,18 and 19 years,3.09060090405344,3.09060090405344
02040204,20 years,3.98967220909978,3.98967220909978
02040204,21 years,0.337875354134849,0.337875354134849
02040204,22 to 24 years,9.26975854063234,9.26975854063234
02040204,25 to 29 years,17.0223896926521,17.0223896926521
02040204,30 to 34 years,16.2240009892647,16.2240009892647
02040204,35 to 39 years,19.8418263053816,19.8418263053816
02040204,40 to 44 years,16.0600559147029,16.0600559147029
02040204,45 to 49 years,12.8576411636955,12.8576411636955
02040204,5 to 9 years,14.7296064373204,14.7296064373204
02040204,50 to 54 years,14.2154865585412,14.2154865585412
02040204,55 to 59 years,19.4784084157885,19.4784084157885
02040204,60 and 61 years,4.52100154266572,4.52100154266572
02040204,62 to 64 years,5.84419120776792,5.84419120776792
02040204,65 and 66 years,5.50344830753677,5.50344830753677
02040204,67 to 69 years,4.8122409151012,4.8122409151012
02040204,70 to 74 years,7.27035503961016,7.27035503961016
02040204,75 to 79 years,2.72304034303956,2.72304034303956
02040204,80 to 84 years,2.61425935140689,2.61425935140689
02040204,85 years and over,4.36030118896133,4.36030118896133
02040204,Under 5 years,19.4126748914338,19.4126748914338
02040205,10 to 14 years,31305.1729229989,31305.1729229989
02040205,15 to 17 years,19005.3427186254,19005.3427186254
02040205,18 and 19 years,15612.4680776129,15612.4680776129
02040205,20 years,7804.6629641713,7804.6629641713
02040205,21 years,7390.43680591377,7390.43680591377
02040205,22 to 24 years,21086.6812410062,21086.6812410062
02040205,25 to 29 years,37646.4875547755,37646.4875547755
02040205,30 to 34 years,33887.5647945644,33887.5647945644
02040205,35 to 39 years,31649.10854251,31649.10854251
02040205,40 to 44 years,30678.1022681872,30678.1022681872
02040205,45 to 49 years,34170.1643689416,34170.1643689416
02040205,5 to 9 years,30042.939962034,30042.939962034
02040205,50 to 54 years,36253.9204419083,36253.9204419083
02040205,55 to 59 years,34813.9056800481,34813.9056800481
02040205,60 and 61 years,12098.8295884285,12098.8295884285
02040205,62 to 64 years,16465.7355279448,16465.7355279448
02040205,65 and 66 years,10538.1959763967,10538.1959763967
02040205,67 to 69 years,13003.8999303918,13003.8999303918
02040205,70 to 74 years,15624.8992799559,15624.8992799559
02040205,75 to 79 years,11820.414750068,11820.414750068
02040205,80 to 84 years,8249.97091180535,8249.97091180535
02040205,85 years and over,9123.32341741094,9123.32341741094
02040205,Under 5 years,29849.7460726525,29849.7460726525
02040206,10 to 14 years,57.8218241034792,57.8218241034792
