huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
03070203,10 to 14 years,50.0491870863686,50.0491870863686
03070203,15 to 17 years,19.8961371248173,19.8961371248173
03070203,18 and 19 years,2.24976419036471,2.24976419036471
03070203,20 years,0.971898130237553,0.971898130237553
03070203,21 years,8.70660608064108,8.70660608064108
03070203,22 to 24 years,24.6722045998893,24.6722045998893
03070203,25 to 29 years,30.3923458896673,30.3923458896673
03070203,30 to 34 years,40.934759549646,40.934759549646
03070203,35 to 39 years,57.655871485543,57.655871485543
03070203,40 to 44 years,53.5551530615139,53.5551530615139
03070203,45 to 49 years,61.3438553524862,61.3438553524862
03070203,5 to 9 years,42.0874286325006,42.0874286325006
03070203,50 to 54 years,48.0832694287541,48.0832694287541
03070203,55 to 59 years,78.3660221172685,78.3660221172685
03070203,60 and 61 years,29.1844106418236,29.1844106418236
03070203,62 to 64 years,34.21611786804,34.21611786804
03070203,65 and 66 years,14.2888976171812,14.2888976171812
03070203,67 to 69 years,44.0738133967599,44.0738133967599
03070203,70 to 74 years,52.4278144158294,52.4278144158294
03070203,75 to 79 years,22.9460151069442,22.9460151069442
03070203,80 to 84 years,16.6262082672781,16.6262082672781
03070203,85 years and over,20.0016816980724,20.0016816980724
03070203,Under 5 years,43.6618935423015,43.6618935423015
03070204,10 to 14 years,4248.19517361945,4248.19517361945
03070204,15 to 17 years,2457.51615732199,2457.51615732199
03070204,18 and 19 years,1468.24711026593,1468.24711026593
03070204,20 years,776.99516419572,776.99516419572
03070204,21 years,552.797809910178,552.797809910178
03070204,22 to 24 years,2573.08719690028,2573.08719690028
03070204,25 to 29 years,4113.00284146291,4113.00284146291
03070204,30 to 34 years,3442.48006031317,3442.48006031317
03070204,35 to 39 years,3811.05459661599,3811.05459661599
03070204,40 to 44 years,4252.01407459895,4252.01407459895
03070204,45 to 49 years,4273.63571137831,4273.63571137831
03070204,5 to 9 years,3692.34063377562,3692.34063377562
03070204,50 to 54 years,5025.2067725136,5025.2067725136
03070204,55 to 59 years,4951.88492678284,4951.88492678284
03070204,60 and 61 years,1635.79296287426,1635.79296287426
03070204,62 to 64 years,2685.82389246134,2685.82389246134
03070204,65 and 66 years,1571.63942295035,1571.63942295035
03070204,67 to 69 years,2486.64828107394,2486.64828107394
03070204,70 to 74 years,2929.20523686599,2929.20523686599
03070204,75 to 79 years,1857.52976991441,1857.52976991441
03070204,80 to 84 years,967.550108744506,967.550108744506
03070204,85 years and over,1247.90062727494,1247.90062727494
03070204,Under 5 years,3685.45051906507,3685.45051906507
03070205,10 to 14 years,3813.10905505534,3813.10905505534
03070205,15 to 17 years,2858.53541815768,2858.53541815768
03070205,18 and 19 years,1585.41976167827,1585.41976167827
03070205,20 years,793.843830309401,793.843830309401
03070205,21 years,788.240592119628,788.240592119628
03070205,22 to 24 years,2355.53943198183,2355.53943198183
03070205,25 to 29 years,3533.25675608245,3533.25675608245
