huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
20010000,10 to 14 years,11508.9999999998,11508.9999999998
20010000,15 to 17 years,6962.99999999996,6962.99999999996
20010000,18 and 19 years,4407.99999999997,4407.99999999997
20010000,20 years,1898.99999999991,1898.99999999991
20010000,21 years,2518,2518
20010000,22 to 24 years,6686.99999999985,6686.99999999985
20010000,25 to 29 years,11442.9999999996,11442.9999999996
20010000,30 to 34 years,12075.9999999996,12075.9999999996
20010000,35 to 39 years,10828.9999999998,10828.9999999998
20010000,40 to 44 years,11257.9999999998,11257.9999999998
20010000,45 to 49 years,11347.9999999999,11347.9999999999
20010000,5 to 9 years,12189.9999999998,12189.9999999998
20010000,50 to 54 years,13143.9999999997,13143.9999999997
20010000,55 to 59 years,15229.9999999999,15229.9999999999
20010000,60 and 61 years,6957.99999999994,6957.99999999994
20010000,62 to 64 years,9044.99999999971,9044.99999999971
20010000,65 and 66 years,5797.99999999983,5797.99999999983
20010000,67 to 69 years,7187.99999999993,7187.99999999993
20010000,70 to 74 years,7873.99999999982,7873.99999999982
20010000,75 to 79 years,4637.99999999984,4637.99999999984
20010000,80 to 84 years,3575.99999999992,3575.99999999992
20010000,85 years and over,4975.99999999985,4975.99999999985
20010000,Under 5 years,12124.9999999996,12124.9999999996
20020000,10 to 14 years,8863.00000000142,8863.00000000142
20020000,15 to 17 years,5449.00000000074,5449.00000000074
20020000,18 and 19 years,3150.00000000067,3150.00000000067
20020000,20 years,1572.0000000002,1572.0000000002
20020000,21 years,1422.00000000021,1422.00000000021
20020000,22 to 24 years,5161.00000000095,5161.00000000095
20020000,25 to 29 years,9534.00000000151,9534.00000000151
20020000,30 to 34 years,10554.0000000017,10554.0000000017
20020000,35 to 39 years,9877.00000000206,9877.00000000206
20020000,40 to 44 years,9918.00000000117,9918.00000000117
20020000,45 to 49 years,10524.0000000019,10524.0000000019
20020000,5 to 9 years,9825.00000000177,9825.00000000177
20020000,50 to 54 years,11445.0000000018,11445.0000000018
20020000,55 to 59 years,11303.0000000016,11303.0000000016
20020000,60 and 61 years,4535.00000000068,4535.00000000068
20020000,62 to 64 years,6280.00000000099,6280.00000000099
20020000,65 and 66 years,3748.00000000057,3748.00000000057
20020000,67 to 69 years,4959.00000000079,4959.00000000079
20020000,70 to 74 years,5244.00000000068,5244.00000000068
20020000,75 to 79 years,3306.00000000039,3306.00000000039
20020000,80 to 84 years,2398.00000000019,2398.00000000019
20020000,85 years and over,3169.00000000029,3169.00000000029
20020000,Under 5 years,9391.00000000166,9391.00000000166
20030000,10 to 14 years,0,0
20030000,15 to 17 years,0,0
20030000,18 and 19 years,0,0
20030000,20 years,0,0
20030000,21 years,0,0
20030000,22 to 24 years,0,0
20030000,25 to 29 years,0,0
20030000,30 to 34 years,0,0
20030000,35 to 39 years,0,0
20030000,40 to 44 years,0,0
20030000,45 to 49 years,0,0
20030000,5 to 9 years,0,0
20030000,50 to 54 years,0,0
20030000,55 to 59 years,0,0
20030000,60 and 61 years,0,0
20030000,62 to 64 years,0,0
20030000,65 and 66 years,0,0
20030000,67 to 69 years,0,0
20030000,70 to 74 years,0,0
20030000,75 to 79 years,0,0
20030000,80 to 84 years,0,0
20030000,85 years and over,0,0
20030000,Under 5 years,0,0
