huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
10020001,10 to 14 years,0.260334052478997,0.260334052478997
10020001,15 to 17 years,0.160436522020102,0.160436522020102
10020001,18 and 19 years,0.109586190631767,0.109586190631767
10020001,20 years,0.056467345762282,0.056467345762282
10020001,21 years,0.0130594306061775,0.0130594306061775
10020001,22 to 24 years,0.167633797556283,0.167633797556283
10020001,25 to 29 years,0.234323604399979,0.234323604399979
10020001,30 to 34 years,0.289244241359553,0.289244241359553
10020001,35 to 39 years,0.203192139681104,0.203192139681104
10020001,40 to 44 years,0.253022239335594,0.253022239335594
10020001,45 to 49 years,0.31656512460929,0.31656512460929
10020001,5 to 9 years,0.389259125742508,0.389259125742508
10020001,50 to 54 years,0.395903348070928,0.395903348070928
10020001,55 to 59 years,0.483191286799996,0.483191286799996
10020001,60 and 61 years,0.158209221882558,0.158209221882558
10020001,62 to 64 years,0.319134333416523,0.319134333416523
10020001,65 and 66 years,0.139095361220811,0.139095361220811
10020001,67 to 69 years,0.215036497281003,0.215036497281003
10020001,70 to 74 years,0.360731043912014,0.360731043912014
10020001,75 to 79 years,0.187718301026875,0.187718301026875
10020001,80 to 84 years,0.160156463392276,0.160156463392276
10020001,85 years and over,0.181463581966041,0.181463581966041
10020001,Under 5 years,0.290747677372075,0.290747677372075
10020004,10 to 14 years,0.261062695945435,0.261062695945435
10020004,15 to 17 years,0.161446667229413,0.161446667229413
10020004,18 and 19 years,0.0583956030404262,0.0583956030404262
10020004,20 years,0.0463729788850443,0.0463729788850443
10020004,21 years,0,0
10020004,22 to 24 years,0.195797021959076,0.195797021959076
10020004,25 to 29 years,0.237017447634671,0.237017447634671
10020004,30 to 34 years,0.182056880067211,0.182056880067211
10020004,35 to 39 years,0.216407234796873,0.216407234796873
10020004,40 to 44 years,0.206102128377975,0.206102128377975
10020004,45 to 49 years,0.333198440877726,0.333198440877726
10020004,5 to 9 years,0.209537163850941,0.209537163850941
10020004,50 to 54 years,0.413921774492432,0.413921774492432
10020004,55 to 59 years,0.542735604728667,0.542735604728667
