huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
04040001,10 to 14 years,3284.92522693209,3284.92522693209
04040001,15 to 17 years,2074.79220768431,2074.79220768431
04040001,18 and 19 years,1110.23655842052,1110.23655842052
04040001,20 years,430.769064815373,430.769064815373
04040001,21 years,561.375469412259,561.375469412259
04040001,22 to 24 years,1626.86143642165,1626.86143642165
04040001,25 to 29 years,2494.56638298883,2494.56638298883
04040001,30 to 34 years,2398.59282963439,2398.59282963439
04040001,35 to 39 years,2315.82988020744,2315.82988020744
04040001,40 to 44 years,1883.3750014608,1883.3750014608
04040001,45 to 49 years,2332.80065605066,2332.80065605066
04040001,5 to 9 years,2751.41305698341,2751.41305698341
04040001,50 to 54 years,2396.3310276654,2396.3310276654
04040001,55 to 59 years,2384.52093761103,2384.52093761103
04040001,60 and 61 years,857.125014649902,857.125014649902
04040001,62 to 64 years,1165.25517824672,1165.25517824672
04040001,65 and 66 years,547.949270779255,547.949270779255
04040001,67 to 69 years,605.165898504316,605.165898504316
04040001,70 to 74 years,885.928721933585,885.928721933585
04040001,75 to 79 years,787.230441543725,787.230441543725
04040001,80 to 84 years,561.861275932586,561.861275932586
04040001,85 years and over,596.374683567827,596.374683567827
04040001,Under 5 years,2145.54487559053,2145.54487559053
04040002,10 to 14 years,31498.8534036053,31498.8534036053
04040002,15 to 17 years,19008.6301646355,19008.6301646355
04040002,18 and 19 years,24137.6745535385,24137.6745535385
04040002,20 years,11616.2578043904,11616.2578043904
04040002,21 years,12065.1402063339,12065.1402063339
04040002,22 to 24 years,37225.6898161419,37225.6898161419
04040002,25 to 29 years,70178.6363458949,70178.6363458949
04040002,30 to 34 years,57216.3858532605,57216.3858532605
04040002,35 to 39 years,44897.9019637208,44897.9019637208
04040002,40 to 44 years,38929.6029496402,38929.6029496402
04040002,45 to 49 years,39337.0722726046,39337.0722726046
04040002,5 to 9 years,32531.4769363674,32531.4769363674
04040002,50 to 54 years,39539.2712538686,39539.2712538686
04040002,55 to 59 years,38200.4400070417,38200.4400070417
04040002,60 and 61 years,14165.2354593302,14165.2354593302
04040002,62 to 64 years,19887.3731265391,19887.3731265391
04040002,65 and 66 years,11853.5432122981,11853.5432122981
04040002,67 to 69 years,14063.1013172979,14063.1013172979
04040002,70 to 74 years,19004.0492623122,19004.0492623122
04040002,75 to 79 years,13394.3399773575,13394.3399773575
04040002,80 to 84 years,10140.4272828987,10140.4272828987
04040002,85 years and over,10419.141175972,10419.141175972
04040002,Under 5 years,35618.0129183817,35618.0129183817
04190000,10 to 14 years,413.907877243787,413.907877243787
04190000,15 to 17 years,236.780828197967,236.780828197967
04190000,18 and 19 years,410.358170748875,410.358170748875
04190000,20 years,168.823975212267,168.823975212267
04190000,21 years,209.337276535915,209.337276535915
04190000,22 to 24 years,984.916524503769,984.916524503769
04190000,25 to 29 years,2228.69012073841,2228.69012073841
04190000,30 to 34 years,1741.84365852074,1741.84365852074
04190000,35 to 39 years,987.777944199399,987.777944199399
04190000,40 to 44 years,819.789306028204,819.789306028204
04190000,45 to 49 years,813.042362762183,813.042362762183
04190000,5 to 9 years,370.096346169117,370.096346169117
04190000,50 to 54 years,797.721917591035,797.721917591035
04190000,55 to 59 years,941.761157923755,941.761157923755
04190000,60 and 61 years,371.828090205529,371.828090205529
04190000,62 to 64 years,524.694230099141,524.694230099141
04190000,65 and 66 years,271.84572729543,271.84572729543
04190000,67 to 69 years,372.498158626578,372.498158626578
04190000,70 to 74 years,527.76883880508,527.76883880508
04190000,75 to 79 years,384.814568405894,384.814568405894
04190000,80 to 84 years,270.366187382457,270.366187382457
04190000,85 years and over,211.986465535482,211.986465535482
04190000,Under 5 years,517.450525938789,517.450525938789
05120108,10 to 14 years,811.843978660499,811.843978660499
05120108,15 to 17 years,436.279318967459,436.279318967459
05120108,18 and 19 years,254.57277784518,254.57277784518
05120108,20 years,104.08338230244,104.08338230244
05120108,21 years,102.753258516668,102.753258516668
05120108,22 to 24 years,289.759080737968,289.759080737968
05120108,25 to 29 years,748.030055070906,748.030055070906
05120108,30 to 34 years,728.439224974025,728.439224974025
05120108,35 to 39 years,647.347891593002,647.347891593002
05120108,40 to 44 years,658.173936904779,658.173936904779
05120108,45 to 49 years,702.745982039388,702.745982039388
05120108,5 to 9 years,587.118880449293,587.118880449293
05120108,50 to 54 years,688.53119083239,688.53119083239
05120108,55 to 59 years,854.489574526562,854.489574526562
05120108,60 and 61 years,255.88924702425,255.88924702425
05120108,62 to 64 years,345.261209468984,345.261209468984
05120108,65 and 66 years,289.573929397712,289.573929397712
05120108,67 to 69 years,332.287434443556,332.287434443556
05120108,70 to 74 years,409.570062178714,409.570062178714
05120108,75 to 79 years,314.029034889846,314.029034889846
05120108,80 to 84 years,349.10165751823,349.10165751823
05120108,85 years and over,189.57965350351,189.57965350351
05120108,Under 5 years,652.844399409606,652.844399409606
05120109,10 to 14 years,9235.44837650912,9235.44837650912
05120109,15 to 17 years,6110.27626846471,6110.27626846471
05120109,18 and 19 years,10772.5173191032,10772.5173191032
05120109,20 years,7958.05039040028,7958.05039040028
05120109,21 years,8519.49236862739,8519.49236862739
05120109,22 to 24 years,14331.7335966607,14331.7335966607
05120109,25 to 29 years,13897.4185217002,13897.4185217002
05120109,30 to 34 years,11183.3997223322,11183.3997223322
05120109,35 to 39 years,9180.64373620088,9180.64373620088
05120109,40 to 44 years,8895.68039993308,8895.68039993308
05120109,45 to 49 years,8700.36121744211,8700.36121744211
05120109,5 to 9 years,10067.7748549459,10067.7748549459
05120109,50 to 54 years,10403.9242254957,10403.9242254957
05120109,55 to 59 years,9965.56224525242,9965.56224525242
05120109,60 and 61 years,4146.03062284393,4146.03062284393
05120109,62 to 64 years,5335.98109938221,5335.98109938221
05120109,65 and 66 years,3267.92138947189,3267.92138947189
05120109,67 to 69 years,3761.59128855991,3761.59128855991
05120109,70 to 74 years,5523.70818443912,5523.70818443912
05120109,75 to 79 years,3710.44276363201,3710.44276363201
05120109,80 to 84 years,3415.2364454169,3415.2364454169
05120109,85 years and over,3306.15106250072,3306.15106250072
05120109,Under 5 years,9639.21826375901,9639.21826375901
05120111,10 to 14 years,1963.46674202175,1963.46674202175
05120111,15 to 17 years,1203.1843533436,1203.1843533436
05120111,18 and 19 years,722.69309073345,722.69309073345
05120111,20 years,445.497314158975,445.497314158975
05120111,21 years,269.63130273139,269.63130273139
05120111,22 to 24 years,1233.34460743453,1233.34460743453
05120111,25 to 29 years,2145.05597831031,2145.05597831031
05120111,30 to 34 years,2051.83283668119,2051.83283668119
05120111,35 to 39 years,2250.42286298065,2250.42286298065
05120111,40 to 44 years,2077.24206155164,2077.24206155164
05120111,45 to 49 years,2161.68204532346,2161.68204532346
05120111,5 to 9 years,2006.04700287369,2006.04700287369
05120111,50 to 54 years,2539.18471388437,2539.18471388437
05120111,55 to 59 years,2388.15502915366,2388.15502915366
05120111,60 and 61 years,886.003535412581,886.003535412581
05120111,62 to 64 years,1471.92326254828,1471.92326254828
05120111,65 and 66 years,827.785475445359,827.785475445359
05120111,67 to 69 years,1089.80799243198,1089.80799243198
05120111,70 to 74 years,1541.03470293722,1541.03470293722
05120111,75 to 79 years,1117.83981816913,1117.83981816913
05120111,80 to 84 years,834.429554577456,834.429554577456
05120111,85 years and over,1055.85960207751,1055.85960207751
05120111,Under 5 years,1774.37710441333,1774.37710441333
05120112,10 to 14 years,7336.70348581443,7336.70348581443
05120112,15 to 17 years,4292.41005163838,4292.41005163838
05120112,18 and 19 years,7865.17660414917,7865.17660414917
05120112,20 years,2847.18838766401,2847.18838766401
05120112,21 years,3186.67421097755,3186.67421097755
05120112,22 to 24 years,7089.35466558577,7089.35466558577
05120112,25 to 29 years,8263.40213729109,8263.40213729109
05120112,30 to 34 years,7827.88036183112,7827.88036183112
05120112,35 to 39 years,6791.34872686629,6791.34872686629
05120112,40 to 44 years,6726.50008851121,6726.50008851121
05120112,45 to 49 years,7013.48935450269,7013.48935450269
05120112,5 to 9 years,6671.46715675046,6671.46715675046
05120112,50 to 54 years,8371.85521091335,8371.85521091335
05120112,55 to 59 years,8706.78082636842,8706.78082636842
05120112,60 and 61 years,3160.53507929073,3160.53507929073
05120112,62 to 64 years,4321.64934258492,4321.64934258492
05120112,65 and 66 years,2841.76709348622,2841.76709348622
05120112,67 to 69 years,3205.20550273274,3205.20550273274
05120112,70 to 74 years,4809.54673299671,4809.54673299671
05120112,75 to 79 years,4114.0654437452,4114.0654437452
05120112,80 to 84 years,2735.39490680148,2735.39490680148
05120112,85 years and over,3216.45489019261,3216.45489019261
05120112,Under 5 years,7055.41403202277,7055.41403202277
05120113,10 to 14 years,1307.18451711672,1307.18451711672
05120113,15 to 17 years,720.388121691672,720.388121691672
05120113,18 and 19 years,446.858818629389,446.858818629389
05120113,20 years,269.12028916226,269.12028916226
05120113,21 years,339.058947686776,339.058947686776
05120113,22 to 24 years,1067.20632641503,1067.20632641503
05120113,25 to 29 years,1685.76184335211,1685.76184335211
05120113,30 to 34 years,1759.56962968708,1759.56962968708
05120113,35 to 39 years,1527.9779684529,1527.9779684529
05120113,40 to 44 years,1264.204974692,1264.204974692
05120113,45 to 49 years,1602.5958032725,1602.5958032725
05120113,5 to 9 years,1198.42361825474,1198.42361825474
05120113,50 to 54 years,1783.85015741169,1783.85015741169
05120113,55 to 59 years,1835.38143309822,1835.38143309822
05120113,60 and 61 years,612.714146411045,612.714146411045
05120113,62 to 64 years,762.255819498315,762.255819498315
05120113,65 and 66 years,523.242732826404,523.242732826404
05120113,67 to 69 years,648.983690320001,648.983690320001
05120113,70 to 74 years,869.180321883798,869.180321883798
05120113,75 to 79 years,744.736854039283,744.736854039283
05120113,80 to 84 years,486.064861310145,486.064861310145
05120113,85 years and over,661.864162752839,661.864162752839
05120113,Under 5 years,1353.48981215288,1353.48981215288
05120114,10 to 14 years,6083.23167928672,6083.23167928672
05120114,15 to 17 years,3551.457196042,3551.457196042
05120114,18 and 19 years,1893.41575901602,1893.41575901602
05120114,20 years,1220.29623866411,1220.29623866411
05120114,21 years,938.359329325678,938.359329325678
05120114,22 to 24 years,3131.99284221129,3131.99284221129
05120114,25 to 29 years,5266.77180702707,5266.77180702707
05120114,30 to 34 years,5369.53818387973,5369.53818387973
05120114,35 to 39 years,5342.26930591324,5342.26930591324
05120114,40 to 44 years,4913.82536492456,4913.82536492456
05120114,45 to 49 years,5440.34212402622,5440.34212402622
05120114,5 to 9 years,5635.88468174333,5635.88468174333
05120114,50 to 54 years,6805.96930270677,6805.96930270677
05120114,55 to 59 years,6530.13777805776,6530.13777805776
05120114,60 and 61 years,2486.1345232802,2486.1345232802
05120114,62 to 64 years,3495.01096369491,3495.01096369491
05120114,65 and 66 years,2092.9498137914,2092.9498137914
05120114,67 to 69 years,2714.35686258975,2714.35686258975
05120114,70 to 74 years,3827.81874895112,3827.81874895112
05120114,75 to 79 years,3003.47989590245,3003.47989590245
05120114,80 to 84 years,2415.29366066227,2415.29366066227
05120114,85 years and over,2772.06424339066,2772.06424339066
05120114,Under 5 years,5517.60396856998,5517.60396856998
05120115,10 to 14 years,1671.86543846699,1671.86543846699
05120115,15 to 17 years,924.863990184591,924.863990184591
05120115,18 and 19 years,509.946646765607,509.946646765607
05120115,20 years,267.251616393518,267.251616393518
05120115,21 years,236.548843286881,236.548843286881
05120115,22 to 24 years,925.060272838544,925.060272838544
05120115,25 to 29 years,1319.95104097383,1319.95104097383
05120115,30 to 34 years,1420.8532573861,1420.8532573861
05120115,35 to 39 years,1510.15733940416,1510.15733940416
05120115,40 to 44 years,1552.66871997052,1552.66871997052
05120115,45 to 49 years,1753.31151531454,1753.31151531454
05120115,5 to 9 years,1549.5733017153,1549.5733017153
05120115,50 to 54 years,1962.31193540538,1962.31193540538
05120115,55 to 59 years,1706.46344946638,1706.46344946638
05120115,60 and 61 years,619.500130271206,619.500130271206
05120115,62 to 64 years,939.540032549905,939.540032549905
05120115,65 and 66 years,630.793374505789,630.793374505789
05120115,67 to 69 years,889.407182048463,889.407182048463
05120115,70 to 74 years,1137.2894535238,1137.2894535238
05120115,75 to 79 years,797.024923969161,797.024923969161
05120115,80 to 84 years,508.943824853411,508.943824853411
05120115,85 years and over,557.641294748228,557.641294748228
05120115,Under 5 years,1650.04997911497,1650.04997911497
05140202,10 to 14 years,30.5926376567481,30.5926376567481
05140202,15 to 17 years,15.7681032680666,15.7681032680666
05140202,18 and 19 years,7.35346997664825,7.35346997664825
05140202,20 years,2.76902193637254,2.76902193637254
05140202,21 years,13.8267269345417,13.8267269345417
05140202,22 to 24 years,17.8174278297117,17.8174278297117
05140202,25 to 29 years,24.1623019074971,24.1623019074971
05140202,30 to 34 years,20.130350962532,20.130350962532
05140202,35 to 39 years,22.1813466830244,22.1813466830244
05140202,40 to 44 years,34.4895210862157,34.4895210862157
05140202,45 to 49 years,29.4188933831351,29.4188933831351
05140202,5 to 9 years,28.8268173968768,28.8268173968768
05140202,50 to 54 years,26.0607570323796,26.0607570323796
05140202,55 to 59 years,33.3683442285101,33.3683442285101
05140202,60 and 61 years,8.37710630513741,8.37710630513741
05140202,62 to 64 years,19.1734128123679,19.1734128123679
05140202,65 and 66 years,22.5415761162076,22.5415761162076
05140202,67 to 69 years,16.365192730867,16.365192730867
05140202,70 to 74 years,31.56370656933,31.56370656933
05140202,75 to 79 years,18.5046116947003,18.5046116947003
05140202,80 to 84 years,11.5622674082951,11.5622674082951
05140202,85 years and over,9.36154448849825,9.36154448849825
05140202,Under 5 years,28.9002002105914,28.9002002105914
05140203,10 to 14 years,586.093467570853,586.093467570853
05140203,15 to 17 years,342.267646992332,342.267646992332
05140203,18 and 19 years,193.778641512192,193.778641512192
05140203,20 years,247.686879831052,247.686879831052
05140203,21 years,160.027264596412,160.027264596412
05140203,22 to 24 years,483.739863827962,483.739863827962
05140203,25 to 29 years,768.136531931709,768.136531931709
05140203,30 to 34 years,776.006980017728,776.006980017728
05140203,35 to 39 years,916.436838640105,916.436838640105
05140203,40 to 44 years,758.678771899738,758.678771899738
05140203,45 to 49 years,949.363942984006,949.363942984006
05140203,5 to 9 years,468.932020502418,468.932020502418
05140203,50 to 54 years,960.958436561728,960.958436561728
05140203,55 to 59 years,972.738344945908,972.738344945908
05140203,60 and 61 years,381.563773659272,381.563773659272
05140203,62 to 64 years,545.358888355755,545.358888355755
05140203,65 and 66 years,333.834618221194,333.834618221194
05140203,67 to 69 years,387.154217411123,387.154217411123
05140203,70 to 74 years,722.034716424996,722.034716424996
05140203,75 to 79 years,429.287676193483,429.287676193483
05140203,80 to 84 years,273.515873380896,273.515873380896
05140203,85 years and over,231.723669287467,231.723669287467
05140203,Under 5 years,466.479268081738,466.479268081738
05140204,10 to 14 years,2773.1487691661,2773.1487691661
05140204,15 to 17 years,1827.10240879273,1827.10240879273
05140204,18 and 19 years,839.320418824163,839.320418824163
05140204,20 years,524.175260451342,524.175260451342
05140204,21 years,638.206295235008,638.206295235008
05140204,22 to 24 years,1302.52496474561,1302.52496474561
05140204,25 to 29 years,2459.31592005989,2459.31592005989
05140204,30 to 34 years,2493.50130387862,2493.50130387862
05140204,35 to 39 years,2332.60164341641,2332.60164341641
05140204,40 to 44 years,2594.73178583936,2594.73178583936
05140204,45 to 49 years,2808.90739279874,2808.90739279874
05140204,5 to 9 years,2397.59707427524,2397.59707427524
05140204,50 to 54 years,3237.46904001163,3237.46904001163
05140204,55 to 59 years,3153.07251027201,3153.07251027201
05140204,60 and 61 years,1199.48106537568,1199.48106537568
05140204,62 to 64 years,2001.62485315964,2001.62485315964
05140204,65 and 66 years,1287.82451389756,1287.82451389756
05140204,67 to 69 years,1452.19723100328,1452.19723100328
05140204,70 to 74 years,2190.85565977312,2190.85565977312
05140204,75 to 79 years,1593.98906094265,1593.98906094265
05140204,80 to 84 years,1076.41453825488,1076.41453825488
05140204,85 years and over,1017.19766354168,1017.19766354168
05140204,Under 5 years,2377.43152529386,2377.43152529386
05140206,10 to 14 years,1871.92195633071,1871.92195633071
05140206,15 to 17 years,1015.42368881063,1015.42368881063
05140206,18 and 19 years,589.769121369437,589.769121369437
05140206,20 years,355.15406528377,355.15406528377
05140206,21 years,332.429494773777,332.429494773777
05140206,22 to 24 years,964.030253368056,964.030253368056
05140206,25 to 29 years,1491.12415702153,1491.12415702153
05140206,30 to 34 years,1508.09157742438,1508.09157742438
05140206,35 to 39 years,1656.35227118329,1656.35227118329
05140206,40 to 44 years,1670.72515869715,1670.72515869715
05140206,45 to 49 years,1795.41390215523,1795.41390215523
05140206,5 to 9 years,1860.7457203798,1860.7457203798
05140206,50 to 54 years,2051.38159504391,2051.38159504391
05140206,55 to 59 years,2227.77034254823,2227.77034254823
05140206,60 and 61 years,860.947847304608,860.947847304608
05140206,62 to 64 years,983.336433038611,983.336433038611
05140206,65 and 66 years,784.131099353371,784.131099353371
05140206,67 to 69 years,900.969931969848,900.969931969848
05140206,70 to 74 years,1513.95779188351,1513.95779188351
05140206,75 to 79 years,1000.47322347987,1000.47322347987
05140206,80 to 84 years,877.201228009003,877.201228009003
05140206,85 years and over,776.25589279723,776.25589279723
05140206,Under 5 years,1583.31089689294,1583.31089689294
07060005,10 to 14 years,1993.2679325491,1993.2679325491
07060005,15 to 17 years,1249.61831646633,1249.61831646633
07060005,18 and 19 years,598.185786258911,598.185786258911
07060005,20 years,244.954029068447,244.954029068447
07060005,21 years,290.262360526947,290.262360526947
07060005,22 to 24 years,991.149413239271,991.149413239271
07060005,25 to 29 years,1293.27218220362,1293.27218220362
07060005,30 to 34 years,1424.96021915578,1424.96021915578
07060005,35 to 39 years,1359.85582860888,1359.85582860888
07060005,40 to 44 years,1965.39964654476,1965.39964654476
07060005,45 to 49 years,1827.11595844602,1827.11595844602
07060005,5 to 9 years,1499.5809827741,1499.5809827741
07060005,50 to 54 years,2353.31089640887,2353.31089640887
07060005,55 to 59 years,2314.16474119176,2314.16474119176
07060005,60 and 61 years,1104.27708420292,1104.27708420292
07060005,62 to 64 years,1741.76644196032,1741.76644196032
07060005,65 and 66 years,1112.07563530609,1112.07563530609
07060005,67 to 69 years,1424.20829910641,1424.20829910641
07060005,70 to 74 years,1762.29824714468,1762.29824714468
07060005,75 to 79 years,1265.48263770252,1265.48263770252
07060005,80 to 84 years,982.367962565106,982.367962565106
