huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
04040001,10 to 14 years,26992.7566951096,26992.7566951096
04040001,15 to 17 years,17004.7670434072,17004.7670434072
04040001,18 and 19 years,9831.29632521839,9831.29632521839
04040001,20 years,5230.45201449609,5230.45201449609
04040001,21 years,5627.26734956381,5627.26734956381
04040001,22 to 24 years,15851.3150369411,15851.3150369411
04040001,25 to 29 years,24634.0279896493,24634.0279896493
04040001,30 to 34 years,26622.297407586,26622.297407586
04040001,35 to 39 years,25689.6874283984,25689.6874283984
04040001,40 to 44 years,25495.691485436,25495.691485436
04040001,45 to 49 years,26765.3847740231,26765.3847740231
04040001,5 to 9 years,26818.3598671369,26818.3598671369
04040001,50 to 54 years,28081.3641044433,28081.3641044433
04040001,55 to 59 years,29634.4067677853,29634.4067677853
04040001,60 and 61 years,10781.4192295187,10781.4192295187
04040001,62 to 64 years,14791.4108931529,14791.4108931529
04040001,65 and 66 years,8491.87507509881,8491.87507509881
04040001,67 to 69 years,10808.0555094248,10808.0555094248
04040001,70 to 74 years,13970.6346990498,13970.6346990498
04040001,75 to 79 years,9634.77759231734,9634.77759231734
04040001,80 to 84 years,7628.98947238537,7628.98947238537
04040001,85 years and over,7411.14580800485,7411.14580800485
04040001,Under 5 years,24181.592064554,24181.592064554
04050001,10 to 14 years,41055.2180004492,41055.2180004492
04050001,15 to 17 years,24197.5850560519,24197.5850560519
04050001,18 and 19 years,16647.54056112,16647.54056112
04050001,20 years,9150.95006945813,9150.95006945813
04050001,21 years,8960.09631678444,8960.09631678444
04050001,22 to 24 years,21596.201866874,21596.201866874
04050001,25 to 29 years,35161.3336700104,35161.3336700104
04050001,30 to 34 years,33867.3232644577,33867.3232644577
04050001,35 to 39 years,33302.9139884228,33302.9139884228
04050001,40 to 44 years,33158.702492861,33158.702492861
04050001,45 to 49 years,34440.0273134723,34440.0273134723
04050001,5 to 9 years,38832.7458251919,38832.7458251919
04050001,50 to 54 years,35911.2548553885,35911.2548553885
04050001,55 to 59 years,34834.7023536418,34834.7023536418
04050001,60 and 61 years,14179.2806609153,14179.2806609153
04050001,62 to 64 years,18907.6272047559,18907.6272047559
04050001,65 and 66 years,10861.4967217719,10861.4967217719
04050001,67 to 69 years,14268.7438787603,14268.7438787603
04050001,70 to 74 years,17854.7218520367,17854.7218520367
04050001,75 to 79 years,12537.5573399541,12537.5573399541
04050001,80 to 84 years,10019.016239708,10019.016239708
04050001,85 years and over,11166.4372636231,11166.4372636231
04050001,Under 5 years,38971.7326935584,38971.7326935584
04100003,10 to 14 years,11841.9240941509,11841.9240941509
04100003,15 to 17 years,6761.11591290676,6761.11591290676
04100003,18 and 19 years,3978.06556622398,3978.06556622398
04100003,20 years,2406.08748783418,2406.08748783418
04100003,21 years,2292.92878068894,2292.92878068894
04100003,22 to 24 years,5637.41095682989,5637.41095682989
04100003,25 to 29 years,9923.36633302649,9923.36633302649
04100003,30 to 34 years,9901.32000198614,9901.32000198614
04100003,35 to 39 years,9766.66291549556,9766.66291549556
04100003,40 to 44 years,9210.06658863464,9210.06658863464
04100003,45 to 49 years,10098.5207772793,10098.5207772793
04100003,5 to 9 years,10206.2838567745,10206.2838567745
04100003,50 to 54 years,11126.0711392762,11126.0711392762
04100003,55 to 59 years,10384.6030576369,10384.6030576369
04100003,60 and 61 years,3709.54215510333,3709.54215510333
04100003,62 to 64 years,5104.92809836685,5104.92809836685
04100003,65 and 66 years,3498.62612514245,3498.62612514245
04100003,67 to 69 years,4076.61011108935,4076.61011108935
04100003,70 to 74 years,4995.24615677338,4995.24615677338
04100003,75 to 79 years,3368.57651411318,3368.57651411318
04100003,80 to 84 years,2735.04686600645,2735.04686600645
04100003,85 years and over,2817.64912427426,2817.64912427426
04100003,Under 5 years,9981.04859875746,9981.04859875746
04100004,10 to 14 years,9414.64630412975,9414.64630412975
04100004,15 to 17 years,5736.68160866062,5736.68160866062
04100004,18 and 19 years,3452.21696569072,3452.21696569072
04100004,20 years,1643.78629559779,1643.78629559779
04100004,21 years,2286.84415386091,2286.84415386091
04100004,22 to 24 years,5963.03652023169,5963.03652023169
04100004,25 to 29 years,9672.89764122639,9672.89764122639
04100004,30 to 34 years,9177.34016802074,9177.34016802074
04100004,35 to 39 years,8521.29617436792,8521.29617436792
04100004,40 to 44 years,8264.87180760616,8264.87180760616
04100004,45 to 49 years,8070.44931150434,8070.44931150434
04100004,5 to 9 years,10917.1282008474,10917.1282008474
04100004,50 to 54 years,8603.97144909849,8603.97144909849
04100004,55 to 59 years,8507.19914710649,8507.19914710649
04100004,60 and 61 years,3321.63137857986,3321.63137857986
04100004,62 to 64 years,4170.27211705773,4170.27211705773
04100004,65 and 66 years,2307.23152850446,2307.23152850446
04100004,67 to 69 years,2939.40321245977,2939.40321245977
04100004,70 to 74 years,3561.16834138655,3561.16834138655
04100004,75 to 79 years,2524.65138408651,2524.65138408651
04100004,80 to 84 years,1836.33755507053,1836.33755507053
04100004,85 years and over,2239.64310254003,2239.64310254003
04100004,Under 5 years,10930.0399528891,10930.0399528891
04100005,10 to 14 years,6965.28275263065,6965.28275263065
04100005,15 to 17 years,4315.351690137,4315.351690137
04100005,18 and 19 years,2251.89879129876,2251.89879129876
04100005,20 years,999.609844228068,999.609844228068
04100005,21 years,1247.56793057849,1247.56793057849
04100005,22 to 24 years,3969.10243680236,3969.10243680236
04100005,25 to 29 years,6290.67314410713,6290.67314410713
04100005,30 to 34 years,6153.28583748507,6153.28583748507
04100005,35 to 39 years,6011.13154757067,6011.13154757067
04100005,40 to 44 years,5760.37579836151,5760.37579836151
04100005,45 to 49 years,5651.23320476933,5651.23320476933
04100005,5 to 9 years,7519.28109746708,7519.28109746708
04100005,50 to 54 years,5944.26584864137,5944.26584864137
04100005,55 to 59 years,6218.86961865111,6218.86961865111
04100005,60 and 61 years,2057.88450577722,2057.88450577722
04100005,62 to 64 years,3005.29797191371,3005.29797191371
04100005,65 and 66 years,2085.81846648042,2085.81846648042
04100005,67 to 69 years,2284.53109882325,2284.53109882325
04100005,70 to 74 years,3089.50627438346,3089.50627438346
04100005,75 to 79 years,2687.91836512872,2687.91836512872
04100005,80 to 84 years,1799.68511743013,1799.68511743013
04100005,85 years and over,2115.35347006126,2115.35347006126
04100005,Under 5 years,7135.41622040844,7135.41622040844
04100007,10 to 14 years,371.775885194162,371.775885194162
04100007,15 to 17 years,209.286095554038,209.286095554038
04100007,18 and 19 years,120.434295817132,120.434295817132
04100007,20 years,73.0449146070107,73.0449146070107
04100007,21 years,66.5396990485159,66.5396990485159
04100007,22 to 24 years,190.179716942453,190.179716942453
04100007,25 to 29 years,274.054889502359,274.054889502359
04100007,30 to 34 years,353.222787561306,353.222787561306
04100007,35 to 39 years,257.201027026796,257.201027026796
04100007,40 to 44 years,338.654088859947,338.654088859947
04100007,45 to 49 years,358.32601285043,358.32601285043
04100007,5 to 9 years,350.749939287275,350.749939287275
04100007,50 to 54 years,446.529427105117,446.529427105117
04100007,55 to 59 years,393.913095860515,393.913095860515
04100007,60 and 61 years,216.956112271789,216.956112271789
04100007,62 to 64 years,259.526220537388,259.526220537388
04100007,65 and 66 years,123.021401253098,123.021401253098
04100007,67 to 69 years,174.087551516589,174.087551516589
04100007,70 to 74 years,229.257772863122,229.257772863122
04100007,75 to 79 years,165.667721905168,165.667721905168
04100007,80 to 84 years,117.43361369735,117.43361369735
04100007,85 years and over,153.23926682171,153.23926682171
04100007,Under 5 years,296.277177823005,296.277177823005
04190000,10 to 14 years,31.5161175470074,31.5161175470074
04190000,15 to 17 years,22.5659679684869,22.5659679684869
04190000,18 and 19 years,10.1461077341588,10.1461077341588
04190000,20 years,16.5337949028101,16.5337949028101
04190000,21 years,10.0514719148504,10.0514719148504
04190000,22 to 24 years,21.2755291099498,21.2755291099498
04190000,25 to 29 years,40.4313678183391,40.4313678183391
04190000,30 to 34 years,25.8235265687671,25.8235265687671
04190000,35 to 39 years,28.1900662264046,28.1900662264046
04190000,40 to 44 years,19.852541513263,19.852541513263
04190000,45 to 49 years,22.0283514082072,22.0283514082072
04190000,5 to 9 years,54.5436613122746,54.5436613122746
04190000,50 to 54 years,30.6942662478007,30.6942662478007
04190000,55 to 59 years,41.5983789614642,41.5983789614642
04190000,60 and 61 years,9.76995824580296,9.76995824580296
04190000,62 to 64 years,21.7393170876321,21.7393170876321
04190000,65 and 66 years,8.36572477781409,8.36572477781409
04190000,67 to 69 years,13.7746767143086,13.7746767143086
04190000,70 to 74 years,10.7152328893022,10.7152328893022
04190000,75 to 79 years,9.15509295627408,9.15509295627408
04190000,80 to 84 years,11.8446467752477,11.8446467752477
04190000,85 years and over,8.10664926443842,8.10664926443842
04190000,Under 5 years,45.6149750463502,45.6149750463502
05080001,10 to 14 years,184.432552103433,184.432552103433
