huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
10240005,10 to 14 years,406.149130065646,406.149130065646
10240005,15 to 17 years,225.016435299183,225.016435299183
10240005,18 and 19 years,469.863437763738,469.863437763738
10240005,20 years,150.201859809463,150.201859809463
10240005,21 years,56.0925007891506,56.0925007891506
10240005,22 to 24 years,232.131554552273,232.131554552273
10240005,25 to 29 years,333.348283391335,333.348283391335
10240005,30 to 34 years,378.137408383987,378.137408383987
10240005,35 to 39 years,330.78792546053,330.78792546053
10240005,40 to 44 years,349.2365146947,349.2365146947
10240005,45 to 49 years,425.256577899967,425.256577899967
10240005,5 to 9 years,480.102237412986,480.102237412986
10240005,50 to 54 years,420.460163222362,420.460163222362
10240005,55 to 59 years,462.203289718501,462.203289718501
10240005,60 and 61 years,229.793387603725,229.793387603725
10240005,62 to 64 years,280.631084558848,280.631084558848
10240005,65 and 66 years,170.025050502187,170.025050502187
10240005,67 to 69 years,206.40109174236,206.40109174236
10240005,70 to 74 years,337.981946281851,337.981946281851
10240005,75 to 79 years,230.136055164261,230.136055164261
10240005,80 to 84 years,163.478609358637,163.478609358637
10240005,85 years and over,231.408143986767,231.408143986767
10240005,Under 5 years,396.725243051847,396.725243051847
10240007,10 to 14 years,346.666550254886,346.666550254886
10240007,15 to 17 years,184.697152264704,184.697152264704
10240007,18 and 19 years,141.948763012153,141.948763012153
10240007,20 years,33.726998469957,33.726998469957
10240007,21 years,89.5495627777008,89.5495627777008
10240007,22 to 24 years,202.483768793256,202.483768793256
10240007,25 to 29 years,266.19451114803,266.19451114803
10240007,30 to 34 years,307.894344670707,307.894344670707
10240007,35 to 39 years,235.528366037415,235.528366037415
10240007,40 to 44 years,244.338268822818,244.338268822818
10240007,45 to 49 years,295.956730099016,295.956730099016
10240007,5 to 9 years,381.790901607086,381.790901607086
10240007,50 to 54 years,444.996520141281,444.996520141281
10240007,55 to 59 years,376.805972520195,376.805972520195
10240007,60 and 61 years,168.259551625247,168.259551625247
10240007,62 to 64 years,210.606764790551,210.606764790551
10240007,65 and 66 years,86.0885582102165,86.0885582102165
10240007,67 to 69 years,188.327036677011,188.327036677011
10240007,70 to 74 years,179.854525576045,179.854525576045
10240007,75 to 79 years,206.291463936428,206.291463936428
10240007,80 to 84 years,219.485542916162,219.485542916162
10240007,85 years and over,275.786082437679,275.786082437679
10240007,Under 5 years,420.87757000011,420.87757000011
10240008,10 to 14 years,281.005537690069,281.005537690069
10240008,15 to 17 years,141.149211538393,141.149211538393
10240008,18 and 19 years,68.509651209481,68.509651209481
10240008,20 years,40.0514428723334,40.0514428723334
10240008,21 years,20.8898617525804,20.8898617525804
10240008,22 to 24 years,113.331704527753,113.331704527753
10240008,25 to 29 years,196.01849787069,196.01849787069
10240008,30 to 34 years,234.871530434891,234.871530434891
10240008,35 to 39 years,160.197609203057,160.197609203057
10240008,40 to 44 years,235.487941088612,235.487941088612
10240008,45 to 49 years,242.479209740794,242.479209740794
10240008,5 to 9 years,272.350564779543,272.350564779543
10240008,50 to 54 years,305.037999121125,305.037999121125
10240008,55 to 59 years,271.993447925373,271.993447925373
10240008,60 and 61 years,121.046884007202,121.046884007202
10240008,62 to 64 years,144.247990211958,144.247990211958
10240008,65 and 66 years,85.9374920780299,85.9374920780299
10240008,67 to 69 years,131.185955830426,131.185955830426
10240008,70 to 74 years,178.257889528074,178.257889528074
10240008,75 to 79 years,133.758694035976,133.758694035976
10240008,80 to 84 years,79.8252086318253,79.8252086318253
10240008,85 years and over,99.952438145229,99.952438145229
10240008,Under 5 years,307.429399584655,307.429399584655
10240011,10 to 14 years,8297.65452515191,8297.65452515191
10240011,15 to 17 years,4435.06119610841,4435.06119610841
10240011,18 and 19 years,3181.47215098442,3181.47215098442
10240011,20 years,1610.59094017206,1610.59094017206
10240011,21 years,1653.18566658361,1653.18566658361
10240011,22 to 24 years,4395.93930027662,4395.93930027662
10240011,25 to 29 years,7328.5482776165,7328.5482776165
10240011,30 to 34 years,7955.29081115487,7955.29081115487
10240011,35 to 39 years,8082.55977586876,8082.55977586876
