huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
05070201,10 to 14 years,1847.6525419294,1847.6525419294
05070201,15 to 17 years,1114.80739406248,1114.80739406248
05070201,18 and 19 years,727.30455666896,727.30455666896
05070201,20 years,264.895529145756,264.895529145756
05070201,21 years,303.374819091552,303.374819091552
05070201,22 to 24 years,1038.72405396721,1038.72405396721
05070201,25 to 29 years,1578.36892363364,1578.36892363364
05070201,30 to 34 years,2054.02848328111,2054.02848328111
05070201,35 to 39 years,2192.66139345894,2192.66139345894
05070201,40 to 44 years,2148.75740082728,2148.75740082728
05070201,45 to 49 years,2227.77614977579,2227.77614977579
05070201,5 to 9 years,1533.34263373397,1533.34263373397
05070201,50 to 54 years,2023.47900302376,2023.47900302376
05070201,55 to 59 years,2236.40383899201,2236.40383899201
05070201,60 and 61 years,700.182873877886,700.182873877886
05070201,62 to 64 years,1116.20623344976,1116.20623344976
05070201,65 and 66 years,760.338890782725,760.338890782725
05070201,67 to 69 years,866.591675375537,866.591675375537
05070201,70 to 74 years,938.338183769499,938.338183769499
05070201,75 to 79 years,812.2523708349,812.2523708349
05070201,80 to 84 years,479.288114134646,479.288114134646
05070201,85 years and over,392.629158317617,392.629158317617
05070201,Under 5 years,1484.10754045061,1484.10754045061
05070202,10 to 14 years,1680.38921956678,1680.38921956678
05070202,15 to 17 years,1010.55994522807,1010.55994522807
05070202,18 and 19 years,627.16117099631,627.16117099631
05070202,20 years,361.034347895904,361.034347895904
05070202,21 years,463.849035795003,463.849035795003
05070202,22 to 24 years,942.10961766793,942.10961766793
05070202,25 to 29 years,1568.54838173835,1568.54838173835
05070202,30 to 34 years,1573.7690124349,1573.7690124349
05070202,35 to 39 years,1566.85954978598,1566.85954978598
05070202,40 to 44 years,1693.36872818837,1693.36872818837
05070202,45 to 49 years,2036.3920564854,2036.3920564854
05070202,5 to 9 years,1540.60629535421,1540.60629535421
05070202,50 to 54 years,2343.61231999523,2343.61231999523
05070202,55 to 59 years,2289.02948668435,2289.02948668435
05070202,60 and 61 years,861.585364814614,861.585364814614
05070202,62 to 64 years,1352.13062588374,1352.13062588374
05070202,65 and 66 years,823.082382753765,823.082382753765
05070202,67 to 69 years,989.069487990369,989.069487990369
05070202,70 to 74 years,1018.92593038102,1018.92593038102
05070202,75 to 79 years,780.178491193832,780.178491193832
05070202,80 to 84 years,592.671565369352,592.671565369352
05070202,85 years and over,520.688696994264,520.688696994264
05070202,Under 5 years,1665.30863071864,1665.30863071864
05070203,10 to 14 years,5301.72917602288,5301.72917602288
05070203,15 to 17 years,3474.6348558947,3474.6348558947
05070203,18 and 19 years,2032.39105788836,2032.39105788836
05070203,20 years,1530.3959277313,1530.3959277313
05070203,21 years,1423.92343260313,1423.92343260313
05070203,22 to 24 years,3414.89655848215,3414.89655848215
05070203,25 to 29 years,5418.91717714973,5418.91717714973
05070203,30 to 34 years,5448.29456748558,5448.29456748558
05070203,35 to 39 years,5555.43937861244,5555.43937861244
05070203,40 to 44 years,6270.46996891605,6270.46996891605
05070203,45 to 49 years,6315.54516238998,6315.54516238998
