huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
01060003,10 to 14 years,203.548794726046,203.548794726046
01060003,15 to 17 years,134.142194735047,134.142194735047
01060003,18 and 19 years,81.9879298895195,81.9879298895195
01060003,20 years,57.4574417140033,57.4574417140033
01060003,21 years,85.0473961401091,85.0473961401091
01060003,22 to 24 years,208.291942332315,208.291942332315
01060003,25 to 29 years,226.38055791837,226.38055791837
01060003,30 to 34 years,183.746710847697,183.746710847697
01060003,35 to 39 years,142.849888538453,142.849888538453
01060003,40 to 44 years,310.272594145874,310.272594145874
01060003,45 to 49 years,419.396046003338,419.396046003338
01060003,5 to 9 years,129.596374332979,129.596374332979
01060003,50 to 54 years,396.43728360167,396.43728360167
01060003,55 to 59 years,246.232460114276,246.232460114276
01060003,60 and 61 years,148.209578428273,148.209578428273
01060003,62 to 64 years,209.013737096355,209.013737096355
01060003,65 and 66 years,91.0817418576214,91.0817418576214
01060003,67 to 69 years,179.8286761961,179.8286761961
01060003,70 to 74 years,178.814564498169,178.814564498169
01060003,75 to 79 years,127.584479348022,127.584479348022
01060003,80 to 84 years,52.7106973023082,52.7106973023082
01060003,85 years and over,79.515520490891,79.515520490891
01060003,Under 5 years,205.310914351949,205.310914351949
01070004,10 to 14 years,14832.9484709246,14832.9484709246
01070004,15 to 17 years,8372.64612967401,8372.64612967401
01070004,18 and 19 years,6052.44391113063,6052.44391113063
01070004,20 years,3273.06106528837,3273.06106528837
01070004,21 years,2723.82934849575,2723.82934849575
01070004,22 to 24 years,7086.72764081458,7086.72764081458
01070004,25 to 29 years,12975.7975448459,12975.7975448459
01070004,30 to 34 years,12566.4650127032,12566.4650127032
01070004,35 to 39 years,13022.6167536748,13022.6167536748
01070004,40 to 44 years,14574.5238714724,14574.5238714724
01070004,45 to 49 years,16942.0508416223,16942.0508416223
01070004,5 to 9 years,11635.5362490386,11635.5362490386
01070004,50 to 54 years,17629.6708556535,17629.6708556535
01070004,55 to 59 years,16217.7137382787,16217.7137382787
01070004,60 and 61 years,5757.11966566442,5757.11966566442
01070004,62 to 64 years,7645.14441812285,7645.14441812285
01070004,65 and 66 years,4621.59232541737,4621.59232541737
01070004,67 to 69 years,5186.91857516026,5186.91857516026
01070004,70 to 74 years,7426.28987660353,7426.28987660353
01070004,75 to 79 years,4736.26673820813,4736.26673820813
