huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
02040205,10 to 14 years,520.13493377763,520.13493377763
02040205,15 to 17 years,311.578046217594,311.578046217594
02040205,18 and 19 years,148.606365194717,148.606365194717
02040205,20 years,32.4459376818741,32.4459376818741
02040205,21 years,71.8013188450072,71.8013188450072
02040205,22 to 24 years,404.007466924289,404.007466924289
02040205,25 to 29 years,498.472108280528,498.472108280528
02040205,30 to 34 years,348.144923254395,348.144923254395
02040205,35 to 39 years,477.270767299,477.270767299
02040205,40 to 44 years,458.604972566568,458.604972566568
02040205,45 to 49 years,354.476926506719,354.476926506719
02040205,5 to 9 years,481.406473931363,481.406473931363
02040205,50 to 54 years,375.335357087013,375.335357087013
02040205,55 to 59 years,466.879305657995,466.879305657995
02040205,60 and 61 years,131.657285939723,131.657285939723
02040205,62 to 64 years,115.0958730572,115.0958730572
02040205,65 and 66 years,96.1454289912524,96.1454289912524
02040205,67 to 69 years,171.002250204194,171.002250204194
02040205,70 to 74 years,92.5985796559138,92.5985796559138
02040205,75 to 79 years,103.686974751335,103.686974751335
02040205,80 to 84 years,50.5010212622949,50.5010212622949
02040205,85 years and over,32.3565702766511,32.3565702766511
02040205,Under 5 years,375.784860167358,375.784860167358
02040303,10 to 14 years,1597.58463312108,1597.58463312108
02040303,15 to 17 years,1008.70624911248,1008.70624911248
02040303,18 and 19 years,621.222380120462,621.222380120462
02040303,20 years,227.7815928865,227.7815928865
02040303,21 years,324.18171608168,324.18171608168
02040303,22 to 24 years,1171.6668495384,1171.6668495384
02040303,25 to 29 years,1691.01479514784,1691.01479514784
02040303,30 to 34 years,1384.18086008465,1384.18086008465
02040303,35 to 39 years,1623.84682587872,1623.84682587872
02040303,40 to 44 years,1716.44957823693,1716.44957823693
02040303,45 to 49 years,2494.14880277126,2494.14880277126
02040303,5 to 9 years,1509.30758588089,1509.30758588089
02040303,50 to 54 years,2778.30821831224,2778.30821831224
02040303,55 to 59 years,2969.26392466224,2969.26392466224
02040303,60 and 61 years,1223.95837609366,1223.95837609366
02040303,62 to 64 years,1805.11483246274,1805.11483246274
02040303,65 and 66 years,1176.13158284664,1176.13158284664
02040303,67 to 69 years,1929.44591967476,1929.44591967476
02040303,70 to 74 years,2626.20131360369,2626.20131360369
02040303,75 to 79 years,1937.263486159,1937.263486159
02040303,80 to 84 years,1250.71075026818,1250.71075026818
02040303,85 years and over,1226.50029832711,1226.50029832711
02040303,Under 5 years,1518.46849374854,1518.46849374854
02050306,10 to 14 years,4824.39596480636,4824.39596480636
02050306,15 to 17 years,2891.03408900079,2891.03408900079
02050306,18 and 19 years,1444.11373187907,1444.11373187907
02050306,20 years,809.52650440498,809.52650440498
02050306,21 years,773.67602866447,773.67602866447
02050306,22 to 24 years,2454.32287745357,2454.32287745357
02050306,25 to 29 years,3560.3775874279,3560.3775874279
02050306,30 to 34 years,3753.76613332061,3753.76613332061
02050306,35 to 39 years,3174.40016408312,3174.40016408312
02050306,40 to 44 years,4730.30813942133,4730.30813942133
02050306,45 to 49 years,5772.87710670638,5772.87710670638
02050306,5 to 9 years,4107.36931549686,4107.36931549686
02050306,50 to 54 years,6376.38860046375,6376.38860046375
02050306,55 to 59 years,5622.95506266177,5622.95506266177
02050306,60 and 61 years,1701.29637463072,1701.29637463072
02050306,62 to 64 years,2456.78488229737,2456.78488229737
02050306,65 and 66 years,1664.56187542647,1664.56187542647
02050306,67 to 69 years,2241.64935153826,2241.64935153826
02050306,70 to 74 years,2446.30211614376,2446.30211614376
