huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
01010002,10 to 14 years,30.9717566893312,30.9717566893312
01010002,15 to 17 years,16.7316173994385,16.7316173994385
01010002,18 and 19 years,13.6484237027121,13.6484237027121
01010002,20 years,8.95629745071256,8.95629745071256
01010002,21 years,3.32320786738461,3.32320786738461
01010002,22 to 24 years,11.2363115902165,11.2363115902165
01010002,25 to 29 years,21.267525213939,21.267525213939
01010002,30 to 34 years,34.4635433416061,34.4635433416061
01010002,35 to 39 years,34.7995330019352,34.7995330019352
01010002,40 to 44 years,34.7228300278578,34.7228300278578
01010002,45 to 49 years,51.4199124928228,51.4199124928228
01010002,5 to 9 years,29.0086987430787,29.0086987430787
01010002,50 to 54 years,62.6310252912248,62.6310252912248
01010002,55 to 59 years,73.804281444269,73.804281444269
01010002,60 and 61 years,32.7025519119188,32.7025519119188
01010002,62 to 64 years,43.1300278417161,43.1300278417161
01010002,65 and 66 years,31.4933839644844,31.4933839644844
01010002,67 to 69 years,39.929191863186,39.929191863186
01010002,70 to 74 years,68.0239215396055,68.0239215396055
01010002,75 to 79 years,48.8375458910359,48.8375458910359
01010002,80 to 84 years,20.8095234199241,20.8095234199241
01010002,85 years and over,13.8567451261586,13.8567451261586
01010002,Under 5 years,28.5422571162414,28.5422571162414
01010003,10 to 14 years,296.817587440045,296.817587440045
01010003,15 to 17 years,184.032175433799,184.032175433799
01010003,18 and 19 years,181.296895003889,181.296895003889
01010003,20 years,118.019213881496,118.019213881496
01010003,21 years,99.0396579746137,99.0396579746137
01010003,22 to 24 years,205.395998078272,205.395998078272
01010003,25 to 29 years,355.848553346834,355.848553346834
01010003,30 to 34 years,257.331166107221,257.331166107221
01010003,35 to 39 years,251.234096653048,251.234096653048
01010003,40 to 44 years,386.180438992407,386.180438992407
01010003,45 to 49 years,484.29204998391,484.29204998391
01010003,5 to 9 years,271.20329946338,271.20329946338
01010003,50 to 54 years,571.44344657906,571.44344657906
01010003,55 to 59 years,662.175379439736,662.175379439736
01010003,60 and 61 years,277.962378770039,277.962378770039
01010003,62 to 64 years,365.857079258585,365.857079258585
01010003,65 and 66 years,226.039937783087,226.039937783087
01010003,67 to 69 years,281.92338972246,281.92338972246
01010003,70 to 74 years,369.250226956982,369.250226956982
01010003,75 to 79 years,299.620649445445,299.620649445445
01010003,80 to 84 years,229.520170323502,229.520170323502
01010003,85 years and over,205.878162237928,205.878162237928
01010003,Under 5 years,326.103187391047,326.103187391047
01010004,10 to 14 years,1880.82522506412,1880.82522506412
01010004,15 to 17 years,1415.48622933471,1415.48622933471
01010004,18 and 19 years,877.963991320278,877.963991320278
01010004,20 years,433.850491751499,433.850491751499
01010004,21 years,419.852932919191,419.852932919191
01010004,22 to 24 years,856.604453458983,856.604453458983
01010004,25 to 29 years,1627.1586152654,1627.1586152654
01010004,30 to 34 years,1655.51937263668,1655.51937263668
01010004,35 to 39 years,1892.01281966075,1892.01281966075
01010004,40 to 44 years,1977.37479778575,1977.37479778575
01010004,45 to 49 years,2284.08086301382,2284.08086301382
01010004,5 to 9 years,1777.02430690175,1777.02430690175
01010004,50 to 54 years,2297.79367847295,2297.79367847295
01010004,55 to 59 years,2601.4144277204,2601.4144277204
