huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
03160101,10 to 14 years,6798.41269536547,6798.41269536547
03160101,15 to 17 years,3813.44087817175,3813.44087817175
03160101,18 and 19 years,2876.33728355162,2876.33728355162
03160101,20 years,1497.41527145119,1497.41527145119
03160101,21 years,1355.78278437916,1355.78278437916
03160101,22 to 24 years,3999.05120115916,3999.05120115916
03160101,25 to 29 years,5932.23677205364,5932.23677205364
03160101,30 to 34 years,5816.1895396754,5816.1895396754
03160101,35 to 39 years,5817.12822610413,5817.12822610413
03160101,40 to 44 years,6635.24901340538,6635.24901340538
03160101,45 to 49 years,6648.3781320182,6648.3781320182
03160101,5 to 9 years,5851.96322154248,5851.96322154248
03160101,50 to 54 years,6578.74066934607,6578.74066934607
03160101,55 to 59 years,6529.68645648629,6529.68645648629
03160101,60 and 61 years,2449.36512422216,2449.36512422216
03160101,62 to 64 years,3615.84126387833,3615.84126387833
03160101,65 and 66 years,2165.17679820487,2165.17679820487
03160101,67 to 69 years,2814.8240121711,2814.8240121711
03160101,70 to 74 years,4251.70557500421,4251.70557500421
03160101,75 to 79 years,3024.40486012321,3024.40486012321
03160101,80 to 84 years,2138.90909907469,2138.90909907469
03160101,85 years and over,1928.30719277122,1928.30719277122
03160101,Under 5 years,5818.34040498104,5818.34040498104
03160102,10 to 14 years,7209.69466517853,7209.69466517853
03160102,15 to 17 years,4095.69094465295,4095.69094465295
03160102,18 and 19 years,2102.32841406167,2102.32841406167
03160102,20 years,1458.32604788118,1458.32604788118
03160102,21 years,1066.98997661729,1066.98997661729
03160102,22 to 24 years,3362.21150285727,3362.21150285727
03160102,25 to 29 years,6041.74454398796,6041.74454398796
03160102,30 to 34 years,6241.99726218999,6241.99726218999
03160102,35 to 39 years,6250.98117356578,6250.98117356578
03160102,40 to 44 years,6086.08137344896,6086.08137344896
03160102,45 to 49 years,6005.29844715967,6005.29844715967
03160102,5 to 9 years,6732.88554238306,6732.88554238306
03160102,50 to 54 years,6716.79969058166,6716.79969058166
03160102,55 to 59 years,6097.29397243882,6097.29397243882
03160102,60 and 61 years,2130.45103027412,2130.45103027412
03160102,62 to 64 years,2942.51051163067,2942.51051163067
