huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
09040001,10 to 14 years,38.0307782779112,38.0307782779112
09040001,15 to 17 years,34.8164063725128,34.8164063725128
09040001,18 and 19 years,18.0425762777241,18.0425762777241
09040001,20 years,12.5093930365439,12.5093930365439
09040001,21 years,15.9671170699419,15.9671170699419
09040001,22 to 24 years,15.1128704730894,15.1128704730894
09040001,25 to 29 years,29.0239569951559,29.0239569951559
09040001,30 to 34 years,23.0176452388385,23.0176452388385
09040001,35 to 39 years,26.122264432571,26.122264432571
09040001,40 to 44 years,38.1327657501061,38.1327657501061
09040001,45 to 49 years,23.2214412029185,23.2214412029185
09040001,5 to 9 years,27.2225722837123,27.2225722837123
09040001,50 to 54 years,39.2280207008836,39.2280207008836
09040001,55 to 59 years,32.6308802851644,32.6308802851644
09040001,60 and 61 years,11.4100567927976,11.4100567927976
09040001,62 to 64 years,15.6805162929542,15.6805162929542
09040001,65 and 66 years,9.90831904987039,9.90831904987039
09040001,67 to 69 years,3.40743667059082,3.40743667059082
09040001,70 to 74 years,18.1741781292183,18.1741781292183
09040001,75 to 79 years,9.30859044637148,9.30859044637148
09040001,80 to 84 years,7.9073316273151,7.9073316273151
09040001,85 years and over,5.20450028598773,5.20450028598773
09040001,Under 5 years,30.0224052171807,30.0224052171807
09040002,10 to 14 years,0.004161913361839,0.004161913361839
09040002,15 to 17 years,4.7165492639305,4.7165492639305
09040002,18 and 19 years,3.46119464014373,3.46119464014373
09040002,20 years,0.000651865948239843,0.000651865948239843
09040002,21 years,5.97360876788959,5.97360876788959
09040002,22 to 24 years,0.00228153081883945,0.00228153081883945
09040002,25 to 29 years,0.00363540624979913,0.00363540624979913
09040002,30 to 34 years,0.00155444956887963,0.00155444956887963
09040002,35 to 39 years,0.00396133922391905,0.00396133922391905
09040002,40 to 44 years,0.00604229590483855,0.00604229590483855
09040002,45 to 49 years,0.00513971228419876,0.00513971228419876
09040002,5 to 9 years,0.00351004741359916,0.00351004741359916
09040002,50 to 54 years,2.83520967253904,2.83520967253904
09040002,55 to 59 years,0.952817066923505,0.952817066923505
09040002,60 and 61 years,0.00205588491367951,0.00205588491367951
09040002,62 to 64 years,0.317806263112422,0.317806263112422
09040002,65 and 66 years,0.00137894719819967,0.00137894719819967
09040002,67 to 69 years,0.00496420991351881,0.00496420991351881
09040002,70 to 74 years,4.08931070796381,4.08931070796381
09040002,75 to 79 years,0.00205588491367951,0.00205588491367951
09040002,80 to 84 years,0.00178009547403957,0.00178009547403957
09040002,85 years and over,0.000852440086159795,0.000852440086159795
09040002,Under 5 years,0.00142909073267966,0.00142909073267966
10020001,10 to 14 years,37.9763249220022,37.9763249220022
10020001,15 to 17 years,25.9343236876545,25.9343236876545
10020001,18 and 19 years,13.2557132580988,13.2557132580988
10020001,20 years,13.6875547534515,13.6875547534515
10020001,21 years,10.8780464764491,10.8780464764491
10020001,22 to 24 years,27.8358744843151,27.8358744843151
10020001,25 to 29 years,41.7139327139579,41.7139327139579
10020001,30 to 34 years,41.8169881403137,41.8169881403137
10020001,35 to 39 years,35.0290610148283,35.0290610148283
10020001,40 to 44 years,51.4922187750377,51.4922187750377
10020001,45 to 49 years,59.848304139784,59.848304139784
10020001,5 to 9 years,45.1642561072614,45.1642561072614
10020001,50 to 54 years,69.2596353332657,69.2596353332657
10020001,55 to 59 years,110.132929479314,110.132929479314
10020001,60 and 61 years,44.9550977460251,44.9550977460251
10020001,62 to 64 years,57.0099676578492,57.0099676578492
10020001,65 and 66 years,44.607501237985,44.607501237985
10020001,67 to 69 years,36.4921083385561,36.4921083385561
10020001,70 to 74 years,68.4579714471536,68.4579714471536
10020001,75 to 79 years,38.9827274797751,38.9827274797751
10020001,80 to 84 years,27.4259868939558,27.4259868939558
10020001,85 years and over,28.5404342816639,28.5404342816639
10020001,Under 5 years,42.7174302020435,42.7174302020435
10020002,10 to 14 years,431.677774561723,431.677774561723
10020002,15 to 17 years,322.437559029156,322.437559029156
10020002,18 and 19 years,493.265076048963,493.265076048963
10020002,20 years,220.421227782363,220.421227782363
10020002,21 years,186.44493928498,186.44493928498
10020002,22 to 24 years,272.811423043083,272.811423043083
10020002,25 to 29 years,361.681982939821,361.681982939821
10020002,30 to 34 years,466.73964714882,466.73964714882
10020002,35 to 39 years,338.426997478541,338.426997478541
