huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
03010102,10 to 14 years,1113.02125834574,1113.02125834574
03010102,15 to 17 years,718.227495413256,718.227495413256
03010102,18 and 19 years,527.772366562609,527.772366562609
03010102,20 years,389.461286816672,389.461286816672
03010102,21 years,220.570225812495,220.570225812495
03010102,22 to 24 years,710.610043562035,710.610043562035
03010102,25 to 29 years,1520.00373188267,1520.00373188267
03010102,30 to 34 years,1122.35117021516,1122.35117021516
03010102,35 to 39 years,1049.53778818916,1049.53778818916
03010102,40 to 44 years,1406.9171298837,1406.9171298837
03010102,45 to 49 years,1793.69897588505,1793.69897588505
03010102,5 to 9 years,1041.18993045017,1041.18993045017
03010102,50 to 54 years,2025.32933650171,2025.32933650171
03010102,55 to 59 years,1737.28343092703,1737.28343092703
03010102,60 and 61 years,608.301043312503,608.301043312503
03010102,62 to 64 years,854.725462749127,854.725462749127
03010102,65 and 66 years,663.627947829049,663.627947829049
03010102,67 to 69 years,789.439411732232,789.439411732232
03010102,70 to 74 years,1174.13454551699,1174.13454551699
03010102,75 to 79 years,730.377937046671,730.377937046671
03010102,80 to 84 years,608.630209104077,608.630209104077
03010102,85 years and over,644.610855082609,644.610855082609
03010102,Under 5 years,1140.81133185338,1140.81133185338
03010103,10 to 14 years,8210.63923790027,8210.63923790027
03010103,15 to 17 years,5147.76687182384,5147.76687182384
03010103,18 and 19 years,2618.29654474364,2618.29654474364
03010103,20 years,1344.40664357186,1344.40664357186
03010103,21 years,1584.09853038618,1584.09853038618
03010103,22 to 24 years,3857.76393022772,3857.76393022772
03010103,25 to 29 years,6807.80152841283,6807.80152841283
03010103,30 to 34 years,6513.62147033785,6513.62147033785
03010103,35 to 39 years,7849.25851224509,7849.25851224509
03010103,40 to 44 years,8637.15035944751,8637.15035944751
03010103,45 to 49 years,9874.3060078675,9874.3060078675
03010103,5 to 9 years,7408.79543745289,7408.79543745289
03010103,50 to 54 years,10772.6816900873,10772.6816900873
03010103,55 to 59 years,10831.9630675462,10831.9630675462
03010103,60 and 61 years,3714.64639223094,3714.64639223094
03010103,62 to 64 years,5343.59900271779,5343.59900271779
03010103,65 and 66 years,3359.88926136867,3359.88926136867
03010103,67 to 69 years,4350.35088670106,4350.35088670106
03010103,70 to 74 years,5393.59898909174,5393.59898909174
03010103,75 to 79 years,4201.04423383831,4201.04423383831
03010103,80 to 84 years,2638.57234506707,2638.57234506707
03010103,85 years and over,2617.12937824679,2617.12937824679
03010103,Under 5 years,6643.52331613076,6643.52331613076
03010104,10 to 14 years,3561.51232206798,3561.51232206798
03010104,15 to 17 years,1891.92576252272,1891.92576252272
03010104,18 and 19 years,1031.68884329286,1031.68884329286
03010104,20 years,627.784147447135,627.784147447135
03010104,21 years,655.056446812857,655.056446812857
03010104,22 to 24 years,1774.14878576594,1774.14878576594
03010104,25 to 29 years,2832.82774136124,2832.82774136124
03010104,30 to 34 years,2667.92700914255,2667.92700914255
03010104,35 to 39 years,2839.39722189627,2839.39722189627
03010104,40 to 44 years,3506.62717932992,3506.62717932992
03010104,45 to 49 years,3766.65688517546,3766.65688517546
03010104,5 to 9 years,2844.06765025519,2844.06765025519
03010104,50 to 54 years,3851.09494414609,3851.09494414609
03010104,55 to 59 years,4142.96119432873,4142.96119432873
03010104,60 and 61 years,1778.68055708996,1778.68055708996
03010104,62 to 64 years,2152.3841060671,2152.3841060671
03010104,65 and 66 years,1556.94004201464,1556.94004201464
03010104,67 to 69 years,1830.98701543913,1830.98701543913
03010104,70 to 74 years,2580.68896225496,2580.68896225496
03010104,75 to 79 years,1482.16782686058,1482.16782686058
03010104,80 to 84 years,1224.31673847743,1224.31673847743
03010104,85 years and over,1184.98234682731,1184.98234682731
03010104,Under 5 years,2715.89215200505,2715.89215200505
03010106,10 to 14 years,632.874217728806,632.874217728806
03010106,15 to 17 years,416.909470111413,416.909470111413
03010106,18 and 19 years,323.404305501617,323.404305501617
03010106,20 years,116.562505862356,116.562505862356
03010106,21 years,114.753087831043,114.753087831043
03010106,22 to 24 years,687.563423285618,687.563423285618
03010106,25 to 29 years,631.000660213399,631.000660213399
03010106,30 to 34 years,775.513378899028,775.513378899028
03010106,35 to 39 years,692.65486726821,692.65486726821
03010106,40 to 44 years,912.840888507267,912.840888507267
03010106,45 to 49 years,1011.60974773086,1011.60974773086
03010106,5 to 9 years,808.288033527026,808.288033527026
03010106,50 to 54 years,1279.86830020714,1279.86830020714
03010106,55 to 59 years,1343.61313104794,1343.61313104794
03010106,60 and 61 years,551.920360444172,551.920360444172
03010106,62 to 64 years,963.130356533064,963.130356533064
03010106,65 and 66 years,719.426176065923,719.426176065923
03010106,67 to 69 years,817.790789882853,817.790789882853
03010106,70 to 74 years,943.639000175331,943.639000175331
03010106,75 to 79 years,744.272781422107,744.272781422107
03010106,80 to 84 years,458.90557860904,458.90557860904
03010106,85 years and over,358.509374366821,358.509374366821
03010106,Under 5 years,573.506633664587,573.506633664587
03010107,10 to 14 years,4932.66538100163,4932.66538100163
03010107,15 to 17 years,2687.8461776471,2687.8461776471
03010107,18 and 19 years,1684.80013394781,1684.80013394781
03010107,20 years,902.100194383255,902.100194383255
03010107,21 years,830.248334170184,830.248334170184
03010107,22 to 24 years,2235.42054986003,2235.42054986003
03010107,25 to 29 years,4049.31985900836,4049.31985900836
03010107,30 to 34 years,3605.14158452136,3605.14158452136
03010107,35 to 39 years,3633.77961481678,3633.77961481678
03010107,40 to 44 years,4166.43427545981,4166.43427545981
03010107,45 to 49 years,4474.64816930319,4474.64816930319
03010107,5 to 9 years,4347.41415720932,4347.41415720932
03010107,50 to 54 years,5478.91380454174,5478.91380454174
03010107,55 to 59 years,5436.9152898606,5436.9152898606
03010107,60 and 61 years,2301.06574608334,2301.06574608334
03010107,62 to 64 years,2862.78832567371,2862.78832567371
03010107,65 and 66 years,2152.56519521501,2152.56519521501
03010107,67 to 69 years,2325.5799885343,2325.5799885343
03010107,70 to 74 years,3199.92385566447,3199.92385566447
03010107,75 to 79 years,2495.15273320963,2495.15273320963
03010107,80 to 84 years,1664.30838711939,1664.30838711939
03010107,85 years and over,1826.69517409834,1826.69517409834
03010107,Under 5 years,3521.5946600804,3521.5946600804
03010201,10 to 14 years,4.96213706544638,4.96213706544638
03010201,15 to 17 years,4.57731827261584,4.57731827261584
03010201,18 and 19 years,6.430524564405,6.430524564405
03010201,20 years,1.5291483609845,1.5291483609845
03010201,21 years,1.26585129220571,1.26585129220571
03010201,22 to 24 years,3.22032568737132,3.22032568737132
03010201,25 to 29 years,2.69373154981375,2.69373154981375
03010201,30 to 34 years,3.72666620425361,3.72666620425361
03010201,35 to 39 years,3.18994525635839,3.18994525635839
03010201,40 to 44 years,2.22789827428205,2.22789827428205
03010201,45 to 49 years,3.83806111796771,3.83806111796771
03010201,5 to 9 years,1.70130413672447,1.70130413672447
03010201,50 to 54 years,4.76972766903111,4.76972766903111
03010201,55 to 59 years,5.37733628928985,5.37733628928985
03010201,60 and 61 years,2.76461922217727,2.76461922217727
03010201,62 to 64 years,3.48362275615011,3.48362275615011
03010201,65 and 66 years,1.19496361984219,1.19496361984219
03010201,67 to 69 years,1.72155775739976,1.72155775739976
03010201,70 to 74 years,2.22789827428205,2.22789827428205
03010201,75 to 79 years,0.941793361401048,0.941793361401048
03010201,80 to 84 years,1.43800706794569,1.43800706794569
03010201,85 years and over,1.58990922301037,1.58990922301037
03010201,Under 5 years,3.60514448020186,3.60514448020186
03010202,10 to 14 years,0.272531284539098,0.272531284539098
03010202,15 to 17 years,0.223243711803304,0.223243711803304
03010202,18 and 19 years,0.144963449222925,0.144963449222925
03010202,20 years,0.126118200823945,0.126118200823945
03010202,21 years,0.0159459794145217,0.0159459794145217
03010202,22 to 24 years,0.202948828912095,0.202948828912095
03010202,25 to 29 years,0.398649485363043,0.398649485363043
03010202,30 to 34 years,0.181204311528656,0.181204311528656
03010202,35 to 39 years,0.239189691217826,0.239189691217826
03010202,40 to 44 years,0.294275801922537,0.294275801922537
03010202,45 to 49 years,0.379804236964063,0.379804236964063
03010202,5 to 9 years,0.178305042544197,0.178305042544197
03010202,50 to 54 years,0.400099119855272,0.400099119855272
03010202,55 to 59 years,0.492875727357944,0.492875727357944
03010202,60 and 61 years,0.102924048948277,0.102924048948277
03010202,62 to 64 years,0.139164911254008,0.139164911254008
03010202,65 and 66 years,0.181204311528656,0.181204311528656
03010202,67 to 69 years,0.114521124886111,0.114521124886111
03010202,70 to 74 years,0.255135670632348,0.255135670632348
03010202,75 to 79 years,0.149312352699612,0.149312352699612
03010202,80 to 84 years,0.0681328211347746,0.0681328211347746
03010202,85 years and over,0.0579853796891699,0.0579853796891699
03010202,Under 5 years,0.292826167430308,0.292826167430308
03010203,10 to 14 years,2073.31257934122,2073.31257934122
03010203,15 to 17 years,1263.56299989941,1263.56299989941
03010203,18 and 19 years,792.1645152293,792.1645152293
03010203,20 years,473.636638591215,473.636638591215
03010203,21 years,371.875158788187,371.875158788187
03010203,22 to 24 years,1501.52361693092,1501.52361693092
03010203,25 to 29 years,2271.96156335076,2271.96156335076
03010203,30 to 34 years,1925.2011208875,1925.2011208875
03010203,35 to 39 years,2044.46044602719,2044.46044602719
03010203,40 to 44 years,2268.8631077378,2268.8631077378
03010203,45 to 49 years,2470.58645618649,2470.58645618649
03010203,5 to 9 years,2034.96349844245,2034.96349844245
03010203,50 to 54 years,2903.44840795232,2903.44840795232
03010203,55 to 59 years,2987.09434831055,2987.09434831055
03010203,60 and 61 years,1097.99166266836,1097.99166266836
03010203,62 to 64 years,1501.87455696753,1501.87455696753
03010203,65 and 66 years,1213.88665341893,1213.88665341893
03010203,67 to 69 years,1235.3453594953,1235.3453594953
03010203,70 to 74 years,1763.24325041821,1763.24325041821
03010203,75 to 79 years,1044.04502289252,1044.04502289252
03010203,80 to 84 years,927.896110302566,927.896110302566
03010203,85 years and over,826.046894125944,826.046894125944
03010203,Under 5 years,1815.26125830535,1815.26125830535
03010204,10 to 14 years,1233.81468240445,1233.81468240445
03010204,15 to 17 years,806.182665321581,806.182665321581
03010204,18 and 19 years,756.891782338197,756.891782338197
03010204,20 years,256.648175244541,256.648175244541
03010204,21 years,276.064018286094,276.064018286094
03010204,22 to 24 years,829.622982683539,829.622982683539
03010204,25 to 29 years,962.345136631034,962.345136631034
03010204,30 to 34 years,1017.79488485657,1017.79488485657
03010204,35 to 39 years,871.849309123757,871.849309123757
03010204,40 to 44 years,1079.34070201627,1079.34070201627
03010204,45 to 49 years,1340.98143452751,1340.98143452751
03010204,5 to 9 years,916.704702472713,916.704702472713
03010204,50 to 54 years,1488.42029399735,1488.42029399735
03010204,55 to 59 years,1745.62707273969,1745.62707273969
03010204,60 and 61 years,602.102285063719,602.102285063719
03010204,62 to 64 years,950.931742013508,950.931742013508
03010204,65 and 66 years,551.953799542864,551.953799542864
03010204,67 to 69 years,641.896138359857,641.896138359857
03010204,70 to 74 years,797.404893345643,797.404893345643
03010204,75 to 79 years,614.676452889447,614.676452889447
03010204,80 to 84 years,707.527000976239,707.527000976239
03010204,85 years and over,413.748624829709,413.748624829709
03010204,Under 5 years,1020.85216966077,1020.85216966077
03010205,10 to 14 years,8580.85332188322,8580.85332188322
