huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
07020001,10 to 14 years,1.25368001174942,1.25368001174942
07020001,15 to 17 years,0.649634187906517,0.649634187906517
07020001,18 and 19 years,0.153860728714701,0.153860728714701
07020001,20 years,0.142463637698798,0.142463637698798
07020001,21 years,0.307721457429403,0.307721457429403
07020001,22 to 24 years,0.376104003524826,0.376104003524826
07020001,25 to 29 years,0.632538551382662,0.632538551382662
07020001,30 to 34 years,0.661031278922421,0.661031278922421
07020001,35 to 39 years,0.683825460954229,0.683825460954229
07020001,40 to 44 years,0.934561463304113,0.934561463304113
07020001,45 to 49 years,1.0428338279552,1.0428338279552
07020001,5 to 9 years,1.09981928303472,1.09981928303472
07020001,50 to 54 years,1.02573819143134,1.02573819143134
07020001,55 to 59 years,1.3505552853846,1.3505552853846
07020001,60 and 61 years,0.490074913683864,0.490074913683864
07020001,62 to 64 years,0.643935642398565,0.643935642398565
07020001,65 and 66 years,0.398898185556633,0.398898185556633
07020001,67 to 69 years,0.535663277747479,0.535663277747479
07020001,70 to 74 years,0.729413825017844,0.729413825017844
07020001,75 to 79 years,0.47867782266796,0.47867782266796
07020001,80 to 84 years,0.729413825017844,0.729413825017844
07020001,85 years and over,0.877576008224594,0.877576008224594
07020001,Under 5 years,0.86617891720869,0.86617891720869
09010002,10 to 14 years,199.085706257217,199.085706257217
09010002,15 to 17 years,114.225869314912,114.225869314912
09010002,18 and 19 years,58.0841437860168,58.0841437860168
09010002,20 years,28.4551585491834,28.4551585491834
09010002,21 years,20.1871582334648,20.1871582334648
09010002,22 to 24 years,105.488924788069,105.488924788069
09010002,25 to 29 years,167.362085276441,167.362085276441
09010002,30 to 34 years,189.427375717773,189.427375717773
09010002,35 to 39 years,191.002523273643,191.002523273643
09010002,40 to 44 years,156.78371558457,156.78371558457
09010002,45 to 49 years,181.906175764524,181.906175764524
09010002,5 to 9 years,226.937701403616,226.937701403616
09010002,50 to 54 years,218.065999485994,218.065999485994
09010002,55 to 59 years,234.699922665021,234.699922665021
09010002,60 and 61 years,70.3972720608067,70.3972720608067
09010002,62 to 64 years,112.248683365516,112.248683365516
09010002,65 and 66 years,83.1051185638912,83.1051185638912
09010002,67 to 69 years,84.0797501722503,84.0797501722503
09010002,70 to 74 years,144.823792353987,144.823792353987
09010002,75 to 79 years,114.073578287438,114.073578287438
09010002,80 to 84 years,70.1241306038916,70.1241306038916
09010002,85 years and over,87.1820629659752,87.1820629659752
09010002,Under 5 years,190.724297282783,190.724297282783
09010003,10 to 14 years,450.726049239965,450.726049239965
09010003,15 to 17 years,255.894041686518,255.894041686518
09010003,18 and 19 years,145.635206544138,145.635206544138
09010003,20 years,64.8220425523921,64.8220425523921
09010003,21 years,47.0511231487544,47.0511231487544
09010003,22 to 24 years,310.462742543241,310.462742543241
09010003,25 to 29 years,350.138380075303,350.138380075303
09010003,30 to 34 years,411.024998542867,411.024998542867
09010003,35 to 39 years,401.025923346657,401.025923346657
09010003,40 to 44 years,385.252393931646,385.252393931646
09010003,45 to 49 years,479.042745880433,479.042745880433
09010003,5 to 9 years,507.053106634239,507.053106634239
09010003,50 to 54 years,544.178400781036,544.178400781036
09010003,55 to 59 years,536.692565927756,536.692565927756
09010003,60 and 61 years,269.162835673732,269.162835673732
09010003,62 to 64 years,358.210881906174,358.210881906174
09010003,65 and 66 years,188.155174400092,188.155174400092
09010003,67 to 69 years,293.350990210194,293.350990210194
09010003,70 to 74 years,335.885230196136,335.885230196136
09010003,75 to 79 years,256.761065580737,256.761065580737
09010003,80 to 84 years,257.612756947656,257.612756947656
09010003,85 years and over,206.893515826077,206.893515826077
09010003,Under 5 years,477.473501042507,477.473501042507
09010004,10 to 14 years,986.577295481169,986.577295481169
09010004,15 to 17 years,589.636550679255,589.636550679255
09010004,18 and 19 years,441.616656396881,441.616656396881
09010004,20 years,242.479911637746,242.479911637746
09010004,21 years,159.15153594832,159.15153594832
09010004,22 to 24 years,751.01574048115,751.01574048115
09010004,25 to 29 years,858.514640110097,858.514640110097
09010004,30 to 34 years,856.519193014052,856.519193014052
09010004,35 to 39 years,942.345762710263,942.345762710263
09010004,40 to 44 years,707.640033097491,707.640033097491
09010004,45 to 49 years,899.637688052922,899.637688052922
09010004,5 to 9 years,1557.95481310333,1557.95481310333
09010004,50 to 54 years,1093.14553310409,1093.14553310409
09010004,55 to 59 years,980.368095486156,980.368095486156
09010004,60 and 61 years,397.160179681454,397.160179681454
09010004,62 to 64 years,475.507029925167,475.507029925167
09010004,65 and 66 years,248.436617117083,248.436617117083
09010004,67 to 69 years,365.697948979997,365.697948979997
09010004,70 to 74 years,564.332264166883,564.332264166883
09010004,75 to 79 years,367.329643727484,367.329643727484
09010004,80 to 84 years,274.385846855323,274.385846855323
09010004,85 years and over,272.958889191053,272.958889191053
09010004,Under 5 years,1271.89022569796,1271.89022569796
09010005,10 to 14 years,873.291995624032,873.291995624032
09010005,15 to 17 years,399.626291812734,399.626291812734
09010005,18 and 19 years,547.180218355198,547.180218355198
09010005,20 years,425.710486376374,425.710486376374
09010005,21 years,565.365643666276,565.365643666276
09010005,22 to 24 years,1426.89959242599,1426.89959242599
09010005,25 to 29 years,1033.16980339118,1033.16980339118
09010005,30 to 34 years,1029.57800797997,1029.57800797997
09010005,35 to 39 years,703.93681621536,703.93681621536
09010005,40 to 44 years,520.25450562806,520.25450562806
09010005,45 to 49 years,608.267282378183,608.267282378183
09010005,5 to 9 years,838.21679563142,838.21679563142
09010005,50 to 54 years,594.353930039335,594.353930039335
09010005,55 to 59 years,489.121574495635,489.121574495635
09010005,60 and 61 years,250.964778663986,250.964778663986
09010005,62 to 64 years,256.297211394565,256.297211394565
09010005,65 and 66 years,169.068760989733,169.068760989733
09010005,67 to 69 years,150.962368789484,150.962368789484
09010005,70 to 74 years,218.316944106575,218.316944106575
09010005,75 to 79 years,163.682375823504,163.682375823504
09010005,80 to 84 years,171.937387978706,171.937387978706
09010005,85 years and over,105.266215376616,105.266215376616
09010005,Under 5 years,1363.24930749405,1363.24930749405
09010006,10 to 14 years,53.4630316176684,53.4630316176684
09010006,15 to 17 years,27.0840418042107,27.0840418042107
09010006,18 and 19 years,3.89458288382624,3.89458288382624
09010006,20 years,15.1632383644328,15.1632383644328
09010006,21 years,8.02622055595158,8.02622055595158
09010006,22 to 24 years,29.4250653587226,29.4250653587226
09010006,25 to 29 years,59.1726458644534,59.1726458644534
09010006,30 to 34 years,42.4751744585341,42.4751744585341
09010006,35 to 39 years,61.9460621700278,61.9460621700278
09010006,40 to 44 years,53.3328063091595,53.3328063091595
09010006,45 to 49 years,58.2712344943103,58.2712344943103
09010006,5 to 9 years,63.6420554305237,63.6420554305237
09010006,50 to 54 years,101.951009182168,101.951009182168
09010006,55 to 59 years,121.136007614672,121.136007614672
09010006,60 and 61 years,29.3599527044682,29.3599527044682
09010006,62 to 64 years,47.2559119655665,47.2559119655665
09010006,65 and 66 years,34.0257216499286,34.0257216499286
09010006,67 to 69 years,42.4395700071427,42.4395700071427
09010006,70 to 74 years,47.8063214024651,47.8063214024651
09010006,75 to 79 years,30.269503156393,30.269503156393
09010006,80 to 84 years,39.2337609505058,39.2337609505058
09010006,85 years and over,72.8281112659986,72.8281112659986
09010006,Under 5 years,78.0147814454946,78.0147814454946
09010007,10 to 14 years,33.5351254290862,33.5351254290862
09010007,15 to 17 years,24.6141504491667,24.6141504491667
09010007,18 and 19 years,9.64920834813616,9.64920834813616
09010007,20 years,11.0410946247224,11.0410946247224
09010007,21 years,3.92384747630807,3.92384747630807
09010007,22 to 24 years,24.4651260166152,24.4651260166152
09010007,25 to 29 years,39.2289231478177,39.2289231478177
09010007,30 to 34 years,50.7838859660268,50.7838859660268
09010007,35 to 39 years,36.6727359742771,36.6727359742771
09010007,40 to 44 years,24.8901877764361,24.8901877764361
09010007,45 to 49 years,41.611859914988,41.611859914988
09010007,5 to 9 years,55.9263693125508,55.9263693125508
09010007,50 to 54 years,47.9171900048127,47.9171900048127
09010007,55 to 59 years,45.9387576132835,45.9387576132835
09010007,60 and 61 years,20.1426571902901,20.1426571902901
09010007,62 to 64 years,25.9260216250188,25.9260216250188
09010007,65 and 66 years,18.7639911186058,18.7639911186058
09010007,67 to 69 years,17.3089785358263,17.3089785358263
09010007,70 to 74 years,31.3533336317439,31.3533336317439
09010007,75 to 79 years,18.3000290264104,18.3000290264104
09010007,80 to 84 years,22.272328450356,22.272328450356
09010007,85 years and over,12.3999635945583,12.3999635945583
09010007,Under 5 years,45.6010481334745,45.6010481334745
09010008,10 to 14 years,2923.85158988268,2923.85158988268
09010008,15 to 17 years,1678.61936514852,1678.61936514852
09010008,18 and 19 years,1813.86039460598,1813.86039460598
09010008,20 years,992.472727915918,992.472727915918
09010008,21 years,981.697835919113,981.697835919113
09010008,22 to 24 years,3780.80962511747,3780.80962511747
09010008,25 to 29 years,5511.3984041511,5511.3984041511
09010008,30 to 34 years,4206.46833024857,4206.46833024857
09010008,35 to 39 years,3459.76635636346,3459.76635636346
09010008,40 to 44 years,3137.5960679406,3137.5960679406
09010008,45 to 49 years,2806.31403105258,2806.31403105258
09010008,5 to 9 years,3878.55637400274,3878.55637400274
09010008,50 to 54 years,3441.25349599806,3441.25349599806
09010008,55 to 59 years,3061.67567337753,3061.67567337753
09010008,60 and 61 years,1193.10308553931,1193.10308553931
09010008,62 to 64 years,1582.8066052096,1582.8066052096
09010008,65 and 66 years,763.658006600171,763.658006600171
09010008,67 to 69 years,1219.49505481707,1219.49505481707
09010008,70 to 74 years,1528.62254023171,1528.62254023171
09010008,75 to 79 years,1476.5407079739,1476.5407079739
09010008,80 to 84 years,962.538088497511,962.538088497511
09010008,85 years and over,1107.47967151719,1107.47967151719
09010008,Under 5 years,3944.19425295331,3944.19425295331
09020101,10 to 14 years,182.746672106068,182.746672106068
09020101,15 to 17 years,167.778912081007,167.778912081007
09020101,18 and 19 years,57.6171753638796,57.6171753638796
09020101,20 years,106.374600743779,106.374600743779
09020101,21 years,33.9354451271443,33.9354451271443
09020101,22 to 24 years,243.705167955961,243.705167955961
09020101,25 to 29 years,286.396677098717,286.396677098717
09020101,30 to 34 years,284.005028267745,284.005028267745
09020101,35 to 39 years,221.24558561535,221.24558561535
09020101,40 to 44 years,178.530303299474,178.530303299474
09020101,45 to 49 years,189.821819620515,189.821819620515
09020101,5 to 9 years,261.8517203784,261.8517203784
09020101,50 to 54 years,276.524648589145,276.524648589145
09020101,55 to 59 years,393.003048552322,393.003048552322
09020101,60 and 61 years,117.87248958657,117.87248958657
09020101,62 to 64 years,164.182439933798,164.182439933798
09020101,65 and 66 years,75.669313350643,75.669313350643
09020101,67 to 69 years,86.8250190816187,86.8250190816187
09020101,70 to 74 years,92.3365320980822,92.3365320980822
09020101,75 to 79 years,124.174097641803,124.174097641803
09020101,80 to 84 years,88.251428284705,88.251428284705
09020101,85 years and over,120.824886892697,120.824886892697
09020101,Under 5 years,260.678397905071,260.678397905071
09020104,10 to 14 years,5470.98185420878,5470.98185420878
09020104,15 to 17 years,3329.57718501854,3329.57718501854
09020104,18 and 19 years,5741.12200555536,5741.12200555536
09020104,20 years,3317.64764654475,3317.64764654475
09020104,21 years,3474.3771763514,3474.3771763514
09020104,22 to 24 years,9409.8616340929,9409.8616340929
09020104,25 to 29 years,10796.8485537051,10796.8485537051
09020104,30 to 34 years,8692.01151986635,8692.01151986635
09020104,35 to 39 years,7198.160092569,7198.160092569
09020104,40 to 44 years,5689.1686076225,5689.1686076225
09020104,45 to 49 years,5935.37306578097,5935.37306578097
09020104,5 to 9 years,6826.69244884686,6826.69244884686
09020104,50 to 54 years,6528.79283689805,6528.79283689805
09020104,55 to 59 years,6499.56790679958,6499.56790679958
09020104,60 and 61 years,2285.44239805068,2285.44239805068
09020104,62 to 64 years,3568.92223604252,3568.92223604252
09020104,65 and 66 years,1579.54681332872,1579.54681332872
09020104,67 to 69 years,2128.94326966633,2128.94326966633
09020104,70 to 74 years,2585.31026682055,2585.31026682055
09020104,75 to 79 years,2160.91590138817,2160.91590138817
09020104,80 to 84 years,2007.08414497195,2007.08414497195
09020104,85 years and over,2201.46207276877,2201.46207276877
09020104,Under 5 years,7486.9228504608,7486.9228504608
09020105,10 to 14 years,972.268946192977,972.268946192977
09020105,15 to 17 years,595.404092865183,595.404092865183
09020105,18 and 19 years,394.243023234741,394.243023234741
09020105,20 years,239.353317517877,239.353317517877
09020105,21 years,245.609282872714,245.609282872714
09020105,22 to 24 years,618.712245476834,618.712245476834
09020105,25 to 29 years,836.409356761956,836.409356761956
09020105,30 to 34 years,938.948142209999,938.948142209999
09020105,35 to 39 years,879.88234427077,879.88234427077
09020105,40 to 44 years,818.181321086433,818.181321086433
09020105,45 to 49 years,930.855795024951,930.855795024951
09020105,5 to 9 years,1021.77158845658,1021.77158845658
09020105,50 to 54 years,1119.03138233433,1119.03138233433
09020105,55 to 59 years,1113.40587755631,1113.40587755631
09020105,60 and 61 years,433.49356193237,433.49356193237
