huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
01040001,10 to 14 years,402.604064872087,402.604064872087
01040001,15 to 17 years,341.183323112035,341.183323112035
01040001,18 and 19 years,203.931217071646,203.931217071646
01040001,20 years,109.028577840071,109.028577840071
01040001,21 years,116.047214229478,116.047214229478
01040001,22 to 24 years,336.944617401891,336.944617401891
01040001,25 to 29 years,700.113860524969,700.113860524969
01040001,30 to 34 years,724.675199377694,724.675199377694
01040001,35 to 39 years,841.535248675591,841.535248675591
01040001,40 to 44 years,591.296877629116,591.296877629116
01040001,45 to 49 years,738.428748103707,738.428748103707
01040001,5 to 9 years,408.364862138101,408.364862138101
01040001,50 to 54 years,829.683952926993,829.683952926993
01040001,55 to 59 years,728.833666138569,728.833666138569
01040001,60 and 61 years,260.293626345092,260.293626345092
01040001,62 to 64 years,352.911636130997,352.911636130997
01040001,65 and 66 years,239.493142334888,239.493142334888
01040001,67 to 69 years,306.149925644271,306.149925644271
01040001,70 to 74 years,369.652897477969,369.652897477969
01040001,75 to 79 years,343.998867306463,343.998867306463
01040001,80 to 84 years,251.372334143771,251.372334143771
01040001,85 years and over,374.304053651974,374.304053651974
01040001,Under 5 years,369.586411706968,369.586411706968
01040002,10 to 14 years,139.332696915982,139.332696915982
01040002,15 to 17 years,95.1090468027837,95.1090468027837
01040002,18 and 19 years,40.2006272274747,40.2006272274747
01040002,20 years,6.48076954286783,6.48076954286783
01040002,21 years,15.3257182085354,15.3257182085354
01040002,22 to 24 years,127.732632560115,127.732632560115
01040002,25 to 29 years,180.26229868673,180.26229868673
01040002,30 to 34 years,107.453521586615,107.453521586615
01040002,35 to 39 years,135.938579941856,135.938579941856
01040002,40 to 44 years,242.819869378205,242.819869378205
01040002,45 to 49 years,190.220155862805,190.220155862805
01040002,5 to 9 years,140.023810738519,140.023810738519
01040002,50 to 54 years,274.73843906113,274.73843906113
01040002,55 to 59 years,290.833368760134,290.833368760134
01040002,60 and 61 years,116.620387000746,116.620387000746
01040002,62 to 64 years,197.892138508091,197.892138508091
01040002,65 and 66 years,86.8502024447637,86.8502024447637
01040002,67 to 69 years,68.6076261022805,68.6076261022805
01040002,70 to 74 years,180.768666322529,180.768666322529
01040002,75 to 79 years,144.13620005523,144.13620005523
01040002,80 to 84 years,86.515809774686,86.515809774686
01040002,85 years and over,98.7036656406565,98.7036656406565
01040002,Under 5 years,164.284028612356,164.284028612356
01060002,10 to 14 years,1705.40957515253,1705.40957515253
01060002,15 to 17 years,1129.44257340602,1129.44257340602
01060002,18 and 19 years,657.93263608779,657.93263608779
01060002,20 years,251.797202646985,251.797202646985
01060002,21 years,415.818203064303,415.818203064303
01060002,22 to 24 years,899.757645884253,899.757645884253
01060002,25 to 29 years,1402.42628309172,1402.42628309172
01060002,30 to 34 years,1499.08521273394,1499.08521273394
01060002,35 to 39 years,1515.49269867529,1515.49269867529
01060002,40 to 44 years,2069.20049437686,2069.20049437686
01060002,45 to 49 years,2331.9323354227,2331.9323354227
01060002,5 to 9 years,1441.857093265,1441.857093265
01060002,50 to 54 years,2782.64494998437,2782.64494998437
01060002,55 to 59 years,3241.14102047406,3241.14102047406
01060002,60 and 61 years,1412.12836751682,1412.12836751682
01060002,62 to 64 years,1486.3405462451,1486.3405462451
01060002,65 and 66 years,1028.29094033042,1028.29094033042
01060002,67 to 69 years,1425.80998229593,1425.80998229593
01060002,70 to 74 years,1751.39503682808,1751.39503682808
01060002,75 to 79 years,1374.26818256491,1374.26818256491
01060002,80 to 84 years,863.388663739025,863.388663739025
01060002,85 years and over,914.515842128059,914.515842128059
01060002,Under 5 years,1322.50220366634,1322.50220366634
01060003,10 to 14 years,15854.2826918682,15854.2826918682
01060003,15 to 17 years,9778.77083352443,9778.77083352443
01060003,18 and 19 years,9295.39764323991,9295.39764323991
01060003,20 years,4882.49762756372,4882.49762756372
01060003,21 years,5019.38026876604,5019.38026876604
01060003,22 to 24 years,11588.8415382456,11588.8415382456
01060003,25 to 29 years,16856.3913916716,16856.3913916716
01060003,30 to 34 years,15788.0354950972,15788.0354950972
01060003,35 to 39 years,15132.6913219022,15132.6913219022
01060003,40 to 44 years,18022.4839681662,18022.4839681662
01060003,45 to 49 years,20415.3955676216,20415.3955676216
01060003,5 to 9 years,15274.1070097148,15274.1070097148
01060003,50 to 54 years,22674.9273103101,22674.9273103101
01060003,55 to 59 years,21927.9388366335,21927.9388366335
01060003,60 and 61 years,7949.76115311076,7949.76115311076
01060003,62 to 64 years,10118.0617639849,10118.0617639849
01060003,65 and 66 years,6941.81362985614,6941.81362985614
01060003,67 to 69 years,8133.16341128597,8133.16341128597
01060003,70 to 74 years,9884.35567177263,9884.35567177263
01060003,75 to 79 years,7491.04364570921,7491.04364570921
01060003,80 to 84 years,5232.02046332601,5232.02046332601
01060003,85 years and over,5129.47080549536,5129.47080549536
01060003,Under 5 years,13618.9732302721,13618.9732302721
01070001,10 to 14 years,1905.02951440935,1905.02951440935
01070001,15 to 17 years,1510.87963774,1510.87963774
01070001,18 and 19 years,1949.73785604881,1949.73785604881
01070001,20 years,848.551668293465,848.551668293465
01070001,21 years,1216.13202032375,1216.13202032375
01070001,22 to 24 years,1812.78625699011,1812.78625699011
01070001,25 to 29 years,2215.8310118985,2215.8310118985
01070001,30 to 34 years,2008.34713105251,2008.34713105251
01070001,35 to 39 years,2000.00601335575,2000.00601335575
01070001,40 to 44 years,2240.37055830895,2240.37055830895
01070001,45 to 49 years,2822.55717104783,2822.55717104783
01070001,5 to 9 years,2090.56388612008,2090.56388612008
01070001,50 to 54 years,3557.19166005516,3557.19166005516
01070001,55 to 59 years,3740.26875452981,3740.26875452981
01070001,60 and 61 years,1628.83356991244,1628.83356991244
01070001,62 to 64 years,2060.33965166881,2060.33965166881
01070001,65 and 66 years,1252.58593410874,1252.58593410874
01070001,67 to 69 years,1644.15827088712,1644.15827088712
01070001,70 to 74 years,2182.34181657411,2182.34181657411
01070001,75 to 79 years,1334.75911980814,1334.75911980814
01070001,80 to 84 years,981.43936025897,981.43936025897
01070001,85 years and over,1067.23938277474,1067.23938277474
01070001,Under 5 years,1809.5096604856,1809.5096604856
01070002,10 to 14 years,3653.68312886019,3653.68312886019
01070002,15 to 17 years,2320.42656539092,2320.42656539092
01070002,18 and 19 years,1328.60542359172,1328.60542359172
01070002,20 years,564.833667538809,564.833667538809
01070002,21 years,591.906500856226,591.906500856226
01070002,22 to 24 years,1597.56039973434,1597.56039973434
01070002,25 to 29 years,3188.480570367,3188.480570367
01070002,30 to 34 years,3195.67983096076,3195.67983096076
01070002,35 to 39 years,2727.84642850663,2727.84642850663
01070002,40 to 44 years,3610.54626138496,3610.54626138496
01070002,45 to 49 years,4529.34572664525,4529.34572664525
01070002,5 to 9 years,3147.25652894815,3147.25652894815
01070002,50 to 54 years,5371.14027827065,5371.14027827065
01070002,55 to 59 years,4983.97964351493,4983.97964351493
01070002,60 and 61 years,1942.28582328296,1942.28582328296
01070002,62 to 64 years,3048.27723212337,3048.27723212337
01070002,65 and 66 years,2035.85520808934,2035.85520808934
01070002,67 to 69 years,2769.8756121244,2769.8756121244
01070002,70 to 74 years,3127.88281804863,3127.88281804863
01070002,75 to 79 years,1782.66421641473,1782.66421641473
01070002,80 to 84 years,1732.90897485567,1732.90897485567
01070002,85 years and over,1685.86927811769,1685.86927811769
01070002,Under 5 years,2722.46060047106,2722.46060047106
01070003,10 to 14 years,3900.20014629061,3900.20014629061
01070003,15 to 17 years,2559.73350049911,2559.73350049911
01070003,18 and 19 years,2213.58959731332,2213.58959731332
01070003,20 years,988.454270247607,988.454270247607
01070003,21 years,943.29649502121,943.29649502121
01070003,22 to 24 years,1953.67802009442,1953.67802009442
01070003,25 to 29 years,2796.37418696452,2796.37418696452
01070003,30 to 34 years,2924.39711845513,2924.39711845513
01070003,35 to 39 years,3226.75751756155,3226.75751756155
01070003,40 to 44 years,3788.14016774556,3788.14016774556
01070003,45 to 49 years,4384.39296570813,4384.39296570813
01070003,5 to 9 years,3614.07014033581,3614.07014033581
01070003,50 to 54 years,5229.80839756893,5229.80839756893
01070003,55 to 59 years,5561.7443921145,5561.7443921145
01070003,60 and 61 years,1996.4339980452,1996.4339980452
01070003,62 to 64 years,2661.61705252655,2661.61705252655
01070003,65 and 66 years,1974.22416477357,1974.22416477357
01070003,67 to 69 years,2126.01169892052,2126.01169892052
01070003,70 to 74 years,2857.28550292988,2857.28550292988
01070003,75 to 79 years,1966.42830285486,1966.42830285486
01070003,80 to 84 years,1173.03880388951,1173.03880388951
01070003,85 years and over,1644.57929692623,1644.57929692623
01070003,Under 5 years,2855.09076525165,2855.09076525165
01070004,10 to 14 years,2757.75112707859,2757.75112707859
01070004,15 to 17 years,1802.69419680205,1802.69419680205
01070004,18 and 19 years,922.41229751473,922.41229751473
01070004,20 years,542.266959832269,542.266959832269
01070004,21 years,519.064562995409,519.064562995409
01070004,22 to 24 years,1679.69773760815,1679.69773760815
01070004,25 to 29 years,3435.34210714156,3435.34210714156
01070004,30 to 34 years,3064.36772255884,3064.36772255884
01070004,35 to 39 years,2783.34870054398,2783.34870054398
01070004,40 to 44 years,3254.63590871831,3254.63590871831
01070004,45 to 49 years,3702.87502900064,3702.87502900064
01070004,5 to 9 years,3201.00383162265,3201.00383162265
01070004,50 to 54 years,4175.33176072894,4175.33176072894
01070004,55 to 59 years,4061.03965643498,4061.03965643498
01070004,60 and 61 years,1424.66270548594,1424.66270548594
01070004,62 to 64 years,1562.81382453585,1562.81382453585
01070004,65 and 66 years,836.513532323616,836.513532323616
01070004,67 to 69 years,1265.37549533357,1265.37549533357
01070004,70 to 74 years,1603.7894265631,1603.7894265631
01070004,75 to 79 years,1311.44156962416,1311.44156962416
01070004,80 to 84 years,908.540340306483,908.540340306483
01070004,85 years and over,819.883713332953,819.883713332953
01070004,Under 5 years,2770.7684872279,2770.7684872279
01070006,10 to 14 years,36821.5952296558,36821.5952296558
01070006,15 to 17 years,25082.4541592244,25082.4541592244
01070006,18 and 19 years,15291.776984821,15291.776984821
01070006,20 years,7260.4258604683,7260.4258604683
01070006,21 years,7379.14240805661,7379.14240805661
01070006,22 to 24 years,23879.3152836413,23879.3152836413
01070006,25 to 29 years,36488.4437592302,36488.4437592302
01070006,30 to 34 years,36110.2568237986,36110.2568237986
01070006,35 to 39 years,36861.4673913052,36861.4673913052
01070006,40 to 44 years,39643.2759516543,39643.2759516543
01070006,45 to 49 years,47099.4666737985,47099.4666737985
01070006,5 to 9 years,35411.9061564379,35411.9061564379
01070006,50 to 54 years,51823.4353865011,51823.4353865011
01070006,55 to 59 years,47197.9313423415,47197.9313423415
01070006,60 and 61 years,15937.9049385541,15937.9049385541
01070006,62 to 64 years,22414.0536273384,22414.0536273384
01070006,65 and 66 years,13424.2119139808,13424.2119139808
01070006,67 to 69 years,16349.0405326873,16349.0405326873
01070006,70 to 74 years,19477.8133709951,19477.8133709951
01070006,75 to 79 years,13348.4266374322,13348.4266374322
01070006,80 to 84 years,9850.41396726545,9850.41396726545
01070006,85 years and over,10867.2194102686,10867.2194102686
01070006,Under 5 years,30514.3174995606,30514.3174995606
01080101,10 to 14 years,767.921604976094,767.921604976094
01080101,15 to 17 years,570.673532238328,570.673532238328
01080101,18 and 19 years,239.124737953538,239.124737953538
01080101,20 years,115.363972492513,115.363972492513
01080101,21 years,119.746010216769,119.746010216769
01080101,22 to 24 years,477.0405116862,477.0405116862
01080101,25 to 29 years,633.498418684193,633.498418684193
01080101,30 to 34 years,712.580128809316,712.580128809316
01080101,35 to 39 years,785.083202778238,785.083202778238
01080101,40 to 44 years,835.820134720461,835.820134720461
01080101,45 to 49 years,1047.76577818433,1047.76577818433
01080101,5 to 9 years,659.750494562425,659.750494562425
01080101,50 to 54 years,1096.59813561338,1096.59813561338
01080101,55 to 59 years,1419.57417657996,1419.57417657996
01080101,60 and 61 years,550.298342358824,550.298342358824
01080101,62 to 64 years,746.174034323937,746.174034323937
01080101,65 and 66 years,475.783964122533,475.783964122533
01080101,67 to 69 years,645.989787899026,645.989787899026
01080101,70 to 74 years,882.145218918395,882.145218918395
01080101,75 to 79 years,552.660825175316,552.660825175316
01080101,80 to 84 years,378.121959657081,378.121959657081
01080101,85 years and over,435.955532531404,435.955532531404
01080101,Under 5 years,570.810924257986,570.810924257986
01080102,10 to 14 years,0.00763622737245193,0.00763622737245193
01080102,15 to 17 years,0.00506402446804707,0.00506402446804707
01080102,18 and 19 years,0.00308128472923499,0.00308128472923499
01080102,20 years,0.00166121437576147,0.00166121437576147
01080102,21 years,0.000910988528643388,0.000910988528643388
01080102,22 to 24 years,0.00426021106042055,0.00426021106042055
01080102,25 to 29 years,0.00637691970050372,0.00637691970050372
01080102,30 to 34 years,0.00763622737245193,0.00763622737245193
01080102,35 to 39 years,0.0069663828660965,0.0069663828660965
01080102,40 to 44 years,0.00672523884380854,0.00672523884380854
01080102,45 to 49 years,0.00787737139473989,0.00787737139473989
01080102,5 to 9 years,0.00677882640431698,0.00677882640431698
01080102,50 to 54 years,0.0101816364966026,0.0101816364966026
01080102,55 to 59 years,0.0122179637959231,0.0122179637959231
01080102,60 and 61 years,0.00720752688838446,0.00720752688838446
01080102,62 to 64 years,0.0065108886017748,0.0065108886017748
01080102,65 and 66 years,0.00442097374194585,0.00442097374194585
01080102,67 to 69 years,0.00538554983109768,0.00538554983109768
01080102,70 to 74 years,0.00752905225143506,0.00752905225143506
01080102,75 to 79 years,0.00369754167508199,0.00369754167508199
01080102,80 to 84 years,0.00289372826745547,0.00289372826745547
01080102,85 years and over,0.00243823400313377,0.00243823400313377
01080102,Under 5 years,0.00691279530558806,0.00691279530558806
01080103,10 to 14 years,1348.73449368654,1348.73449368654
01080103,15 to 17 years,760.725083192624,760.725083192624
01080103,18 and 19 years,322.388862248203,322.388862248203
01080103,20 years,230.497883979072,230.497883979072
01080103,21 years,160.38789350236,160.38789350236
01080103,22 to 24 years,683.1947491137,683.1947491137
01080103,25 to 29 years,1508.67409157578,1508.67409157578
01080103,30 to 34 years,1278.7881517879,1278.7881517879
01080103,35 to 39 years,1401.92200374477,1401.92200374477
01080103,40 to 44 years,1318.33519374528,1318.33519374528
01080103,45 to 49 years,1653.44530297225,1653.44530297225
01080103,5 to 9 years,1339.48357387602,1339.48357387602
01080103,50 to 54 years,1898.06949364635,1898.06949364635
01080103,55 to 59 years,1900.94136846624,1900.94136846624
01080103,60 and 61 years,972.103385576008,972.103385576008
01080103,62 to 64 years,1279.74250924167,1279.74250924167
01080103,65 and 66 years,683.458710181448,683.458710181448
01080103,67 to 69 years,1069.85264686801,1069.85264686801
01080103,70 to 74 years,1172.8654729871,1172.8654729871
01080103,75 to 79 years,745.51318326261,745.51318326261
01080103,80 to 84 years,580.101555637739,580.101555637739
01080103,85 years and over,550.367564733569,550.367564733569
01080103,Under 5 years,1004.11052791261,1004.11052791261
01080104,10 to 14 years,634.71802237758,634.71802237758
01080104,15 to 17 years,461.198046072764,461.198046072764
01080104,18 and 19 years,1864.72758304634,1864.72758304634
01080104,20 years,1099.57005727861,1099.57005727861
