huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
02020007,10 to 14 years,4524.48104363148,4524.48104363148
02020007,15 to 17 years,3084.82665054175,3084.82665054175
02020007,18 and 19 years,1615.17253244234,1615.17253244234
02020007,20 years,935.185911453132,935.185911453132
02020007,21 years,846.902745552762,846.902745552762
02020007,22 to 24 years,2510.59955723615,2510.59955723615
02020007,25 to 29 years,3293.10514029197,3293.10514029197
02020007,30 to 34 years,3588.65543879511,3588.65543879511
02020007,35 to 39 years,3822.37719506409,3822.37719506409
02020007,40 to 44 years,4576.6786788618,4576.6786788618
02020007,45 to 49 years,5866.85790069808,5866.85790069808
02020007,5 to 9 years,4248.45420026179,4248.45420026179
02020007,50 to 54 years,6720.16687776249,6720.16687776249
02020007,55 to 59 years,5987.90541973485,5987.90541973485
02020007,60 and 61 years,2057.92737069871,2057.92737069871
02020007,62 to 64 years,2746.84234716826,2746.84234716826
02020007,65 and 66 years,1719.80177292533,1719.80177292533
02020007,67 to 69 years,1993.02483848394,1993.02483848394
02020007,70 to 74 years,2300.28708122899,2300.28708122899
02020007,75 to 79 years,1431.70627749634,1431.70627749634
02020007,80 to 84 years,1004.24438515689,1004.24438515689
02020007,85 years and over,1026.08154660356,1026.08154660356
02020007,Under 5 years,3411.19339095387,3411.19339095387
02030101,10 to 14 years,15313.7080109609,15313.7080109609
02030101,15 to 17 years,9006.26278865035,9006.26278865035
02030101,18 and 19 years,6656.7703709241,6656.7703709241
02030101,20 years,3852.43593594591,3852.43593594591
02030101,21 years,3838.69480712436,3838.69480712436
02030101,22 to 24 years,16028.8830229888,16028.8830229888
02030101,25 to 29 years,42517.1614545539,42517.1614545539
02030101,30 to 34 years,44485.6583185897,44485.6583185897
02030101,35 to 39 years,34255.153694814,34255.153694814
02030101,40 to 44 years,27542.1760446919,27542.1760446919
02030101,45 to 49 years,23234.281797889,23234.281797889
02030101,5 to 9 years,17487.8513718511,17487.8513718511
02030101,50 to 54 years,22521.9274996782,22521.9274996782
02030101,55 to 59 years,19175.404687847,19175.404687847
02030101,60 and 61 years,7110.25870192272,7110.25870192272
02030101,62 to 64 years,9261.94255432467,9261.94255432467
02030101,65 and 66 years,5653.57371238946,5653.57371238946
02030101,67 to 69 years,6875.32224484102,6875.32224484102
02030101,70 to 74 years,9740.0869953767,9740.0869953767
02030101,75 to 79 years,7613.28691807019,7613.28691807019
02030101,80 to 84 years,6150.86186101222,6150.86186101222
02030101,85 years and over,6309.55054680709,6309.55054680709
02030101,Under 5 years,25324.1646562431,25324.1646562431
02030103,10 to 14 years,168550.48855206,168550.48855206
02030103,15 to 17 years,104872.733221409,104872.733221409
02030103,18 and 19 years,64264.3430774968,64264.3430774968
02030103,20 years,30651.2562654313,30651.2562654313
02030103,21 years,31852.1377877976,31852.1377877976
02030103,22 to 24 years,96958.6712000362,96958.6712000362
02030103,25 to 29 years,159076.453405611,159076.453405611
02030103,30 to 34 years,165345.660936004,165345.660936004
02030103,35 to 39 years,166325.102999238,166325.102999238
02030103,40 to 44 years,175838.514472607,175838.514472607
02030103,45 to 49 years,191686.057114612,191686.057114612
02030103,5 to 9 years,160236.481401397,160236.481401397
02030103,50 to 54 years,194472.625799841,194472.625799841
02030103,55 to 59 years,177726.596661763,177726.596661763
02030103,60 and 61 years,63807.8551715253,63807.8551715253
02030103,62 to 64 years,84049.667068616,84049.667068616
02030103,65 and 66 years,51269.8876043337,51269.8876043337
02030103,67 to 69 years,64761.3019899864,64761.3019899864
02030103,70 to 74 years,83635.9205558719,83635.9205558719
02030103,75 to 79 years,61701.6704632158,61701.6704632158
02030103,80 to 84 years,48087.2086454132,48087.2086454132
02030103,85 years and over,56194.0620320974,56194.0620320974
02030103,Under 5 years,150415.211967728,150415.211967728
02030104,10 to 14 years,92175.2715506722,92175.2715506722
02030104,15 to 17 years,54677.4205040059,54677.4205040059
02030104,18 and 19 years,33264.9292390892,33264.9292390892
02030104,20 years,17310.4740186198,17310.4740186198
02030104,21 years,18441.1660173983,18441.1660173983
02030104,22 to 24 years,53014.8275673669,53014.8275673669
02030104,25 to 29 years,91596.0996193739,91596.0996193739
02030104,30 to 34 years,94297.1639737392,94297.1639737392
02030104,35 to 39 years,93699.4756906978,93699.4756906978
02030104,40 to 44 years,98069.1180980751,98069.1180980751
02030104,45 to 49 years,102410.964468748,102410.964468748
02030104,5 to 9 years,87255.370802761,87255.370802761
02030104,50 to 54 years,106155.626462939,106155.626462939
02030104,55 to 59 years,94661.4312037431,94661.4312037431
02030104,60 and 61 years,34260.9677490056,34260.9677490056
02030104,62 to 64 years,45624.0066649874,45624.0066649874
02030104,65 and 66 years,27176.2695984283,27176.2695984283
02030104,67 to 69 years,33469.4224467852,33469.4224467852
02030104,70 to 74 years,42180.619144549,42180.619144549
02030104,75 to 79 years,28763.6170589129,28763.6170589129
02030104,80 to 84 years,23445.6101059192,23445.6101059192
02030104,85 years and over,26361.839525569,26361.839525569
02030104,Under 5 years,89236.0334146098,89236.0334146098
02030105,10 to 14 years,90132.4622033385,90132.4622033385
02030105,15 to 17 years,56167.634307274,56167.634307274
02030105,18 and 19 years,39572.0676980975,39572.0676980975
02030105,20 years,19861.4321082142,19861.4321082142
02030105,21 years,18791.4765459172,18791.4765459172
02030105,22 to 24 years,50691.66404231,50691.66404231
02030105,25 to 29 years,78823.5400721461,78823.5400721461
02030105,30 to 34 years,81626.0628256435,81626.0628256435
02030105,35 to 39 years,86736.9191941624,86736.9191941624
02030105,40 to 44 years,94829.5521052659,94829.5521052659
02030105,45 to 49 years,102048.684769771,102048.684769771
02030105,5 to 9 years,84014.9976062482,84014.9976062482
02030105,50 to 54 years,104756.513261767,104756.513261767
02030105,55 to 59 years,94836.9849705047,94836.9849705047
02030105,60 and 61 years,34353.5915943995,34353.5915943995
02030105,62 to 64 years,43314.8269021779,43314.8269021779
02030105,65 and 66 years,27144.8426813021,27144.8426813021
02030105,67 to 69 years,33413.299641738,33413.299641738
02030105,70 to 74 years,42608.3879976902,42608.3879976902
02030105,75 to 79 years,30834.7893307813,30834.7893307813
02030105,80 to 84 years,23731.2374513349,23731.2374513349
02030105,85 years and over,26894.1572860198,26894.1572860198
02030105,Under 5 years,75142.7333161814,75142.7333161814
02040104,10 to 14 years,500.246530547131,500.246530547131
02040104,15 to 17 years,311.73445842976,311.73445842976
02040104,18 and 19 years,152.385770007148,152.385770007148
02040104,20 years,146.372491459552,146.372491459552
02040104,21 years,57.4586996461238,57.4586996461238
02040104,22 to 24 years,193.000697689203,193.000697689203
02040104,25 to 29 years,407.004071666358,407.004071666358
02040104,30 to 34 years,344.455414720089,344.455414720089
02040104,35 to 39 years,446.889046399739,446.889046399739
02040104,40 to 44 years,498.246662258201,498.246662258201
02040104,45 to 49 years,607.568368287948,607.568368287948
02040104,5 to 9 years,410.078602768392,410.078602768392
02040104,50 to 54 years,696.812898273448,696.812898273448
02040104,55 to 59 years,741.73607610301,741.73607610301
02040104,60 and 61 years,269.82247207316,269.82247207316
02040104,62 to 64 years,340.35946308927,340.35946308927
02040104,65 and 66 years,222.283918991694,222.283918991694
02040104,67 to 69 years,219.035727869769,219.035727869769
02040104,70 to 74 years,296.754363248571,296.754363248571
02040104,75 to 79 years,245.310974228124,245.310974228124
02040104,80 to 84 years,151.404222516483,151.404222516483
02040104,85 years and over,112.929559132645,112.929559132645
02040104,Under 5 years,386.042483568874,386.042483568874
02040105,10 to 14 years,28145.382173974,28145.382173974
02040105,15 to 17 years,18437.6669432028,18437.6669432028
02040105,18 and 19 years,13738.2121965952,13738.2121965952
02040105,20 years,7081.08404114027,7081.08404114027
02040105,21 years,6599.09155367097,6599.09155367097
02040105,22 to 24 years,17024.8973234486,17024.8973234486
02040105,25 to 29 years,25102.2875785704,25102.2875785704
02040105,30 to 34 years,24170.0075733375,24170.0075733375
02040105,35 to 39 years,24956.9217094899,24956.9217094899
02040105,40 to 44 years,29697.1075183551,29697.1075183551
02040105,45 to 49 years,34800.0115552885,34800.0115552885
02040105,5 to 9 years,25539.009049261,25539.009049261
02040105,50 to 54 years,38452.9164066998,38452.9164066998
02040105,55 to 59 years,34781.7539251601,34781.7539251601
02040105,60 and 61 years,12007.6988948352,12007.6988948352
02040105,62 to 64 years,17355.7309089928,17355.7309089928
02040105,65 and 66 years,9533.19653308363,9533.19653308363
02040105,67 to 69 years,13449.8462570821,13449.8462570821
02040105,70 to 74 years,15073.7239840084,15073.7239840084
