huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
11020010,10 to 14 years,33.6621040525602,33.6621040525602
11020010,15 to 17 years,19.3786642215933,19.3786642215933
11020010,18 and 19 years,14.7092185879329,14.7092185879329
11020010,20 years,11.4255106425519,11.4255106425519
11020010,21 years,6.33712498776714,6.33712498776714
11020010,22 to 24 years,14.7582841097075,14.7582841097075
11020010,25 to 29 years,29.1809212638693,29.1809212638693
11020010,30 to 34 years,37.1618693735373,37.1618693735373
11020010,35 to 39 years,30.0243181039659,30.0243181039659
11020010,40 to 44 years,29.1371357136183,29.1371357136183
11020010,45 to 49 years,26.8378616840187,26.8378616840187
11020010,5 to 9 years,36.1121226111271,36.1121226111271
11020010,50 to 54 years,42.3293664479165,42.3293664479165
11020010,55 to 59 years,44.5997672136568,44.5997672136568
11020010,60 and 61 years,24.9733734821533,24.9733734821533
11020010,62 to 64 years,20.8120440988911,20.8120440988911
11020010,65 and 66 years,18.061361255801,18.061361255801
11020010,67 to 69 years,23.3832296792273,23.3832296792273
11020010,70 to 74 years,37.7550553170502,37.7550553170502
11020010,75 to 79 years,40.085391767553,40.085391767553
11020010,80 to 84 years,11.2003460598253,11.2003460598253
11020010,85 years and over,11.7884381750524,11.7884381750524
11020010,Under 5 years,37.761121506572,37.761121506572
11040001,10 to 14 years,76.4006779622851,76.4006779622851
11040001,15 to 17 years,53.6747643371913,53.6747643371913
11040001,18 and 19 years,20.0071602488874,20.0071602488874
11040001,20 years,36.4659540599901,36.4659540599901
11040001,21 years,24.8140454284214,24.8140454284214
11040001,22 to 24 years,49.9172111776199,49.9172111776199
11040001,25 to 29 years,75.5799121197515,75.5799121197515
11040001,30 to 34 years,122.037200674112,122.037200674112
11040001,35 to 39 years,89.49852520125,89.49852520125
11040001,40 to 44 years,103.970213657134,103.970213657134
11040001,45 to 49 years,84.0766624899403,84.0766624899403
11040001,5 to 9 years,97.0326739725246,97.0326739725246
11040001,50 to 54 years,99.7293234890807,99.7293234890807
11040001,55 to 59 years,99.2959800114255,99.2959800114255
11040001,60 and 61 years,52.4322266400554,52.4322266400554
11040001,62 to 64 years,48.8345406784648,48.8345406784648
11040001,65 and 66 years,48.1178626915589,48.1178626915589
11040001,67 to 69 years,63.8722241458295,63.8722241458295
11040001,70 to 74 years,79.8816934346637,79.8816934346637
11040001,75 to 79 years,62.518801771008,62.518801771008
11040001,80 to 84 years,45.7348247559276,45.7348247559276
11040001,85 years and over,30.4879545667763,30.4879545667763
11040001,Under 5 years,93.44043681895,93.44043681895
11040002,10 to 14 years,0.305669097786245,0.305669097786245
11040002,15 to 17 years,0.200102966076563,0.200102966076563
11040002,18 and 19 years,0.0346635059345227,0.0346635059345227
11040002,20 years,0.154410162799237,0.154410162799237
11040002,21 years,0.127624726395288,0.127624726395288
11040002,22 to 24 years,0.267854364039493,0.267854364039493
11040002,25 to 29 years,0.374996109655291,0.374996109655291
11040002,30 to 34 years,0.559342936670707,0.559342936670707
11040002,35 to 39 years,0.4726841718344,0.4726841718344
11040002,40 to 44 years,0.466381716209941,0.466381716209941
11040002,45 to 49 years,0.392327862622552,0.392327862622552
11040002,5 to 9 years,0.4726841718344,0.4726841718344
11040002,50 to 54 years,0.411235229495928,0.411235229495928
11040002,55 to 59 years,0.469532944022171,0.469532944022171
11040002,60 and 61 years,0.160712618423696,0.160712618423696
11040002,62 to 64 years,0.219010332949939,0.219010332949939
11040002,65 and 66 years,0.181195599203187,0.181195599203187
11040002,67 to 69 years,0.250522611072232,0.250522611072232
11040002,70 to 74 years,0.289912958725099,0.289912958725099
11040002,75 to 79 years,0.170166301860384,0.170166301860384
11040002,80 to 84 years,0.230039630292741,0.230039630292741
11040002,85 years and over,0.181195599203187,0.181195599203187
11040002,Under 5 years,0.370269267936947,0.370269267936947
11080001,10 to 14 years,366.259571697053,366.259571697053
11080001,15 to 17 years,203.489054918923,203.489054918923
11080001,18 and 19 years,159.446295261293,159.446295261293
11080001,20 years,98.2675677191576,98.2675677191576
11080001,21 years,65.7496604347699,65.7496604347699
11080001,22 to 24 years,213.393051343579,213.393051343579
11080001,25 to 29 years,382.961304065711,382.961304065711
11080001,30 to 34 years,374.068868526855,374.068868526855
11080001,35 to 39 years,382.034644817599,382.034644817599
11080001,40 to 44 years,290.017453790812,290.017453790812
11080001,45 to 49 years,347.624542737422,347.624542737422
11080001,5 to 9 years,441.00701409261,441.00701409261
11080001,50 to 54 years,501.092635031095,501.092635031095
11080001,55 to 59 years,596.87746328848,596.87746328848
11080001,60 and 61 years,280.156985900454,280.156985900454
11080001,62 to 64 years,291.918670278839,291.918670278839
11080001,65 and 66 years,204.282667100038,204.282667100038
11080001,67 to 69 years,243.102721586085,243.102721586085
11080001,70 to 74 years,449.689341540437,449.689341540437
11080001,75 to 79 years,448.820890612933,448.820890612933
11080001,80 to 84 years,123.700939181134,123.700939181134
11080001,85 years and over,171.011585570803,171.011585570803
11080001,Under 5 years,384.082002475758,384.082002475758
11080002,10 to 14 years,80.9534929628274,80.9534929628274
11080002,15 to 17 years,96.5471648206917,96.5471648206917
11080002,18 and 19 years,36.8939243189142,36.8939243189142
11080002,20 years,15.7430460825389,15.7430460825389
11080002,21 years,17.095639469242,17.095639469242
11080002,22 to 24 years,110.514375109692,110.514375109692
11080002,25 to 29 years,130.29713541314,130.29713541314
11080002,30 to 34 years,105.230856295707,105.230856295707
11080002,35 to 39 years,110.04277949571,110.04277949571
11080002,40 to 44 years,120.875456651552,120.875456651552
11080002,45 to 49 years,191.295141777745,191.295141777745
11080002,5 to 9 years,124.892041554602,124.892041554602
11080002,50 to 54 years,174.380082214585,174.380082214585
11080002,55 to 59 years,200.880688685337,200.880688685337
11080002,60 and 61 years,123.575306280698,123.575306280698
11080002,62 to 64 years,142.804694978665,142.804694978665
11080002,65 and 66 years,104.677968578578,104.677968578578
11080002,67 to 69 years,90.8274398100951,90.8274398100951
11080002,70 to 74 years,175.693057796554,175.693057796554
11080002,75 to 79 years,101.969490194033,101.969490194033
11080002,80 to 84 years,56.2730922490832,56.2730922490832
11080002,85 years and over,40.9570663492256,40.9570663492256
11080002,Under 5 years,81.841541919199,81.841541919199
11080003,10 to 14 years,178.711035652463,178.711035652463
11080003,15 to 17 years,161.437009553486,161.437009553486
11080003,18 and 19 years,172.17772904559,172.17772904559
11080003,20 years,17.936315693715,17.936315693715
11080003,21 years,73.4681361201682,73.4681361201682
11080003,22 to 24 years,171.819106814555,171.819106814555
11080003,25 to 29 years,213.867192910876,213.867192910876
11080003,30 to 34 years,114.009838353136,114.009838353136
11080003,35 to 39 years,205.778482014171,205.778482014171
11080003,40 to 44 years,209.382719662198,209.382719662198
11080003,45 to 49 years,138.471804344905,138.471804344905
11080003,5 to 9 years,219.794700001452,219.794700001452
11080003,50 to 54 years,286.640982074715,286.640982074715
11080003,55 to 59 years,292.016324581723,292.016324581723
11080003,60 and 61 years,181.043124419592,181.043124419592
11080003,62 to 64 years,142.126243861871,142.126243861871
11080003,65 and 66 years,118.451695927645,118.451695927645
11080003,67 to 69 years,130.156084054114,130.156084054114
11080003,70 to 74 years,232.53627001699,232.53627001699
11080003,75 to 79 years,161.895735597811,161.895735597811
11080003,80 to 84 years,119.932354899306,119.932354899306
11080003,85 years and over,53.8495312459728,53.8495312459728
11080003,Under 5 years,186.529676566353,186.529676566353
11080004,10 to 14 years,147.69117423743,147.69117423743
11080004,15 to 17 years,126.207476187817,126.207476187817
11080004,18 and 19 years,160.701478868846,160.701478868846
11080004,20 years,11.1942365583963,11.1942365583963
11080004,21 years,69.2332551339226,69.2332551339226
11080004,22 to 24 years,138.087471831776,138.087471831776
11080004,25 to 29 years,169.154800042985,169.154800042985
11080004,30 to 34 years,76.6682031672285,76.6682031672285
11080004,35 to 39 years,171.535008562428,171.535008562428
11080004,40 to 44 years,167.020468497568,167.020468497568
11080004,45 to 49 years,75.5503704626514,75.5503704626514
11080004,5 to 9 years,176.580743863755,176.580743863755
11080004,50 to 54 years,225.763005604594,225.763005604594
11080004,55 to 59 years,219.164904059863,219.164904059863
11080004,60 and 61 years,137.310836305161,137.310836305161
11080004,62 to 64 years,92.5414750495134,92.5414750495134
11080004,65 and 66 years,84.2104229042521,84.2104229042521
11080004,67 to 69 years,97.1903938597723,97.1903938597723
11080004,70 to 74 years,169.844715271464,169.844715271464
11080004,75 to 79 years,125.244404701112,125.244404701112
11080004,80 to 84 years,99.9563843183187,99.9563843183187
11080004,85 years and over,39.5147999555271,39.5147999555271
11080004,Under 5 years,158.3169326046,158.3169326046
11080005,10 to 14 years,104.025919398572,104.025919398572
11080005,15 to 17 years,81.1688024826899,81.1688024826899
11080005,18 and 19 years,34.7795749647665,34.7795749647665
11080005,20 years,18.4190300025523,18.4190300025523
11080005,21 years,12.8000841043125,12.8000841043125
11080005,22 to 24 years,34.1724218179686,34.1724218179686
11080005,25 to 29 years,95.3367578624929,95.3367578624929
11080005,30 to 34 years,57.7797383743077,57.7797383743077
11080005,35 to 39 years,58.5152638580663,58.5152638580663
11080005,40 to 44 years,104.882508477529,104.882508477529
11080005,45 to 49 years,50.2434054122355,50.2434054122355
11080005,5 to 9 years,83.7551357202392,83.7551357202392
11080005,50 to 54 years,119.97520878298,119.97520878298
11080005,55 to 59 years,64.8621111909726,64.8621111909726
11080005,60 and 61 years,43.4190384988117,43.4190384988117
11080005,62 to 64 years,28.8436679023361,28.8436679023361
11080005,65 and 66 years,26.6851562432705,26.6851562432705
11080005,67 to 69 years,30.9180883286922,30.9180883286922
11080005,70 to 74 years,105.873832713219,105.873832713219
11080005,75 to 79 years,74.8643444100554,74.8643444100554
11080005,80 to 84 years,32.8265334409388,32.8265334409388
11080005,85 years and over,7.53727888406195,7.53727888406195
11080005,Under 5 years,38.1661211521367,38.1661211521367
11080006,10 to 14 years,434.337916642856,434.337916642856
11080006,15 to 17 years,304.539064893404,304.539064893404
11080006,18 and 19 years,268.676018046811,268.676018046811
11080006,20 years,169.291324536418,169.291324536418
11080006,21 years,40.7771760039571,40.7771760039571
11080006,22 to 24 years,272.77793237929,272.77793237929
11080006,25 to 29 years,249.93419883349,249.93419883349
11080006,30 to 34 years,459.184688290978,459.184688290978
11080006,35 to 39 years,330.066815000223,330.066815000223
11080006,40 to 44 years,459.580719616542,459.580719616542
11080006,45 to 49 years,505.742280048456,505.742280048456
11080006,5 to 9 years,564.967339975096,564.967339975096
11080006,50 to 54 years,544.570057812874,544.570057812874
11080006,55 to 59 years,380.61688046699,380.61688046699
11080006,60 and 61 years,257.329257409558,257.329257409558
11080006,62 to 64 years,464.830759930146,464.830759930146
11080006,65 and 66 years,266.371586563177,266.371586563177
11080006,67 to 69 years,261.845579313682,261.845579313682
11080006,70 to 74 years,542.506009277579,542.506009277579
11080006,75 to 79 years,373.83440596588,373.83440596588
11080006,80 to 84 years,253.107107731879,253.107107731879
11080006,85 years and over,155.05853030077,155.05853030077
11080006,Under 5 years,503.863763433327,503.863763433327
11080007,10 to 14 years,58.8887145433431,58.8887145433431
11080007,15 to 17 years,53.3062611672397,53.3062611672397
11080007,18 and 19 years,20.0508942141721,20.0508942141721
11080007,20 years,17.6413415828737,17.6413415828737
11080007,21 years,13.0385850831032,13.0385850831032
11080007,22 to 24 years,50.6619700545052,50.6619700545052
11080007,25 to 29 years,66.7146415906474,66.7146415906474
11080007,30 to 34 years,84.916290142381,84.916290142381
11080007,35 to 39 years,63.5096277041175,63.5096277041175
11080007,40 to 44 years,79.9143076997698,79.9143076997698
11080007,45 to 49 years,86.0093310680441,86.0093310680441
11080007,5 to 9 years,81.4695434874433,81.4695434874433
11080007,50 to 54 years,95.1519350116746,95.1519350116746
11080007,55 to 59 years,160.583024851838,160.583024851838
11080007,60 and 61 years,77.2631520017119,77.2631520017119
11080007,62 to 64 years,81.0085424137183,81.0085424137183
11080007,65 and 66 years,48.0618087619349,48.0618087619349
11080007,67 to 69 years,74.4888998423526,74.4888998423526
11080007,70 to 74 years,89.2637034793498,89.2637034793498
11080007,75 to 79 years,62.8641888504882,62.8641888504882
11080007,80 to 84 years,46.2795218344941,46.2795218344941
11080007,85 years and over,42.8300302102544,42.8300302102544
11080007,Under 5 years,73.434722261584,73.434722261584
11080008,10 to 14 years,48.7624413686987,48.7624413686987
11080008,15 to 17 years,27.042586620077,27.042586620077
11080008,18 and 19 years,28.6087758353296,28.6087758353296
11080008,20 years,3.56040847741345,3.56040847741345
11080008,21 years,7.23128530984179,7.23128530984179
11080008,22 to 24 years,17.2617495533603,17.2617495533603
11080008,25 to 29 years,7.02598640474708,7.02598640474708
11080008,30 to 34 years,83.2407149878203,83.2407149878203
11080008,35 to 39 years,16.4313892066761,16.4313892066761
11080008,40 to 44 years,27.4709157389493,27.4709157389493
11080008,45 to 49 years,30.8171596569266,30.8171596569266
11080008,5 to 9 years,44.7232014940402,44.7232014940402
11080008,50 to 54 years,70.3446326553533,70.3446326553533
11080008,55 to 59 years,87.0220601752636,87.0220601752636
11080008,60 and 61 years,17.5524152102655,17.5524152102655
11080008,62 to 64 years,44.2529366791727,44.2529366791727
11080008,65 and 66 years,28.6513096752529,28.6513096752529
11080008,67 to 69 years,46.9215233734399,46.9215233734399
11080008,70 to 74 years,50.5941946376521,50.5941946376521
11080008,75 to 79 years,49.8834673722881,49.8834673722881
11080008,80 to 84 years,16.1578567145258,16.1578567145258
11080008,85 years and over,17.9198810366037,17.9198810366037
11080008,Under 5 years,32.2126153685582,32.2126153685582
11090101,10 to 14 years,43.533387260742,43.533387260742
11090101,15 to 17 years,23.2644196529583,23.2644196529583
11090101,18 and 19 years,21.8073258543863,21.8073258543863
11090101,20 years,3.56764067718117,3.56764067718117
11090101,21 years,6.55260419360565,6.55260419360565
11090101,22 to 24 years,16.5168505845067,16.5168505845067
11090101,25 to 29 years,15.0578796197505,15.0578796197505
11090101,30 to 34 years,71.0924668785037,71.0924668785037
11090101,35 to 39 years,21.4181720017115,21.4181720017115
11090101,40 to 44 years,28.4685730510579,28.4685730510579
11090101,45 to 49 years,27.5327580190102,27.5327580190102
11090101,5 to 9 years,42.1791520340791,42.1791520340791
11090101,50 to 54 years,58.5155907509338,58.5155907509338
11090101,55 to 59 years,73.2632105217353,73.2632105217353
11090101,60 and 61 years,15.8734910494234,15.8734910494234
11090101,62 to 64 years,35.1015489735874,35.1015489735874
11090101,65 and 66 years,22.7552807349601,22.7552807349601
11090101,67 to 69 years,39.4574146692187,39.4574146692187
11090101,70 to 74 years,40.7073259465808,40.7073259465808
11090101,75 to 79 years,38.3822050164567,38.3822050164567
11090101,80 to 84 years,13.5708753178817,13.5708753178817
11090101,85 years and over,15.0554296195314,15.0554296195314
11090101,Under 5 years,31.1024558766126,31.1024558766126
11090102,10 to 14 years,43.155883547748,43.155883547748
