huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
01100005,10 to 14 years,1417.3761409167,1417.3761409167
01100005,15 to 17 years,951.395772885588,951.395772885588
01100005,18 and 19 years,578.951844693659,578.951844693659
01100005,20 years,315.490773196467,315.490773196467
01100005,21 years,238.915306973025,238.915306973025
01100005,22 to 24 years,1025.34005843748,1025.34005843748
01100005,25 to 29 years,982.684412119475,982.684412119475
01100005,30 to 34 years,1210.39147406057,1210.39147406057
01100005,35 to 39 years,1024.93974114574,1024.93974114574
01100005,40 to 44 years,1527.01207463133,1527.01207463133
01100005,45 to 49 years,1829.38585963536,1829.38585963536
01100005,5 to 9 years,1195.45612341881,1195.45612341881
01100005,50 to 54 years,2192.88955205724,2192.88955205724
01100005,55 to 59 years,1721.49930709077,1721.49930709077
01100005,60 and 61 years,699.800926370787,699.800926370787
01100005,62 to 64 years,935.750666038285,935.750666038285
01100005,65 and 66 years,559.449329949943,559.449329949943
01100005,67 to 69 years,680.642797524039,680.642797524039
01100005,70 to 74 years,891.223038988058,891.223038988058
01100005,75 to 79 years,642.623026084704,642.623026084704
01100005,80 to 84 years,535.729411784179,535.729411784179
01100005,85 years and over,426.051952495842,426.051952495842
01100005,Under 5 years,1080.95805729829,1080.95805729829
01100006,10 to 14 years,5261.70286480419,5261.70286480419
01100006,15 to 17 years,3224.40360462658,3224.40360462658
01100006,18 and 19 years,2876.42439811825,2876.42439811825
01100006,20 years,1135.74620196041,1135.74620196041
01100006,21 years,996.391516687877,996.391516687877
01100006,22 to 24 years,2583.82042848808,2583.82042848808
01100006,25 to 29 years,3029.18427853143,3029.18427853143
01100006,30 to 34 years,3426.99986557337,3426.99986557337
01100006,35 to 39 years,4599.53540971831,4599.53540971831
01100006,40 to 44 years,5018.18001166967,5018.18001166967
01100006,45 to 49 years,5332.80446715262,5332.80446715262
01100006,5 to 9 years,4713.36675851144,4713.36675851144
01100006,50 to 54 years,5174.41616883199,5174.41616883199
01100006,55 to 59 years,4852.86987302188,4852.86987302188
01100006,60 and 61 years,1411.66014317011,1411.66014317011
01100006,62 to 64 years,2438.30518176438,2438.30518176438
01100006,65 and 66 years,1251.4261956898,1251.4261956898
01100006,67 to 69 years,1504.46385895258,1504.46385895258
01100006,70 to 74 years,2367.54739789781,2367.54739789781
01100006,75 to 79 years,1564.24422322011,1564.24422322011
01100006,80 to 84 years,1109.61761757646,1109.61761757646
01100006,85 years and over,1513.32579808642,1513.32579808642
