huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
02040101,10 to 14 years,487.750184110935,487.750184110935
02040101,15 to 17 years,317.866724937075,317.866724937075
02040101,18 and 19 years,215.371592295802,215.371592295802
02040101,20 years,73.8393216651086,73.8393216651086
02040101,21 years,76.4824115478407,76.4824115478407
02040101,22 to 24 years,221.534682635722,221.534682635722
02040101,25 to 29 years,484.22116304676,484.22116304676
02040101,30 to 34 years,509.685652080296,509.685652080296
02040101,35 to 39 years,519.456342517769,519.456342517769
02040101,40 to 44 years,595.874795807246,595.874795807246
02040101,45 to 49 years,762.537861414168,762.537861414168
02040101,5 to 9 years,581.035119541537,581.035119541537
02040101,50 to 54 years,845.064277334522,845.064277334522
02040101,55 to 59 years,930.844258214084,930.844258214084
02040101,60 and 61 years,307.731424709446,307.731424709446
02040101,62 to 64 years,446.273037591148,446.273037591148
02040101,65 and 66 years,502.781425345398,502.781425345398
02040101,67 to 69 years,463.779021175286,463.779021175286
02040101,70 to 74 years,696.310668444627,696.310668444627
02040101,75 to 79 years,333.476970903311,333.476970903311
02040101,80 to 84 years,221.128860222589,221.128860222589
02040101,85 years and over,208.368259594499,208.368259594499
02040101,Under 5 years,382.273262359785,382.273262359785
02040103,10 to 14 years,2703.27454718047,2703.27454718047
02040103,15 to 17 years,2044.01231133005,2044.01231133005
02040103,18 and 19 years,1083.98393450059,1083.98393450059
02040103,20 years,613.221345706046,613.221345706046
02040103,21 years,530.543741985575,530.543741985575
02040103,22 to 24 years,1880.07686314219,1880.07686314219
02040103,25 to 29 years,2739.52832755818,2739.52832755818
02040103,30 to 34 years,2972.91495790698,2972.91495790698
02040103,35 to 39 years,2631.08539650618,2631.08539650618
02040103,40 to 44 years,3453.98245569931,3453.98245569931
02040103,45 to 49 years,3895.15550559441,3895.15550559441
02040103,5 to 9 years,2732.13232462452,2732.13232462452
02040103,50 to 54 years,4515.75295079381,4515.75295079381
02040103,55 to 59 years,4833.69731101915,4833.69731101915
02040103,60 and 61 years,1573.93932071442,1573.93932071442
02040103,62 to 64 years,2443.54029554479,2443.54029554479
02040103,65 and 66 years,1631.13913263865,1631.13913263865
02040103,67 to 69 years,2115.22237050726,2115.22237050726
02040103,70 to 74 years,3073.443030356,3073.443030356
02040103,75 to 79 years,2048.49303147375,2048.49303147375
02040103,80 to 84 years,1341.39673524333,1341.39673524333
02040103,85 years and over,1530.88897783196,1530.88897783196
02040103,Under 5 years,2257.99476316954,2257.99476316954
02040104,10 to 14 years,10379.1981121092,10379.1981121092
02040104,15 to 17 years,6821.69095100739,6821.69095100739
02040104,18 and 19 years,5330.6512864362,5330.6512864362
02040104,20 years,2937.66803905488,2937.66803905488
02040104,21 years,2176.85160730006,2176.85160730006
02040104,22 to 24 years,6724.15146971191,6724.15146971191
02040104,25 to 29 years,8571.29061748963,8571.29061748963
02040104,30 to 34 years,7697.74349217129,7697.74349217129
02040104,35 to 39 years,8135.50351952312,8135.50351952312
02040104,40 to 44 years,9252.79916221826,9252.79916221826
02040104,45 to 49 years,11942.4159633636,11942.4159633636
02040104,5 to 9 years,8544.259782052,8544.259782052
02040104,50 to 54 years,13816.7664219739,13816.7664219739
02040104,55 to 59 years,12751.676147689,12751.676147689
02040104,60 and 61 years,4312.55135799816,4312.55135799816
02040104,62 to 64 years,6021.83139352235,6021.83139352235
02040104,65 and 66 years,3598.4826797054,3598.4826797054
02040104,67 to 69 years,4790.86886972177,4790.86886972177
02040104,70 to 74 years,6177.84006749774,6177.84006749774
02040104,75 to 79 years,3783.38976854845,3783.38976854845
02040104,80 to 84 years,2798.84626374777,2798.84626374777
02040104,85 years and over,3027.6653780358,3027.6653780358
02040104,Under 5 years,6956.04793224753,6956.04793224753
02040105,10 to 14 years,14305.1900071667,14305.1900071667
02040105,15 to 17 years,8822.90205093566,8822.90205093566
02040105,18 and 19 years,5909.47980973028,5909.47980973028
02040105,20 years,2388.25081846958,2388.25081846958
02040105,21 years,2276.09424173529,2276.09424173529
02040105,22 to 24 years,7393.93516572268,7393.93516572268
02040105,25 to 29 years,10840.7199048017,10840.7199048017
02040105,30 to 34 years,11640.1877654247,11640.1877654247
02040105,35 to 39 years,12819.5783122345,12819.5783122345
02040105,40 to 44 years,15008.9877167556,15008.9877167556
02040105,45 to 49 years,17380.0328322808,17380.0328322808
02040105,5 to 9 years,13425.887285573,13425.887285573
