huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
01090002,10 to 14 years,219.078976755217,219.078976755217
01090002,15 to 17 years,173.325937296145,173.325937296145
01090002,18 and 19 years,75.0680189239073,75.0680189239073
01090002,20 years,32.3468345300283,32.3468345300283
01090002,21 years,39.3502579817429,39.3502579817429
01090002,22 to 24 years,104.986418598389,104.986418598389
01090002,25 to 29 years,158.461760480526,158.461760480526
01090002,30 to 34 years,160.300339570654,160.300339570654
01090002,35 to 39 years,161.893724253167,161.893724253167
01090002,40 to 44 years,306.587591282447,306.587591282447
01090002,45 to 49 years,254.986489665838,254.986489665838
01090002,5 to 9 years,190.789873652119,190.789873652119
01090002,50 to 54 years,383.728072557088,383.728072557088
01090002,55 to 59 years,365.031631057221,365.031631057221
01090002,60 and 61 years,147.885336492495,147.885336492495
01090002,62 to 64 years,232.376180218045,232.376180218045
01090002,65 and 66 years,184.069544557444,184.069544557444
01090002,67 to 69 years,235.872802526912,235.872802526912
01090002,70 to 74 years,234.774072153303,234.774072153303
01090002,75 to 79 years,119.122264363581,119.122264363581
01090002,80 to 84 years,78.109942847603,78.109942847603
01090002,85 years and over,104.115755313493,104.115755313493
01090002,Under 5 years,163.277070407377,163.277070407377
01090003,10 to 14 years,9176.90960088533,9176.90960088533
01090003,15 to 17 years,5399.17072925428,5399.17072925428
01090003,18 and 19 years,3260.11236532997,3260.11236532997
01090003,20 years,1516.78439649829,1516.78439649829
01090003,21 years,1602.46656184657,1602.46656184657
01090003,22 to 24 years,5298.22524651018,5298.22524651018
01090003,25 to 29 years,9209.41690101872,9209.41690101872
01090003,30 to 34 years,9121.29756128737,9121.29756128737
01090003,35 to 39 years,8155.59952136849,8155.59952136849
01090003,40 to 44 years,8670.2855288179,8670.2855288179
01090003,45 to 49 years,10512.751249278,10512.751249278
01090003,5 to 9 years,8219.82922273834,8219.82922273834
01090003,50 to 54 years,10969.5158559549,10969.5158559549
01090003,55 to 59 years,9280.64230561698,9280.64230561698
01090003,60 and 61 years,3844.10380460328,3844.10380460328
01090003,62 to 64 years,4911.79798349073,4911.79798349073
01090003,65 and 66 years,3078.35644512731,3078.35644512731
01090003,67 to 69 years,3848.85573294331,3848.85573294331
01090003,70 to 74 years,4411.97883708901,4411.97883708901
01090003,75 to 79 years,3291.64483337314,3291.64483337314
01090003,80 to 84 years,2847.60896364275,2847.60896364275
01090003,85 years and over,3800.52949276158,3800.52949276158
01090003,Under 5 years,8221.68626635224,8221.68626635224
01090004,10 to 14 years,47111.8617228748,47111.8617228748
01090004,15 to 17 years,29586.9845341194,29586.9845341194
01090004,18 and 19 years,26325.9525883532,26325.9525883532
01090004,20 years,14580.8074439319,14580.8074439319
01090004,21 years,13867.0038986414,13867.0038986414
01090004,22 to 24 years,36595.0450987304,36595.0450987304
01090004,25 to 29 years,58495.8112083801,58495.8112083801
01090004,30 to 34 years,52265.0170177606,52265.0170177606
01090004,35 to 39 years,48590.4743732496,48590.4743732496
01090004,40 to 44 years,49745.4129468607,49745.4129468607
01090004,45 to 49 years,54963.7415770675,54963.7415770675
01090004,5 to 9 years,43481.0601866836,43481.0601866836
01090004,50 to 54 years,59800.4345585168,59800.4345585168
01090004,55 to 59 years,59499.1561115698,59499.1561115698
01090004,60 and 61 years,20605.8477697799,20605.8477697799
01090004,62 to 64 years,28346.8607935016,28346.8607935016
01090004,65 and 66 years,17558.5635035939,17558.5635035939
01090004,67 to 69 years,21467.6695168107,21467.6695168107
01090004,70 to 74 years,28384.0504989975,28384.0504989975
01090004,75 to 79 years,19941.2500053205,19941.2500053205
01090004,80 to 84 years,17032.077807701,17032.077807701
01090004,85 years and over,22482.8451041912,22482.8451041912
01090004,Under 5 years,42710.9666156292,42710.9666156292
01090006,10 to 14 years,1594.97905269204,1594.97905269204
01090006,15 to 17 years,1062.43537101032,1062.43537101032
01090006,18 and 19 years,762.915503930546,762.915503930546
01090006,20 years,623.904762852757,623.904762852757
01090006,21 years,665.679088943125,665.679088943125
01090006,22 to 24 years,1162.68547620893,1162.68547620893
01090006,25 to 29 years,1334.60257552282,1334.60257552282
01090006,30 to 34 years,1188.12041065581,1188.12041065581
01090006,35 to 39 years,1095.5063980621,1095.5063980621
01090006,40 to 44 years,1448.25379116274,1448.25379116274
01090006,45 to 49 years,1786.80815979561,1786.80815979561
01090006,5 to 9 years,1244.14824768608,1244.14824768608
01090006,50 to 54 years,2291.65644730267,2291.65644730267
01090006,55 to 59 years,2123.8534736272,2123.8534736272
01090006,60 and 61 years,940.380282648757,940.380282648757
01090006,62 to 64 years,1668.05569810301,1668.05569810301
01090006,65 and 66 years,868.128195194128,868.128195194128
01090006,67 to 69 years,1130.04755955644,1130.04755955644
01090006,70 to 74 years,1706.67838828668,1706.67838828668
01090006,75 to 79 years,957.123513520309,957.123513520309
01090006,80 to 84 years,915.002291488511,915.002291488511
01090006,85 years and over,1005.13764885294,1005.13764885294
01090006,Under 5 years,1057.55200867563,1057.55200867563
01100001,10 to 14 years,328.620610798291,328.620610798291
01100001,15 to 17 years,252.649227282474,252.649227282474
01100001,18 and 19 years,128.826662440765,128.826662440765
01100001,20 years,70.0690680495614,70.0690680495614
01100001,21 years,50.3972972931622,50.3972972931622
01100001,22 to 24 years,229.269951057438,229.269951057438
01100001,25 to 29 years,286.373031186729,286.373031186729
01100001,30 to 34 years,294.707149994533,294.707149994533
01100001,35 to 39 years,278.616914054467,278.616914054467
01100001,40 to 44 years,457.433502953458,457.433502953458
01100001,45 to 49 years,596.533772511763,596.533772511763
01100001,5 to 9 years,306.943594563554,306.943594563554
01100001,50 to 54 years,576.131767356085,576.131767356085
01100001,55 to 59 years,610.916400548851,610.916400548851
01100001,60 and 61 years,185.100796273021,185.100796273021
01100001,62 to 64 years,277.450122762249,277.450122762249
01100001,65 and 66 years,235.605032211629,235.605032211629
01100001,67 to 69 years,219.520476787755,219.520476787755
01100001,70 to 74 years,264.848265335942,264.848265335942
01100001,75 to 79 years,113.225548382225,113.225548382225
01100001,80 to 84 years,92.2689358017973,92.2689358017973
01100001,85 years and over,129.907331955385,129.907331955385
01100001,Under 5 years,245.527882799797,245.527882799797
01100007,10 to 14 years,3814.09301917302,3814.09301917302
01100007,15 to 17 years,2303.93082512538,2303.93082512538
01100007,18 and 19 years,5300.62148497382,5300.62148497382
01100007,20 years,1595.67026477316,1595.67026477316
01100007,21 years,1324.77838373266,1324.77838373266
01100007,22 to 24 years,2160.41693888991,2160.41693888991
01100007,25 to 29 years,2666.57288838603,2666.57288838603
01100007,30 to 34 years,2597.02768006191,2597.02768006191
01100007,35 to 39 years,2590.63748729764,2590.63748729764
01100007,40 to 44 years,4326.49679831652,4326.49679831652
01100007,45 to 49 years,4816.58922904491,4816.58922904491
01100007,5 to 9 years,3165.28180475974,3165.28180475974
01100007,50 to 54 years,5323.05638755144,5323.05638755144
01100007,55 to 59 years,4891.98266731887,4891.98266731887
01100007,60 and 61 years,1837.82765770248,1837.82765770248
01100007,62 to 64 years,2510.33985846619,2510.33985846619
01100007,65 and 66 years,1358.61493293422,1358.61493293422
01100007,67 to 69 years,1944.32520635872,1944.32520635872
01100007,70 to 74 years,2463.23263364549,2463.23263364549
01100007,75 to 79 years,1456.09724169191,1456.09724169191
01100007,80 to 84 years,1254.15052966687,1254.15052966687
01100007,85 years and over,1270.94796769956,1270.94796769956
01100007,Under 5 years,2367.20205642501,2367.20205642501
02030203,10 to 14 years,2.45701740434336,2.45701740434336
02030203,15 to 17 years,2.50337622329324,2.50337622329324
02030203,18 and 19 years,2.50337622329324,2.50337622329324
02030203,20 years,0.417229370548873,0.417229370548873
02030203,21 years,0.324511732649123,0.324511732649123
02030203,22 to 24 years,0.370870551598998,0.370870551598998
02030203,25 to 29 years,1.76163512009524,1.76163512009524
02030203,30 to 34 years,1.52984102534587,1.52984102534587
02030203,35 to 39 years,2.27158212854386,2.27158212854386
02030203,40 to 44 years,1.52984102534587,1.52984102534587
02030203,45 to 49 years,4.5895230760376,4.5895230760376
02030203,5 to 9 years,1.94707039589474,1.94707039589474
02030203,50 to 54 years,3.47691142124061,3.47691142124061
02030203,55 to 59 years,7.41741103197996,7.41741103197996
02030203,60 and 61 years,1.85435275799499,1.85435275799499
02030203,62 to 64 years,6.11936410138347,6.11936410138347
02030203,65 and 66 years,3.66234669704011,3.66234669704011
02030203,67 to 69 years,3.70870551598998,3.70870551598998
02030203,70 to 74 years,8.43730504887721,8.43730504887721
02030203,75 to 79 years,6.53659347193234,6.53659347193234
02030203,80 to 84 years,2.78152913699249,2.78152913699249
02030203,85 years and over,5.5166994550351,5.5166994550351
02030203,Under 5 years,0.788099922147871,0.788099922147871
