huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
07020001,10 to 14 years,1124.89257514185,1124.89257514185
07020001,15 to 17 years,720.629495491712,720.629495491712
07020001,18 and 19 years,324.458949555066,324.458949555066
07020001,20 years,156.294558093231,156.294558093231
07020001,21 years,197.744909876071,197.744909876071
07020001,22 to 24 years,486.895197159631,486.895197159631
07020001,25 to 29 years,711.406909829287,711.406909829287
07020001,30 to 34 years,751.705256904609,751.705256904609
07020001,35 to 39 years,822.84612507673,822.84612507673
07020001,40 to 44 years,830.034709748707,830.034709748707
07020001,45 to 49 years,851.690018261601,851.690018261601
07020001,5 to 9 years,971.179987826094,971.179987826094
07020001,50 to 54 years,1111.68450260491,1111.68450260491
07020001,55 to 59 years,1026.79330475638,1026.79330475638
07020001,60 and 61 years,412.543197495656,412.543197495656
07020001,62 to 64 years,703.042895825099,703.042895825099
07020001,65 and 66 years,543.590141157294,543.590141157294
07020001,67 to 69 years,400.175971490747,400.175971490747
07020001,70 to 74 years,553.567075167009,553.567075167009
07020001,75 to 79 years,596.671412049659,596.671412049659
07020001,80 to 84 years,454.418193008176,454.418193008176
07020001,85 years and over,355.421954177871,355.421954177871
07020001,Under 5 years,1004.90359870426,1004.90359870426
07020003,10 to 14 years,108.74488399902,108.74488399902
07020003,15 to 17 years,80.2271647699192,80.2271647699192
07020003,18 and 19 years,40.5946946191489,40.5946946191489
07020003,20 years,19.8263748081124,19.8263748081124
07020003,21 years,5.95470085316911,5.95470085316911
07020003,22 to 24 years,67.8775350466978,67.8775350466978
07020003,25 to 29 years,83.5918499929,83.5918499929
07020003,30 to 34 years,110.146813402142,110.146813402142
07020003,35 to 39 years,108.79975101541,108.79975101541
07020003,40 to 44 years,100.571523067934,100.571523067934
07020003,45 to 49 years,95.4745265708599,95.4745265708599
07020003,5 to 9 years,123.698052954937,123.698052954937
07020003,50 to 54 years,136.646905150843,136.646905150843
07020003,55 to 59 years,140.413593117683,140.413593117683
07020003,60 and 61 years,65.2137943384504,65.2137943384504
07020003,62 to 64 years,75.2466721010279,75.2466721010279
07020003,65 and 66 years,67.2533338446685,67.2533338446685
07020003,67 to 69 years,32.5895991809902,32.5895991809902
07020003,70 to 74 years,65.895633042664,65.895633042664
07020003,75 to 79 years,67.5411672809996,67.5411672809996
07020003,80 to 84 years,55.6450533547639,55.6450533547639
07020003,85 years and over,19.680253382023,19.680253382023
07020003,Under 5 years,115.430882929086,115.430882929086
07020004,10 to 14 years,0.136866266382157,0.136866266382157
07020004,15 to 17 years,0.0596717977998334,0.0596717977998334
07020004,18 and 19 years,0.0374132700491019,0.0374132700491019
07020004,20 years,0.0213113563570833,0.0213113563570833
07020004,21 years,0.00852454254283334,0.00852454254283334
07020004,22 to 24 years,0.100873753423528,0.100873753423528
07020004,25 to 29 years,0.118870009902843,0.118870009902843
07020004,30 to 34 years,0.144443637531343,0.144443637531343
07020004,35 to 39 years,0.14065495195675,0.14065495195675
07020004,40 to 44 years,0.0975586535457593,0.0975586535457593
07020004,45 to 49 years,0.0809831541569167,0.0809831541569167
07020004,5 to 9 years,0.161019136920185,0.161019136920185
07020004,50 to 54 years,0.126920966748852,0.126920966748852
07020004,55 to 59 years,0.122185109780611,0.122185109780611
07020004,60 and 61 years,0.0606189691934815,0.0606189691934815
07020004,62 to 64 years,0.0729321973109075,0.0729321973109075
07020004,65 and 66 years,0.0359925129586297,0.0359925129586297
07020004,67 to 69 years,0.0374132700491019,0.0374132700491019
07020004,70 to 74 years,0.0587246264061852,0.0587246264061852
07020004,75 to 79 years,0.0535151837411204,0.0535151837411204
07020004,80 to 84 years,0.0303094845967408,0.0303094845967408
07020004,85 years and over,0.0217849420539074,0.0217849420539074
07020004,Under 5 years,0.162913479707482,0.162913479707482
09020101,10 to 14 years,135.172396770297,135.172396770297
09020101,15 to 17 years,60.0437155635798,60.0437155635798
09020101,18 and 19 years,53.016447935508,53.016447935508
09020101,20 years,12.1545811132739,12.1545811132739
09020101,21 years,25.512622641097,25.512622641097
09020101,22 to 24 years,84.458348315263,84.458348315263
09020101,25 to 29 years,46.9164998111822,46.9164998111822
09020101,30 to 34 years,82.4331985880647,82.4331985880647
09020101,35 to 39 years,52.2475239004462,52.2475239004462
09020101,40 to 44 years,65.8546230369922,65.8546230369922
09020101,45 to 49 years,98.5108434212149,98.5108434212149
09020101,5 to 9 years,98.187727899739,98.187727899739
09020101,50 to 54 years,152.116697405634,152.116697405634
09020101,55 to 59 years,151.224124618513,151.224124618513
09020101,60 and 61 years,18.0896955483942,18.0896955483942
09020101,62 to 64 years,74.7369000554877,74.7369000554877
09020101,65 and 66 years,46.7669585264189,46.7669585264189
09020101,67 to 69 years,59.7258466596334,59.7258466596334
09020101,70 to 74 years,86.9913921681096,86.9913921681096
09020101,75 to 79 years,40.2598805249086,40.2598805249086
09020101,80 to 84 years,42.5734309262403,42.5734309262403
09020101,85 years and over,56.665059533794,56.665059533794
09020101,Under 5 years,117.750352536926,117.750352536926
09020105,10 to 14 years,69.3073266865105,69.3073266865105
09020105,15 to 17 years,37.875054101066,37.875054101066
09020105,18 and 19 years,24.9093788929133,24.9093788929133
09020105,20 years,15.1312324067196,15.1312324067196
09020105,21 years,21.3270728320802,21.3270728320802
09020105,22 to 24 years,25.1067675623504,25.1067675623504
09020105,25 to 29 years,74.1658401735217,74.1658401735217
09020105,30 to 34 years,68.4645721816758,68.4645721816758
09020105,35 to 39 years,65.478835168842,65.478835168842
09020105,40 to 44 years,42.0925394119349,42.0925394119349
09020105,45 to 49 years,61.0369834582801,61.0369834582801
09020105,5 to 9 years,68.1163901103558,68.1163901103558
