huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
03150101,10 to 14 years,1217.02006092274,1217.02006092274
03150101,15 to 17 years,665.894792828307,665.894792828307
03150101,18 and 19 years,375.340265882452,375.340265882452
03150101,20 years,220.010741523515,220.010741523515
03150101,21 years,153.738755757722,153.738755757722
03150101,22 to 24 years,626.969249077393,626.969249077393
03150101,25 to 29 years,1179.52366651827,1179.52366651827
03150101,30 to 34 years,1030.06838161747,1030.06838161747
03150101,35 to 39 years,1299.74111315961,1299.74111315961
03150101,40 to 44 years,1303.42446204557,1303.42446204557
03150101,45 to 49 years,1210.15428373962,1210.15428373962
03150101,5 to 9 years,1114.08960484693,1114.08960484693
03150101,50 to 54 years,1309.46751184006,1309.46751184006
03150101,55 to 59 years,1170.50075788596,1170.50075788596
03150101,60 and 61 years,537.285143791165,537.285143791165
03150101,62 to 64 years,790.917611518257,790.917611518257
03150101,65 and 66 years,494.576892415977,494.576892415977
03150101,67 to 69 years,748.740402659255,748.740402659255
03150101,70 to 74 years,789.911351498027,789.911351498027
03150101,75 to 79 years,523.857963128052,523.857963128052
03150101,80 to 84 years,338.344326202313,338.344326202313
03150101,85 years and over,249.081276773958,249.081276773958
03150101,Under 5 years,1179.32237101918,1179.32237101918
05050001,10 to 14 years,1.13516093133282,1.13516093133282
05050001,15 to 17 years,0.505823005671621,0.505823005671621
05050001,18 and 19 years,0.408775568536949,0.408775568536949
05050001,20 years,0.19997653712599,0.19997653712599
05050001,21 years,0.105869931419642,0.105869931419642
05050001,22 to 24 years,0.738148688509167,0.738148688509167
05050001,25 to 29 years,0.723444531367551,0.723444531367551
05050001,30 to 34 years,0.388189748538686,0.388189748538686
05050001,35 to 39 years,1.33807829988714,1.33807829988714
05050001,40 to 44 years,0.711681205654257,0.711681205654257
05050001,45 to 49 years,0.899894417066953,0.899894417066953
05050001,5 to 9 years,0.726385362795874,0.726385362795874
05050001,50 to 54 years,0.982237697060008,0.982237697060008
05050001,55 to 59 years,1.12927926847618,1.12927926847618
05050001,60 and 61 years,0.247029839979164,0.247029839979164
05050001,62 to 64 years,0.570521297094735,0.570521297094735
05050001,65 and 66 years,0.43524305139186,0.43524305139186
05050001,67 to 69 years,0.794024485647312,0.794024485647312
05050001,70 to 74 years,0.70579954279761,0.70579954279761
05050001,75 to 79 years,0.744030351365814,0.744030351365814
05050001,80 to 84 years,0.370544759968745,0.370544759968745
05050001,85 years and over,0.20879903141096,0.20879903141096
05050001,Under 5 years,0.599929611377969,0.599929611377969
05110002,10 to 14 years,2731.63860634307,2731.63860634307
05110002,15 to 17 years,1572.61129934,1572.61129934
05110002,18 and 19 years,899.110058654292,899.110058654292
05110002,20 years,364.941861827957,364.941861827957
05110002,21 years,384.480181863351,384.480181863351
05110002,22 to 24 years,1555.53139285467,1555.53139285467
05110002,25 to 29 years,2235.72781884023,2235.72781884023
05110002,30 to 34 years,2148.54041538768,2148.54041538768
05110002,35 to 39 years,2318.90156009028,2318.90156009028
05110002,40 to 44 years,2747.13113168692,2747.13113168692
05110002,45 to 49 years,2656.02117848605,2656.02117848605
05110002,5 to 9 years,2720.84942397315,2720.84942397315
05110002,50 to 54 years,2743.18872244665,2743.18872244665
05110002,55 to 59 years,2292.23406715658,2292.23406715658
05110002,60 and 61 years,939.716887813372,939.716887813372
05110002,62 to 64 years,1281.06726368408,1281.06726368408
05110002,65 and 66 years,776.35901791837,776.35901791837
05110002,67 to 69 years,1161.68387863173,1161.68387863173
05110002,70 to 74 years,1501.24537441723,1501.24537441723
05110002,75 to 79 years,1041.81892452662,1041.81892452662
05110002,80 to 84 years,637.205146201379,637.205146201379
05110002,85 years and over,567.46864974411,567.46864974411
05110002,Under 5 years,2656.89585360449,2656.89585360449
05130101,10 to 14 years,615.34323559828,615.34323559828
05130101,15 to 17 years,287.304539335277,287.304539335277
05130101,18 and 19 years,131.398502526438,131.398502526438
05130101,20 years,85.9146905728571,85.9146905728571
05130101,21 years,83.9919361906649,83.9919361906649
05130101,22 to 24 years,268.867243574567,268.867243574567
05130101,25 to 29 years,352.471267262171,352.471267262171
05130101,30 to 34 years,296.993157533192,296.993157533192
05130101,35 to 39 years,707.625791388619,707.625791388619
