huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
04010201,10 to 14 years,1383.91750263663,1383.91750263663
04010201,15 to 17 years,818.443157952924,818.443157952924
04010201,18 and 19 years,744.339189923098,744.339189923098
04010201,20 years,539.354631764851,539.354631764851
04010201,21 years,366.972346690985,366.972346690985
04010201,22 to 24 years,922.051894238892,922.051894238892
04010201,25 to 29 years,1788.63755739259,1788.63755739259
04010201,30 to 34 years,1849.01502085459,1849.01502085459
04010201,35 to 39 years,1588.58268826328,1588.58268826328
04010201,40 to 44 years,1111.58917738911,1111.58917738911
04010201,45 to 49 years,1251.98287718261,1251.98287718261
04010201,5 to 9 years,1217.58605417281,1217.58605417281
04010201,50 to 54 years,1549.74274156913,1549.74274156913
04010201,55 to 59 years,1655.16231610266,1655.16231610266
04010201,60 and 61 years,654.49971275087,654.49971275087
04010201,62 to 64 years,758.341304663008,758.341304663008
04010201,65 and 66 years,477.38692406342,477.38692406342
04010201,67 to 69 years,581.134932036222,581.134932036222
04010201,70 to 74 years,723.292663430296,723.292663430296
04010201,75 to 79 years,553.613749087975,553.613749087975
04010201,80 to 84 years,391.845010869874,391.845010869874
04010201,85 years and over,597.742990319753,597.742990319753
04010201,Under 5 years,1332.17590354901,1332.17590354901
04010301,10 to 14 years,2012.05608869417,2012.05608869417
04010301,15 to 17 years,1063.93698568365,1063.93698568365
04010301,18 and 19 years,702.24870224283,702.24870224283
04010301,20 years,388.377125682988,388.377125682988
04010301,21 years,362.211464286818,362.211464286818
04010301,22 to 24 years,895.754190427779,895.754190427779
04010301,25 to 29 years,1584.28228819149,1584.28228819149
04010301,30 to 34 years,1479.32190031683,1479.32190031683
04010301,35 to 39 years,1635.53619927014,1635.53619927014
04010301,40 to 44 years,1768.13964125932,1768.13964125932
04010301,45 to 49 years,2077.60143461414,2077.60143461414
04010301,5 to 9 years,1579.22403924843,1579.22403924843
04010301,50 to 54 years,2623.71769335636,2623.71769335636
04010301,55 to 59 years,2560.2788089716,2560.2788089716
04010301,60 and 61 years,1022.38226311248,1022.38226311248
04010301,62 to 64 years,1520.29889581254,1520.29889581254
04010301,65 and 66 years,849.184983319376,849.184983319376
04010301,67 to 69 years,1166.12818918548,1166.12818918548
04010301,70 to 74 years,1453.02552855097,1453.02552855097
04010301,75 to 79 years,944.233535994231,944.233535994231
04010301,80 to 84 years,721.349303867245,721.349303867245
04010301,85 years and over,637.092200951304,637.092200951304
04010301,Under 5 years,1588.99027467069,1588.99027467069
04010302,10 to 14 years,740.919336799564,740.919336799564
04010302,15 to 17 years,440.421878048274,440.421878048274
04010302,18 and 19 years,229.286291518436,229.286291518436
04010302,20 years,73.6100661050062,73.6100661050062
04010302,21 years,74.6790393266573,74.6790393266573
04010302,22 to 24 years,305.927263307229,305.927263307229
04010302,25 to 29 years,464.512416886022,464.512416886022
04010302,30 to 34 years,632.242139680801,632.242139680801
04010302,35 to 39 years,551.918982813384,551.918982813384
04010302,40 to 44 years,601.084632997972,601.084632997972
04010302,45 to 49 years,795.934600723515,795.934600723515
04010302,5 to 9 years,779.743637117639,779.743637117639
04010302,50 to 54 years,952.517165635875,952.517165635875
04010302,55 to 59 years,932.705820666122,932.705820666122
04010302,60 and 61 years,332.362151087916,332.362151087916
04010302,62 to 64 years,543.923231045702,543.923231045702
04010302,65 and 66 years,345.904459099313,345.904459099313
04010302,67 to 69 years,456.053368405846,456.053368405846
04010302,70 to 74 years,549.752974454588,549.752974454588
04010302,75 to 79 years,395.87843820214,395.87843820214
04010302,80 to 84 years,282.980216264595,282.980216264595
04010302,85 years and over,292.142898487805,292.142898487805
04010302,Under 5 years,525.896313672335,525.896313672335
04020101,10 to 14 years,29.3904131145992,29.3904131145992
04020101,15 to 17 years,13.0451636991812,13.0451636991812
04020101,18 and 19 years,7.48116139274255,7.48116139274255
04020101,20 years,1.95273758153878,1.95273758153878
04020101,21 years,2.09769860315662,2.09769860315662
04020101,22 to 24 years,10.1656395179906,10.1656395179906
04020101,25 to 29 years,15.637227868532,15.637227868532
04020101,30 to 34 years,8.7199476781895,8.7199476781895
04020101,35 to 39 years,13.3970302751533,13.3970302751533
04020101,40 to 44 years,27.5123002413403,27.5123002413403
04020101,45 to 49 years,32.2122811579955,32.2122811579955
04020101,5 to 9 years,11.4790505117175,11.4790505117175
04020101,50 to 54 years,41.3078144089803,41.3078144089803
04020101,55 to 59 years,54.3995954246761,54.3995954246761
04020101,60 and 61 years,28.6010164330955,28.6010164330955
04020101,62 to 64 years,38.3409853439662,38.3409853439662
04020101,65 and 66 years,31.3202523764466,31.3202523764466
04020101,67 to 69 years,40.6388390751392,40.6388390751392
04020101,70 to 74 years,69.5604319839138,69.5604319839138
04020101,75 to 79 years,46.3071148358869,46.3071148358869
04020101,80 to 84 years,31.0082526906515,31.0082526906515
