huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
02070001,10 to 14 years,1626.60327941554,1626.60327941554
02070001,15 to 17 years,1236.79789396524,1236.79789396524
02070001,18 and 19 years,559.997344909568,559.997344909568
02070001,20 years,358.210959460467,358.210959460467
02070001,21 years,354.482616767689,354.482616767689
02070001,22 to 24 years,1002.24536154982,1002.24536154982
02070001,25 to 29 years,1442.30932213592,1442.30932213592
02070001,30 to 34 years,1336.1580640469,1336.1580640469
02070001,35 to 39 years,1515.99170865904,1515.99170865904
02070001,40 to 44 years,1691.16401320125,1691.16401320125
02070001,45 to 49 years,2123.42077687962,2123.42077687962
02070001,5 to 9 years,1614.70234990548,1614.70234990548
02070001,50 to 54 years,2246.13834430612,2246.13834430612
02070001,55 to 59 years,2360.31891351038,2360.31891351038
02070001,60 and 61 years,882.29050614883,882.29050614883
02070001,62 to 64 years,1280.5451980399,1280.5451980399
02070001,65 and 66 years,837.225664552018,837.225664552018
02070001,67 to 69 years,1191.34238035955,1191.34238035955
02070001,70 to 74 years,1624.28158944845,1624.28158944845
02070001,75 to 79 years,1098.00380105552,1098.00380105552
02070001,80 to 84 years,748.586630519124,748.586630519124
02070001,85 years and over,869.680544995091,869.680544995091
02070001,Under 5 years,1572.18382133004,1572.18382133004
02070002,10 to 14 years,2136.58396486509,2136.58396486509
02070002,15 to 17 years,1163.98907548015,1163.98907548015
02070002,18 and 19 years,992.375903009737,992.375903009737
02070002,20 years,316.319638710389,316.319638710389
02070002,21 years,503.69821265105,503.69821265105
02070002,22 to 24 years,1016.90274282266,1016.90274282266
02070002,25 to 29 years,1604.89554472608,1604.89554472608
02070002,30 to 34 years,1647.50803399531,1647.50803399531
02070002,35 to 39 years,1826.1409973446,1826.1409973446
02070002,40 to 44 years,1852.60383963008,1852.60383963008
02070002,45 to 49 years,2249.6743698987,2249.6743698987
02070002,5 to 9 years,1551.89273119451,1551.89273119451
02070002,50 to 54 years,2174.6798158795,2174.6798158795
02070002,55 to 59 years,2122.04506555554,2122.04506555554
02070002,60 and 61 years,868.443970718782,868.443970718782
02070002,62 to 64 years,1371.08283730737,1371.08283730737
02070002,65 and 66 years,947.414914372823,947.414914372823
02070002,67 to 69 years,1080.20029447926,1080.20029447926
02070002,70 to 74 years,1731.64625709395,1731.64625709395
02070002,75 to 79 years,917.687763336894,917.687763336894
02070002,80 to 84 years,687.12050353474,687.12050353474
02070002,85 years and over,847.821314626943,847.821314626943
02070002,Under 5 years,1619.33865855792,1619.33865855792
02070003,10 to 14 years,1475.03811720317,1475.03811720317
02070003,15 to 17 years,879.46745832958,879.46745832958
02070003,18 and 19 years,541.750478987877,541.750478987877
02070003,20 years,257.199506174771,257.199506174771
02070003,21 years,160.133830346403,160.133830346403
02070003,22 to 24 years,801.289353025609,801.289353025609
02070003,25 to 29 years,1282.97273715351,1282.97273715351
02070003,30 to 34 years,1515.06273778592,1515.06273778592
02070003,35 to 39 years,1292.20253132466,1292.20253132466
02070003,40 to 44 years,1973.81784028192,1973.81784028192
02070003,45 to 49 years,1932.73380513482,1932.73380513482
02070003,5 to 9 years,1299.92775734187,1299.92775734187
02070003,50 to 54 years,2042.22925015826,2042.22925015826
02070003,55 to 59 years,2130.81413343168,2130.81413343168
02070003,60 and 61 years,732.523246604049,732.523246604049
02070003,62 to 64 years,1486.09780219049,1486.09780219049
02070003,65 and 66 years,779.35572698941,779.35572698941
02070003,67 to 69 years,1102.25849529027,1102.25849529027
02070003,70 to 74 years,1222.47005756558,1222.47005756558
02070003,75 to 79 years,903.385949434495,903.385949434495
02070003,80 to 84 years,568.095636345989,568.095636345989
02070003,85 years and over,487.883175941936,487.883175941936
02070003,Under 5 years,1140.5287237454,1140.5287237454
02070004,10 to 14 years,9920.61856793885,9920.61856793885
02070004,15 to 17 years,6074.43614416185,6074.43614416185
02070004,18 and 19 years,3616.78359257089,3616.78359257089
02070004,20 years,2140.59872164193,2140.59872164193
02070004,21 years,1612.12097040598,1612.12097040598
02070004,22 to 24 years,5185.97699972496,5185.97699972496
02070004,25 to 29 years,9156.12002181961,9156.12002181961
02070004,30 to 34 years,9167.37713164529,9167.37713164529
02070004,35 to 39 years,9240.30041429201,9240.30041429201
02070004,40 to 44 years,10161.8506867413,10161.8506867413
02070004,45 to 49 years,10724.4005854915,10724.4005854915
02070004,5 to 9 years,9512.06803139806,9512.06803139806
02070004,50 to 54 years,10978.8260830277,10978.8260830277
02070004,55 to 59 years,10223.4195722645,10223.4195722645
02070004,60 and 61 years,3941.1105503326,3941.1105503326
02070004,62 to 64 years,5449.18030272844,5449.18030272844
02070004,65 and 66 years,3340.19390014505,3340.19390014505
02070004,67 to 69 years,4372.50400326116,4372.50400326116
02070004,70 to 74 years,5553.1147026713,5553.1147026713
02070004,75 to 79 years,3306.44439715502,3306.44439715502
02070004,80 to 84 years,2460.53012919406,2460.53012919406
02070004,85 years and over,1841.34449539972,1841.34449539972
02070004,Under 5 years,8870.84207308052,8870.84207308052
02070005,10 to 14 years,0.0856532308531131,0.0856532308531131
02070005,15 to 17 years,0.0468904548465948,0.0468904548465948
02070005,18 and 19 years,0.0156301516155316,0.0156301516155316
02070005,20 years,0.023757830455608,0.023757830455608
02070005,21 years,0.0175057698093954,0.0175057698093954
02070005,22 to 24 years,0.0225074183263655,0.0225074183263655
02070005,25 to 29 years,0.0775255520130367,0.0775255520130367
02070005,30 to 34 years,0.0487660730404586,0.0487660730404586
02070005,35 to 39 years,0.0706482853022028,0.0706482853022028
02070005,40 to 44 years,0.0862784369177344,0.0862784369177344
02070005,45 to 49 years,0.095031321822432,0.095031321822432
02070005,5 to 9 years,0.0650214307206114,0.0650214307206114
02070005,50 to 54 years,0.134419303893572,0.134419303893572
02070005,55 to 59 years,0.0743995216899304,0.0743995216899304
02070005,60 and 61 years,0.056893751880535,0.056893751880535
02070005,62 to 64 years,0.0406383942003821,0.0406383942003821
02070005,65 and 66 years,0.0231326243909867,0.0231326243909867
02070005,67 to 69 years,0.0668970489144752,0.0668970489144752
02070005,70 to 74 years,0.0668970489144752,0.0668970489144752
02070005,75 to 79 years,0.033135921424927,0.033135921424927
02070005,80 to 84 years,0.0250082425848505,0.0250082425848505
02070005,85 years and over,0.0481408669758373,0.0481408669758373
02070005,Under 5 years,0.0487660730404586,0.0487660730404586
02070006,10 to 14 years,24.0814630856092,24.0814630856092
02070006,15 to 17 years,22.2631336489877,22.2631336489877
02070006,18 and 19 years,6.3446299271601,6.3446299271601
02070006,20 years,1.10463897938098,1.10463897938098
02070006,21 years,4.8154110677809,4.8154110677809
02070006,22 to 24 years,8.21498614860287,8.21498614860287
02070006,25 to 29 years,15.441646380778,15.441646380778
02070006,30 to 34 years,16.3927279603912,16.3927279603912
02070006,35 to 39 years,15.7089161817656,15.7089161817656
02070006,40 to 44 years,27.8982718191019,27.8982718191019
02070006,45 to 49 years,24.3664318921946,24.3664318921946
02070006,5 to 9 years,21.4394006120638,21.4394006120638
02070006,50 to 54 years,27.8058931515211,27.8058931515211
02070006,55 to 59 years,21.6288268683064,21.6288268683064
02070006,60 and 61 years,6.45894620135067,6.45894620135067
02070006,62 to 64 years,12.7445739825984,12.7445739825984
02070006,65 and 66 years,16.1476879871621,16.1476879871621
02070006,67 to 69 years,4.7327438761315,4.7327438761315
02070006,70 to 74 years,13.8193431325984,13.8193431325984
02070006,75 to 79 years,11.5225139772266,11.5225139772266
